"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f4', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.41,1.2850437665450843e-126
"['f4', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",2.77,2.020802136401092e-127
"['f4', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.6,1.2267240751353027e-123
"['f4', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",2.68,6.757844231192468e-120
"['f4', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.69,1.767297945232363e-120
"['f4', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.52,3.3661353010528535e-24
"['f4', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",2.98,8.132254396463439e-19
"['f4', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.52,9.077111310246875e-19
"['f4', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",2.85,2.2260654913940873e-24
"['f4', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.92,3.7193758256509555e-17
"['f4', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.7,2.112117002712569e-124
"['f4', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",2.98,3.457030658095764e-125
"['f4', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.79,1.4264827969133887e-125
"['f4', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.1,2.71187346204104e-138
"['f4', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.16,3.334898932625637e-125
"['f4', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.74,2.2223706987784478e-20
"['f4', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",3.04,1.4138092764864158e-17
"['f4', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.88,5.398294969727536e-19
"['f4', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.5,1.89402058064239e-17
"['f4', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.1,3.854568868650508e-21
"['f4', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.88,2.612322197203468e-112
"['f4', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",3.16,2.3274717531912324e-120
"['f4', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.03,4.600521498603778e-131
"['f4', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.16,4.999961137293144e-119
"['f4', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.15,2.61531347801648e-123
"['f4', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.1,7.530130996421901e-22
"['f4', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",3.5,9.150368247030307e-20
"['f4', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.35,9.459423578070183e-22
"['f4', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.59,4.2892475056356075e-14
"['f4', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.47,1.2903338541533632e-18
"['f4', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.55,2.887770264218601e-122
"['f4', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.33,6.895219492823126e-116
"['f4', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.54,1.7592632855195082e-128
"['f4', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.3,2.3259573747300758e-122
"['f4', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.06,2.8373588118906214e-121
"['f4', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.45,1.290887261416455e-16
"['f4', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.75,1.0688136903021983e-16
"['f4', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.21,5.2978853466259534e-15
"['f4', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.94,8.74717816319878e-21
"['f4', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.03,7.986754746355808e-16
