"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f15', 20, -10, 10, 100, 250, 25000]",5.47,0.0
"['f15', 20, -10, 10, 100, 300, 30000]",6.42,0.0
"['f15', 20, -10, 10, 200, 150, 30000]",6.73,0.0
"['f15', 20, -100, 100, 100, 250, 25000]",5.89,0.0
"['f15', 20, -100, 100, 100, 300, 30000]",7.01,0.0
"['f15', 20, -100, 100, 200, 150, 30000]",6.7,0.0
"['f15', 30, -10, 10, 100, 250, 25000]",6.87,0.0
"['f15', 30, -10, 10, 100, 300, 30000]",8.43,0.0
"['f15', 30, -10, 10, 200, 150, 30000]",8.46,0.0
"['f15', 30, -100, 100, 100, 250, 25000]",8.53,0.0
"['f15', 30, -100, 100, 100, 300, 30000]",8.9,0.0
"['f15', 30, -100, 100, 200, 150, 30000]",9.43,0.0
"['f15', 50, -10, 10, 100, 250, 25000]",10.16,0.0
"['f15', 50, -10, 10, 100, 300, 30000]",11.98,0.0
"['f15', 50, -10, 10, 200, 150, 30000]",12.29,0.0
"['f15', 50, -100, 100, 100, 250, 25000]",10.57,0.0
"['f15', 50, -100, 100, 100, 300, 30000]",13.18,0.0
"['f15', 50, -100, 100, 200, 150, 30000]",12.75,0.0
"['f15', 100, -10, 10, 100, 250, 25000]",17.57,0.0
"['f15', 100, -10, 10, 100, 300, 30000]",21.83,0.0
"['f15', 100, -10, 10, 200, 150, 30000]",21.21,0.0
"['f15', 100, -100, 100, 100, 250, 25000]",19.6,0.0
"['f15', 100, -100, 100, 100, 300, 30000]",22.38,0.0
"['f15', 100, -100, 100, 200, 150, 30000]",23.66,0.0
