"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-500, 500, 100, 100]",-20813.19809593138,7.646550469
"[-500, 500, 100, 100]",-20949.14034178063,4.794469274000001
"[-500, 500, 100, 100]",-20919.92196094023,5.392553231000001
"[-500, 500, 100, 100]",-20893.53595928863,5.072065986000002
"[-500, 500, 100, 100]",-20946.907535671697,5.118346801000001
"[-500, 500, 100, 100]",-19220.861504594915,5.407824658999999
"[-500, 500, 100, 100]",-19043.642177867987,5.766796984000003
"[-500, 500, 100, 100]",-20723.02228533873,5.190439845999997
"[-500, 500, 100, 100]",-20947.129176546023,5.150989511999995
"[-500, 500, 100, 100]",-20700.639117827013,5.210176441999998
"[-500, 500, 100, 100]",-20947.818325942637,5.496055946999995
"[-500, 500, 100, 100]",-18880.48233893226,5.173752962999998
"[-500, 500, 100, 100]",-20934.210163692667,4.662780617999999
"[-500, 500, 100, 100]",-18920.65140167792,4.653171012000001
"[-500, 500, 100, 100]",-20946.14649290264,5.691058932999994
"[-500, 500, 100, 100]",-20946.862609481956,5.517493516000002
"[-500, 500, 100, 100]",-20159.705130121485,5.038863437000003
"[-500, 500, 100, 100]",-20934.583310066555,5.053565231000007
"[-500, 500, 100, 100]",-20932.175933796287,5.394870956999995
"[-500, 500, 100, 100]",-16735.680138658256,6.034646463000001
