epoch,gBest_fitness
1,2.3859854399117404e+145
2,2.3859854399117404e+145
3,3.041848790927466e+143
4,5.780774178225836e+141
5,6.471656695591826e+140
6,3.308556831499667e+140
7,3.308556831499667e+140
8,3.308556831499667e+140
9,1.2536970886218176e+140
10,1.2536970886218176e+140
11,7.068346774243303e+137
12,2.3266220718876927e+137
13,6.125094740868597e+136
14,6.125094740868597e+136
15,5.566251480517953e+136
16,8.014926440602993e+135
17,8.014926440602993e+135
18,2.9337387255963364e+135
19,9.236995875717534e+134
20,1.3300615212589498e+133
21,1.3300615212589498e+133
22,7.041338790513323e+132
23,4.8387863017393135e+132
24,4.8387863017393135e+132
25,4.8387863017393135e+132
26,3.609710330289986e+129
27,1.4753080613033025e+128
28,1.4753080613033025e+128
29,1.447251380613968e+127
30,1.447251380613968e+127
31,1.447251380613968e+127
32,5.47285138988433e+126
33,5.47285138988433e+126
34,1.7894006073566128e+126
35,3.5498687895448535e+124
36,3.5498687895448535e+124
37,3.5498687895448535e+124
38,3.5498687895448535e+124
39,6.949876052734542e+123
40,7.196769358636269e+122
41,3.2061406345945415e+121
42,2.2124844841677505e+119
43,1.7645336248300494e+118
44,1.317960399490358e+118
45,1.317960399490358e+118
46,2.61472257466321e+117
47,1.7248903053637178e+115
48,1.7248903053637178e+115
49,1.7248903053637178e+115
50,1.0271080533043603e+113
51,4.195704835118478e+109
52,4.195704835118478e+109
53,4.195704835118478e+109
54,4.195704835118478e+109
55,4.195704835118478e+109
56,1.6809399218254912e+109
57,1.6065407977239145e+109
58,1.4381228367339704e+108
59,7.516472259066031e+103
60,3.7448823322276784e+101
61,8.557516030172519e+99
62,2.345803394962164e+99
63,1.5369843554535334e+98
64,4.640026113100901e+97
65,5.432968666119624e+95
66,4.392631090926387e+93
67,9.114656612007998e+89
68,3.0464921832373296e+89
69,3.319502931275414e+85
70,8.336607272413794e+83
71,7.213542436990827e+81
72,7.213542436990827e+81
73,7.370092626554554e+80
74,1.1539775544257624e+80
75,1.5862865125390457e+78
76,1.5862865125390457e+78
77,1.5862865125390457e+78
78,1.5862865125390457e+78
79,7.920137583989291e+77
80,4.6487419195222995e+76
81,1.2021613893464219e+73
82,1.2021613893464219e+73
