"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,9.930643208101082e-126
2,9.930643208101082e-126
3,1.0552532544963022e-131
4,1.0552532544963022e-131
5,1.0552532544963022e-131
6,1.0552532544963022e-131
7,1.0552532544963022e-131
8,2.2642049085024768e-143
9,1.4122823623055801e-143
10,1.4122823623055801e-143
11,1.4122823623055801e-143
12,1.4122823623055801e-143
13,1.4122823623055801e-143
14,1.4122823623055801e-143
15,1.4122823623055801e-143
16,1.4122823623055801e-143
17,1.4122823623055801e-143
18,1.4122823623055801e-143
19,1.4122823623055801e-143
20,1.4122823623055801e-143
21,1.4122823623055801e-143
22,1.4122823623055801e-143
23,1.4122823623055801e-143
24,1.4122823623055801e-143
25,1.4122823623055801e-143
26,1.4122823623055801e-143
27,1.4122823623055801e-143
28,1.4122823623055801e-143
29,1.4122823623055801e-143
30,1.4122823623055801e-143
31,1.4122823623055801e-143
32,1.4122823623055801e-143
33,1.4122823623055801e-143
34,1.4122823623055801e-143
35,1.4122823623055801e-143
36,1.4122823623055801e-143
37,1.4122823623055801e-143
38,1.4122823623055801e-143
39,1.4122823623055801e-143
40,1.4122823623055801e-143
41,1.4122823623055801e-143
42,1.4122823623055801e-143
43,1.4122823623055801e-143
44,1.4122823623055801e-143
45,1.4122823623055801e-143
46,1.4122823623055801e-143
47,1.4122823623055801e-143
48,1.4122823623055801e-143
49,1.4122823623055801e-143
50,1.4122823623055801e-143
51,1.4122823623055801e-143
52,1.4122823623055801e-143
53,1.4122823623055801e-143
54,1.4122823623055801e-143
55,1.4122823623055801e-143
56,1.4122823623055801e-143
57,1.4122823623055801e-143
58,1.4122823623055801e-143
59,1.4122823623055801e-143
60,1.4122823623055801e-143
61,1.4122823623055801e-143
62,1.4122823623055801e-143
63,1.4122823623055801e-143
64,1.4122823623055801e-143
65,1.4122823623055801e-143
66,1.4122823623055801e-143
67,1.4122823623055801e-143
68,1.4122823623055801e-143
69,1.4122823623055801e-143
70,1.4122823623055801e-143
71,1.4122823623055801e-143
72,1.4122823623055801e-143
73,1.4122823623055801e-143
74,1.4122823623055801e-143
75,1.4122823623055801e-143
76,1.4122823623055801e-143
77,1.4122823623055801e-143
78,1.4122823623055801e-143
79,1.4122823623055801e-143
80,1.4122823623055801e-143
81,1.4122823623055801e-143
82,1.3834204762116327e-151
83,1.3834204762116327e-151
84,1.3834204762116327e-151
85,1.3834204762116327e-151
86,1.3834204762116327e-151
87,1.3834204762116327e-151
88,1.3834204762116327e-151
89,1.3834204762116327e-151
90,1.3834204762116327e-151
91,1.3834204762116327e-151
92,1.3834204762116327e-151
93,1.3834204762116327e-151
94,1.3834204762116327e-151
95,1.3834204762116327e-151
96,1.3834204762116327e-151
97,1.3834204762116327e-151
98,1.3834204762116327e-151
99,1.3834204762116327e-151
100,1.3834204762116327e-151
