"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,1.9177129915932526e-190
2,3.461029741627748e-197
3,3.8455993446769716e-225
4,3.8455993446769716e-225
5,3.8455993446769716e-225
6,3.8455993446769716e-225
7,3.8455993446769716e-225
8,3.8455993446769716e-225
9,3.8455993446769716e-225
10,3.8455993446769716e-225
11,3.8455993446769716e-225
12,3.8455993446769716e-225
13,3.8455993446769716e-225
14,3.8455993446769716e-225
15,3.8455993446769716e-225
16,3.8455993446769716e-225
17,3.8455993446769716e-225
18,3.8455993446769716e-225
19,3.8455993446769716e-225
20,3.8455993446769716e-225
21,3.8455993446769716e-225
22,3.8455993446769716e-225
23,3.8455993446769716e-225
24,3.8455993446769716e-225
25,3.8455993446769716e-225
26,3.8455993446769716e-225
27,3.8455993446769716e-225
28,3.8455993446769716e-225
29,3.8455993446769716e-225
30,3.8455993446769716e-225
31,3.8455993446769716e-225
32,3.8455993446769716e-225
33,3.8455993446769716e-225
34,3.8455993446769716e-225
35,3.8455993446769716e-225
36,3.8455993446769716e-225
37,3.8455993446769716e-225
38,3.8455993446769716e-225
39,3.8455993446769716e-225
40,3.8455993446769716e-225
41,3.8455993446769716e-225
42,3.8455993446769716e-225
43,3.8455993446769716e-225
44,3.8455993446769716e-225
45,3.8455993446769716e-225
46,3.8455993446769716e-225
47,3.8455993446769716e-225
48,3.8455993446769716e-225
49,3.8455993446769716e-225
50,3.8455993446769716e-225
51,3.8455993446769716e-225
52,3.8455993446769716e-225
53,3.8455993446769716e-225
54,3.8455993446769716e-225
55,3.8455993446769716e-225
56,3.8455993446769716e-225
57,3.8455993446769716e-225
58,3.8455993446769716e-225
59,3.8455993446769716e-225
60,3.8455993446769716e-225
61,3.8455993446769716e-225
62,3.8455993446769716e-225
63,3.8455993446769716e-225
64,3.8455993446769716e-225
65,3.8455993446769716e-225
66,3.8455993446769716e-225
67,3.8455993446769716e-225
68,3.8455993446769716e-225
69,3.8455993446769716e-225
70,3.8455993446769716e-225
71,3.8455993446769716e-225
72,3.8455993446769716e-225
73,3.8455993446769716e-225
74,3.8455993446769716e-225
75,3.8455993446769716e-225
76,3.8455993446769716e-225
77,3.8455993446769716e-225
78,3.8455993446769716e-225
79,3.8455993446769716e-225
80,3.8455993446769716e-225
81,3.8455993446769716e-225
82,3.8455993446769716e-225
83,3.8455993446769716e-225
84,3.8455993446769716e-225
85,3.8455993446769716e-225
86,3.8455993446769716e-225
87,3.8455993446769716e-225
88,3.8455993446769716e-225
89,3.8455993446769716e-225
90,3.8455993446769716e-225
91,3.8455993446769716e-225
92,3.8455993446769716e-225
93,3.8455993446769716e-225
94,3.8455993446769716e-225
95,3.8455993446769716e-225
96,3.8455993446769716e-225
97,3.8455993446769716e-225
98,3.8455993446769716e-225
99,3.8455993446769716e-225
100,3.8455993446769716e-225
