"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,1.8973488337416692e-198
2,2.1447647216532527e-214
3,2.1447647216532527e-214
4,2.1447647216532527e-214
5,2.1447647216532527e-214
6,2.1447647216532527e-214
7,2.1447647216532527e-214
8,2.1447647216532527e-214
9,2.1447647216532527e-214
10,2.1447647216532527e-214
11,2.1447647216532527e-214
12,1.9340340660038417e-219
13,1.9340340660038417e-219
14,1.9340340660038417e-219
15,1.9340340660038417e-219
16,1.9340340660038417e-219
17,1.9340340660038417e-219
18,1.9340340660038417e-219
19,1.9340340660038417e-219
20,1.9340340660038417e-219
21,1.9340340660038417e-219
22,1.9340340660038417e-219
23,1.9340340660038417e-219
24,1.0275179059567605e-219
25,1.0275179059567605e-219
26,1.0275179059567605e-219
27,1.0275179059567605e-219
28,1.0275179059567605e-219
29,1.0275179059567605e-219
30,1.0275179059567605e-219
31,1.0275179059567605e-219
32,1.0275179059567605e-219
33,1.0275179059567605e-219
34,1.0275179059567605e-219
35,1.0275179059567605e-219
36,1.0275179059567605e-219
37,1.0275179059567605e-219
38,1.0275179059567605e-219
39,1.0275179059567605e-219
40,1.0275179059567605e-219
41,1.0275179059567605e-219
42,1.0275179059567605e-219
43,1.0275179059567605e-219
44,1.0275179059567605e-219
45,1.0275179059567605e-219
46,1.0275179059567605e-219
47,1.0275179059567605e-219
48,1.0275179059567605e-219
49,1.0275179059567605e-219
50,1.0275179059567605e-219
51,1.0275179059567605e-219
52,1.0275179059567605e-219
53,1.0275179059567605e-219
54,1.0275179059567605e-219
55,1.0275179059567605e-219
56,1.0275179059567605e-219
57,1.0275179059567605e-219
58,1.0275179059567605e-219
59,1.0275179059567605e-219
60,1.0275179059567605e-219
61,1.0275179059567605e-219
62,9.356800264767775e-225
63,9.356800264767775e-225
64,9.356800264767775e-225
65,9.356800264767775e-225
66,9.356800264767775e-225
67,9.356800264767775e-225
68,9.356800264767775e-225
69,9.356800264767775e-225
70,9.356800264767775e-225
71,9.356800264767775e-225
72,9.356800264767775e-225
73,9.356800264767775e-225
74,9.356800264767775e-225
75,9.356800264767775e-225
76,9.356800264767775e-225
77,9.356800264767775e-225
78,9.356800264767775e-225
79,9.356800264767775e-225
80,9.356800264767775e-225
81,9.356800264767775e-225
82,9.356800264767775e-225
83,9.356800264767775e-225
84,9.356800264767775e-225
85,9.356800264767775e-225
86,9.356800264767775e-225
87,9.356800264767775e-225
88,9.356800264767775e-225
89,9.356800264767775e-225
90,9.356800264767775e-225
91,9.356800264767775e-225
92,9.356800264767775e-225
93,1.7065204069166482e-225
94,1.7065204069166482e-225
95,1.7065204069166482e-225
96,1.7065204069166482e-225
97,1.7065204069166482e-225
98,1.7065204069166482e-225
99,1.7065204069166482e-225
100,1.7065204069166482e-225
