"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,9.198355394973669e-122
2,1.3351635409818681e-132
3,1.3351635409818681e-132
4,1.3351635409818681e-132
5,1.3351635409818681e-132
6,1.3351635409818681e-132
7,2.201329054082475e-139
8,2.201329054082475e-139
9,1.1088906678397678e-141
10,1.1088906678397678e-141
11,1.1088906678397678e-141
12,1.1088906678397678e-141
13,1.1088906678397678e-141
14,1.1088906678397678e-141
15,1.1088906678397678e-141
16,1.1088906678397678e-141
17,1.1088906678397678e-141
18,1.1088906678397678e-141
19,1.1088906678397678e-141
20,1.1088906678397678e-141
21,1.1088906678397678e-141
22,1.1088906678397678e-141
23,1.1088906678397678e-141
24,1.1088906678397678e-141
25,1.1088906678397678e-141
26,1.1088906678397678e-141
27,1.1088906678397678e-141
28,1.1088906678397678e-141
29,1.1088906678397678e-141
30,1.1088906678397678e-141
31,1.1088906678397678e-141
32,1.1088906678397678e-141
33,1.1088906678397678e-141
34,1.1088906678397678e-141
35,1.1088906678397678e-141
36,1.1088906678397678e-141
37,1.1088906678397678e-141
38,1.1088906678397678e-141
39,1.1088906678397678e-141
40,1.1088906678397678e-141
41,1.1088906678397678e-141
42,1.1088906678397678e-141
43,1.1088906678397678e-141
44,1.1088906678397678e-141
45,1.1088906678397678e-141
46,1.1088906678397678e-141
47,1.1088906678397678e-141
48,1.1088906678397678e-141
49,1.1088906678397678e-141
50,1.1088906678397678e-141
51,1.1088906678397678e-141
52,1.1088906678397678e-141
53,1.1088906678397678e-141
54,1.1088906678397678e-141
55,1.1088906678397678e-141
56,1.1088906678397678e-141
57,1.1088906678397678e-141
58,1.1088906678397678e-141
59,1.1088906678397678e-141
60,1.1088906678397678e-141
61,1.1088906678397678e-141
62,1.1088906678397678e-141
63,1.1088906678397678e-141
64,1.1088906678397678e-141
65,1.1088906678397678e-141
66,1.1088906678397678e-141
67,1.1088906678397678e-141
68,1.1088906678397678e-141
69,1.1088906678397678e-141
70,1.1088906678397678e-141
71,1.1088906678397678e-141
72,1.1088906678397678e-141
73,1.1088906678397678e-141
74,1.1088906678397678e-141
75,1.1088906678397678e-141
76,1.1088906678397678e-141
77,1.1088906678397678e-141
78,1.1088906678397678e-141
79,1.1088906678397678e-141
80,1.1088906678397678e-141
81,1.1088906678397678e-141
82,1.1088906678397678e-141
83,1.1088906678397678e-141
84,1.1088906678397678e-141
85,1.1088906678397678e-141
86,1.1088906678397678e-141
87,1.1088906678397678e-141
88,1.1088906678397678e-141
89,1.1088906678397678e-141
90,1.1088906678397678e-141
91,1.1088906678397678e-141
92,1.1088906678397678e-141
93,1.1088906678397678e-141
94,1.1088906678397678e-141
95,1.1088906678397678e-141
96,1.1088906678397678e-141
97,1.1088906678397678e-141
98,1.1088906678397678e-141
99,1.1088906678397678e-141
100,2.064017171271258e-155
