"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,2.878813666193446e-118
2,5.742220448328393e-131
3,5.742220448328393e-131
4,5.742220448328393e-131
5,1.511750823871544e-140
6,1.511750823871544e-140
7,1.511750823871544e-140
8,1.511750823871544e-140
9,1.511750823871544e-140
10,1.511750823871544e-140
11,1.511750823871544e-140
12,1.511750823871544e-140
13,1.511750823871544e-140
14,1.511750823871544e-140
15,1.511750823871544e-140
16,1.511750823871544e-140
17,1.511750823871544e-140
18,1.511750823871544e-140
19,1.511750823871544e-140
20,1.511750823871544e-140
21,1.10806893331836e-140
22,1.10806893331836e-140
23,1.10806893331836e-140
24,1.10806893331836e-140
25,1.4945979252684105e-164
26,1.4945979252684105e-164
27,1.4945979252684105e-164
28,1.4945979252684105e-164
29,1.4945979252684105e-164
30,1.4945979252684105e-164
31,1.4945979252684105e-164
32,1.4945979252684105e-164
33,1.4945979252684105e-164
34,1.4945979252684105e-164
35,1.4945979252684105e-164
36,1.4945979252684105e-164
37,1.4945979252684105e-164
38,1.4945979252684105e-164
39,1.4945979252684105e-164
40,1.4945979252684105e-164
41,1.4945979252684105e-164
42,1.4945979252684105e-164
43,1.4945979252684105e-164
44,1.4945979252684105e-164
45,1.4945979252684105e-164
46,1.4945979252684105e-164
47,1.4945979252684105e-164
48,1.4945979252684105e-164
49,1.4945979252684105e-164
50,1.4945979252684105e-164
51,1.4945979252684105e-164
52,1.4945979252684105e-164
53,1.4945979252684105e-164
54,1.4945979252684105e-164
55,1.4945979252684105e-164
56,1.4945979252684105e-164
57,1.4945979252684105e-164
58,1.4945979252684105e-164
59,1.4945979252684105e-164
60,1.4945979252684105e-164
61,1.4945979252684105e-164
62,1.4945979252684105e-164
63,1.4945979252684105e-164
64,1.4945979252684105e-164
65,1.4945979252684105e-164
66,1.4945979252684105e-164
67,1.4945979252684105e-164
68,1.4945979252684105e-164
69,1.4945979252684105e-164
70,1.4945979252684105e-164
71,1.4945979252684105e-164
72,1.4945979252684105e-164
73,1.4945979252684105e-164
74,1.4945979252684105e-164
75,1.4945979252684105e-164
76,1.4945979252684105e-164
77,1.4945979252684105e-164
78,1.4945979252684105e-164
79,1.4945979252684105e-164
80,1.4945979252684105e-164
81,1.4945979252684105e-164
82,1.4945979252684105e-164
83,1.4945979252684105e-164
84,1.4945979252684105e-164
85,1.4945979252684105e-164
86,1.4945979252684105e-164
87,1.4945979252684105e-164
88,1.4945979252684105e-164
89,1.4945979252684105e-164
90,1.4945979252684105e-164
91,1.4945979252684105e-164
92,1.4945979252684105e-164
93,1.4945979252684105e-164
94,1.4945979252684105e-164
95,1.4945979252684105e-164
96,1.4945979252684105e-164
97,1.4945979252684105e-164
98,1.4945979252684105e-164
99,1.4945979252684105e-164
100,1.4945979252684105e-164
