"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,8.234795394046608e-119
2,6.9737099474954e-124
3,6.9737099474954e-124
4,6.9737099474954e-124
5,6.9737099474954e-124
6,1.2148087411165699e-125
7,1.2148087411165699e-125
8,1.2148087411165699e-125
9,1.2148087411165699e-125
10,1.2148087411165699e-125
11,1.2148087411165699e-125
12,1.2148087411165699e-125
13,1.2148087411165699e-125
14,1.2148087411165699e-125
15,1.2148087411165699e-125
16,1.2148087411165699e-125
17,1.2148087411165699e-125
18,6.034323990048107e-129
19,6.034323990048107e-129
20,6.034323990048107e-129
21,3.976407198440926e-130
22,3.976407198440926e-130
23,3.976407198440926e-130
24,3.976407198440926e-130
25,3.976407198440926e-130
26,3.976407198440926e-130
27,3.976407198440926e-130
28,3.976407198440926e-130
29,3.976407198440926e-130
30,3.976407198440926e-130
31,3.976407198440926e-130
32,3.909250204898955e-146
33,3.909250204898955e-146
34,3.909250204898955e-146
35,3.909250204898955e-146
36,3.909250204898955e-146
37,3.909250204898955e-146
38,3.909250204898955e-146
39,3.909250204898955e-146
40,3.909250204898955e-146
41,3.909250204898955e-146
42,3.909250204898955e-146
43,3.909250204898955e-146
44,3.909250204898955e-146
45,3.909250204898955e-146
46,3.909250204898955e-146
47,3.909250204898955e-146
48,3.909250204898955e-146
49,3.909250204898955e-146
50,3.909250204898955e-146
51,3.909250204898955e-146
52,3.909250204898955e-146
53,3.909250204898955e-146
54,3.909250204898955e-146
55,3.909250204898955e-146
56,3.909250204898955e-146
57,3.909250204898955e-146
58,3.909250204898955e-146
59,3.909250204898955e-146
60,3.909250204898955e-146
61,3.909250204898955e-146
62,3.909250204898955e-146
63,3.909250204898955e-146
64,3.909250204898955e-146
65,3.909250204898955e-146
66,3.909250204898955e-146
67,3.909250204898955e-146
68,3.909250204898955e-146
69,3.909250204898955e-146
70,3.909250204898955e-146
71,3.909250204898955e-146
72,3.909250204898955e-146
73,3.909250204898955e-146
74,3.909250204898955e-146
75,3.909250204898955e-146
76,3.909250204898955e-146
77,1.995158261860404e-151
78,1.995158261860404e-151
79,6.037082975185797e-157
80,6.037082975185797e-157
81,6.037082975185797e-157
82,6.037082975185797e-157
83,6.037082975185797e-157
84,6.037082975185797e-157
85,6.037082975185797e-157
86,6.037082975185797e-157
87,6.037082975185797e-157
88,6.037082975185797e-157
89,6.037082975185797e-157
90,6.037082975185797e-157
91,6.037082975185797e-157
92,6.037082975185797e-157
93,6.037082975185797e-157
94,6.037082975185797e-157
95,6.037082975185797e-157
96,6.037082975185797e-157
97,6.037082975185797e-157
98,6.037082975185797e-157
99,6.037082975185797e-157
100,6.037082975185797e-157
