"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,2.9861779474266485e-198
2,1.962087845500484e-204
3,1.962087845500484e-204
4,1.962087845500484e-204
5,1.962087845500484e-204
6,1.962087845500484e-204
7,1.962087845500484e-204
8,1.4789164838544907e-208
9,1.4789164838544907e-208
10,1.4789164838544907e-208
11,1.4789164838544907e-208
12,1.4789164838544907e-208
13,1.4789164838544907e-208
14,1.4789164838544907e-208
15,1.4789164838544907e-208
16,1.4789164838544907e-208
17,1.4789164838544907e-208
18,1.4789164838544907e-208
19,1.4789164838544907e-208
20,1.4789164838544907e-208
21,7.113135983098828e-212
22,4.570447166828209e-212
23,4.570447166828209e-212
24,4.570447166828209e-212
25,4.570447166828209e-212
26,4.570447166828209e-212
27,4.570447166828209e-212
28,4.570447166828209e-212
29,4.570447166828209e-212
30,4.570447166828209e-212
31,7.070329285882032e-213
32,7.070329285882032e-213
33,7.070329285882032e-213
34,7.070329285882032e-213
35,7.070329285882032e-213
36,7.070329285882032e-213
37,7.070329285882032e-213
38,7.070329285882032e-213
39,7.070329285882032e-213
40,7.327671444458863e-214
41,6.730054161648949e-218
42,6.730054161648949e-218
43,6.730054161648949e-218
44,6.730054161648949e-218
45,6.730054161648949e-218
46,6.730054161648949e-218
47,6.730054161648949e-218
48,1.6406628862844603e-235
49,1.6406628862844603e-235
50,1.6406628862844603e-235
51,1.6406628862844603e-235
52,1.6406628862844603e-235
53,1.6406628862844603e-235
54,1.6406628862844603e-235
55,1.6406628862844603e-235
56,1.6406628862844603e-235
57,1.6406628862844603e-235
58,1.6406628862844603e-235
59,1.6406628862844603e-235
60,1.6406628862844603e-235
61,1.6406628862844603e-235
62,1.6406628862844603e-235
63,1.6406628862844603e-235
64,1.6406628862844603e-235
65,1.6406628862844603e-235
66,1.6406628862844603e-235
67,1.6406628862844603e-235
68,1.6406628862844603e-235
69,1.6406628862844603e-235
70,1.6406628862844603e-235
71,1.6406628862844603e-235
72,1.6406628862844603e-235
73,1.6406628862844603e-235
74,1.6406628862844603e-235
75,1.6406628862844603e-235
76,1.6406628862844603e-235
77,1.6406628862844603e-235
78,1.6406628862844603e-235
79,1.6406628862844603e-235
80,1.6406628862844603e-235
81,1.6406628862844603e-235
82,1.6406628862844603e-235
83,1.6406628862844603e-235
84,1.6406628862844603e-235
85,1.6406628862844603e-235
86,1.6406628862844603e-235
87,1.6406628862844603e-235
88,1.6406628862844603e-235
89,1.6406628862844603e-235
90,1.6406628862844603e-235
91,1.6406628862844603e-235
92,1.6406628862844603e-235
93,1.6406628862844603e-235
94,1.6406628862844603e-235
95,1.6406628862844603e-235
96,1.6406628862844603e-235
97,1.6406628862844603e-235
98,1.6406628862844603e-235
99,1.6406628862844603e-235
100,1.6406628862844603e-235
