"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,1.3857852098313779e-120
2,7.99170693382132e-137
3,7.99170693382132e-137
4,7.390089527299082e-148
5,7.390089527299082e-148
6,7.390089527299082e-148
7,7.390089527299082e-148
8,7.390089527299082e-148
9,7.390089527299082e-148
10,7.390089527299082e-148
11,7.390089527299082e-148
12,7.390089527299082e-148
13,7.390089527299082e-148
14,7.390089527299082e-148
15,7.390089527299082e-148
16,7.390089527299082e-148
17,7.390089527299082e-148
18,7.390089527299082e-148
19,7.390089527299082e-148
20,7.390089527299082e-148
21,7.390089527299082e-148
22,7.390089527299082e-148
23,7.390089527299082e-148
24,7.390089527299082e-148
25,7.390089527299082e-148
26,7.390089527299082e-148
27,7.390089527299082e-148
28,7.390089527299082e-148
29,7.390089527299082e-148
30,7.390089527299082e-148
31,7.390089527299082e-148
32,7.390089527299082e-148
33,4.070415940206249e-150
34,4.070415940206249e-150
35,4.070415940206249e-150
36,4.070415940206249e-150
37,4.070415940206249e-150
38,4.070415940206249e-150
39,4.070415940206249e-150
40,4.070415940206249e-150
41,4.070415940206249e-150
42,4.070415940206249e-150
43,4.070415940206249e-150
44,4.070415940206249e-150
45,4.070415940206249e-150
46,4.070415940206249e-150
47,4.070415940206249e-150
48,4.070415940206249e-150
49,4.070415940206249e-150
50,4.070415940206249e-150
51,4.070415940206249e-150
52,4.070415940206249e-150
53,4.070415940206249e-150
54,4.070415940206249e-150
55,4.070415940206249e-150
56,4.070415940206249e-150
57,4.070415940206249e-150
58,4.070415940206249e-150
59,4.070415940206249e-150
60,4.070415940206249e-150
61,4.070415940206249e-150
62,4.070415940206249e-150
63,4.070415940206249e-150
64,4.070415940206249e-150
65,4.070415940206249e-150
66,4.070415940206249e-150
67,4.070415940206249e-150
68,4.070415940206249e-150
69,4.070415940206249e-150
70,4.070415940206249e-150
71,4.070415940206249e-150
72,4.070415940206249e-150
73,4.070415940206249e-150
74,4.070415940206249e-150
75,4.070415940206249e-150
76,4.070415940206249e-150
77,4.070415940206249e-150
78,4.070415940206249e-150
79,4.070415940206249e-150
80,4.070415940206249e-150
81,4.070415940206249e-150
82,4.070415940206249e-150
83,4.070415940206249e-150
84,4.070415940206249e-150
85,4.070415940206249e-150
86,4.070415940206249e-150
87,4.070415940206249e-150
88,4.070415940206249e-150
89,4.070415940206249e-150
90,4.070415940206249e-150
91,4.070415940206249e-150
92,4.070415940206249e-150
93,4.070415940206249e-150
94,4.070415940206249e-150
95,4.070415940206249e-150
96,4.070415940206249e-150
97,4.070415940206249e-150
98,4.070415940206249e-150
99,4.070415940206249e-150
100,4.070415940206249e-150
