"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,1.0921987562788393e-194
2,7.574312478770724e-201
3,7.574312478770724e-201
4,7.574312478770724e-201
5,7.574312478770724e-201
6,1.4322768390179184e-203
7,1.4322768390179184e-203
8,4.701416231004388e-213
9,4.5076241647775454e-215
10,4.5076241647775454e-215
11,4.5076241647775454e-215
12,4.5076241647775454e-215
13,4.5076241647775454e-215
14,4.5076241647775454e-215
15,4.5076241647775454e-215
16,4.5076241647775454e-215
17,4.5076241647775454e-215
18,4.5076241647775454e-215
19,4.5076241647775454e-215
20,4.5076241647775454e-215
21,4.5076241647775454e-215
22,4.5076241647775454e-215
23,4.5076241647775454e-215
24,4.5076241647775454e-215
25,4.5076241647775454e-215
26,4.5076241647775454e-215
27,4.5076241647775454e-215
28,7.355407441641164e-216
29,7.355407441641164e-216
30,7.355407441641164e-216
31,7.355407441641164e-216
32,7.355407441641164e-216
33,7.355407441641164e-216
34,7.355407441641164e-216
35,7.355407441641164e-216
36,7.355407441641164e-216
37,7.355407441641164e-216
38,7.355407441641164e-216
39,7.355407441641164e-216
40,7.355407441641164e-216
41,7.355407441641164e-216
42,7.355407441641164e-216
43,7.355407441641164e-216
44,7.355407441641164e-216
45,7.355407441641164e-216
46,7.355407441641164e-216
47,7.355407441641164e-216
48,7.355407441641164e-216
49,7.355407441641164e-216
50,7.355407441641164e-216
51,7.355407441641164e-216
52,7.355407441641164e-216
53,7.355407441641164e-216
54,7.355407441641164e-216
55,7.355407441641164e-216
56,7.355407441641164e-216
57,7.355407441641164e-216
58,7.355407441641164e-216
59,7.355407441641164e-216
60,7.355407441641164e-216
61,7.355407441641164e-216
62,7.355407441641164e-216
63,7.355407441641164e-216
64,7.355407441641164e-216
65,7.355407441641164e-216
66,7.355407441641164e-216
67,7.355407441641164e-216
68,7.355407441641164e-216
69,7.355407441641164e-216
70,7.355407441641164e-216
71,7.355407441641164e-216
72,3.1649926792601387e-223
73,3.1649926792601387e-223
74,3.1649926792601387e-223
75,3.1649926792601387e-223
76,3.1649926792601387e-223
77,3.1649926792601387e-223
78,3.1649926792601387e-223
79,3.1649926792601387e-223
80,3.1649926792601387e-223
81,3.1649926792601387e-223
82,3.1649926792601387e-223
83,3.1649926792601387e-223
84,3.1649926792601387e-223
85,3.1649926792601387e-223
86,3.1649926792601387e-223
87,3.1649926792601387e-223
88,3.1649926792601387e-223
89,3.1649926792601387e-223
90,3.1649926792601387e-223
91,3.1649926792601387e-223
92,3.1649926792601387e-223
93,3.1649926792601387e-223
94,3.1649926792601387e-223
95,3.1649926792601387e-223
96,3.1649926792601387e-223
97,3.1649926792601387e-223
98,3.1649926792601387e-223
99,3.1649926792601387e-223
100,3.1649926792601387e-223
