"combination [m, n, l1, l2, ep_max, c1, c2]",gBest_fitness
1,5.651834466478851e-137
2,5.651834466478851e-137
3,5.651834466478851e-137
4,5.651834466478851e-137
5,5.651834466478851e-137
6,5.651834466478851e-137
7,5.651834466478851e-137
8,5.651834466478851e-137
9,5.651834466478851e-137
10,5.651834466478851e-137
11,5.651834466478851e-137
12,5.651834466478851e-137
13,5.651834466478851e-137
14,5.651834466478851e-137
15,5.651834466478851e-137
16,5.651834466478851e-137
17,5.651834466478851e-137
18,5.651834466478851e-137
19,5.651834466478851e-137
20,7.981143459109868e-147
21,7.981143459109868e-147
22,7.981143459109868e-147
23,7.981143459109868e-147
24,7.981143459109868e-147
25,7.981143459109868e-147
26,7.981143459109868e-147
27,7.981143459109868e-147
28,7.981143459109868e-147
29,7.981143459109868e-147
30,7.981143459109868e-147
31,7.981143459109868e-147
32,7.981143459109868e-147
33,7.981143459109868e-147
34,7.981143459109868e-147
35,7.981143459109868e-147
36,7.981143459109868e-147
37,7.981143459109868e-147
38,7.981143459109868e-147
39,7.981143459109868e-147
40,7.981143459109868e-147
41,7.981143459109868e-147
42,7.981143459109868e-147
43,7.981143459109868e-147
44,7.981143459109868e-147
45,7.981143459109868e-147
46,7.981143459109868e-147
47,7.981143459109868e-147
48,7.981143459109868e-147
49,7.981143459109868e-147
50,7.981143459109868e-147
51,7.981143459109868e-147
52,7.981143459109868e-147
53,7.981143459109868e-147
54,7.981143459109868e-147
55,7.981143459109868e-147
56,7.981143459109868e-147
57,7.981143459109868e-147
58,7.981143459109868e-147
59,7.981143459109868e-147
60,7.981143459109868e-147
61,7.981143459109868e-147
62,7.981143459109868e-147
63,7.981143459109868e-147
64,7.981143459109868e-147
65,7.981143459109868e-147
66,7.981143459109868e-147
67,7.981143459109868e-147
68,7.981143459109868e-147
69,7.981143459109868e-147
70,7.981143459109868e-147
71,7.981143459109868e-147
72,7.981143459109868e-147
73,7.981143459109868e-147
74,7.981143459109868e-147
75,7.981143459109868e-147
76,7.981143459109868e-147
77,7.981143459109868e-147
78,7.981143459109868e-147
79,7.981143459109868e-147
80,7.981143459109868e-147
81,7.981143459109868e-147
82,7.981143459109868e-147
83,7.981143459109868e-147
84,7.981143459109868e-147
85,7.981143459109868e-147
86,7.981143459109868e-147
87,7.981143459109868e-147
88,7.981143459109868e-147
89,7.981143459109868e-147
90,7.981143459109868e-147
91,7.981143459109868e-147
92,7.981143459109868e-147
93,7.981143459109868e-147
94,7.981143459109868e-147
95,7.981143459109868e-147
96,7.981143459109868e-147
97,7.981143459109868e-147
98,7.981143459109868e-147
99,7.981143459109868e-147
100,7.981143459109868e-147
