"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f17', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",8.3,0.029
"['f17', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",9.86,0.064
"['f17', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",8.28,0.026
"['f17', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",9.94,0.169
"['f17', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",8.4,0.086
"['f17', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",10.1,0.03
"['f17', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",8.62,0.06
"['f17', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",10.69,0.012
"['f17', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",10.06,0.004
"['f17', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",10.26,0.033
"['f17', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",12.08,0.025
"['f17', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",10.8,0.005
"['f17', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",8.37,0.216
"['f17', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",9.98,0.673
"['f17', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",8.81,0.653
"['f17', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",9.88,0.892
"['f17', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",8.29,0.615
"['f17', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",10.2,1.004
"['f17', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",9.51,0.402
"['f17', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",10.19,0.527
"['f17', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",14.26,0.415
"['f17', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",10.85,0.041
"['f17', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",9.95,0.067
"['f17', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",10.12,0.425
"['f17', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",11.19,0.024
"['f17', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",13.37,0.027
