"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f1', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.97,1.868
"['f1', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",3.8,2.988
"['f1', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",3.17,5.501
"['f1', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",3.2,0.043
"['f1', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",2.65,2.572
"['f1', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",3.2,1.439
"['f1', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",2.86,0.284
"['f1', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",3.3,1.688
"['f1', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",3.34,0.157
"['f1', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",3.26,0.079
"['f1', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",3.18,0.093
"['f1', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",3.44,0.076
"['f1', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",2.64,20.967
"['f1', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",3.33,10.38
"['f1', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",2.79,82.49
"['f1', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",3.38,15.375
"['f1', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",2.76,56.935
"['f1', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",3.55,46.032
"['f1', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",2.91,166.001
"['f1', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",3.23,51.913
"['f1', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",3.36,49.268
"['f1', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",3.31,7.587
"['f1', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",3.33,103.271
"['f1', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",3.49,5.812
"['f1', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.84,2.673
"['f1', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.36,1.574
"['f1', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",3.49,0.081
"['f1', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",4.22,1.606
"['f1', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",3.72,0.184
"['f1', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.27,0.588
"['f1', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",3.53,1.118
"['f1', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",4.5,0.562
"['f1', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",4.52,1.839
"['f1', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.67,0.201
"['f1', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",4.71,0.102
"['f1', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",4.6,0.214
"['f1', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",3.64,220.043
"['f1', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.61,30.425
"['f1', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",3.86,49.213
"['f1', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",4.44,36.754
"['f1', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.61,23.236
"['f1', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",4.45,52.289
"['f1', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.69,10.311
"['f1', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",4.69,67.952
"['f1', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",4.52,14.603
"['f1', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.43,52.268
"['f1', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",4.68,10.306
"['f1', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",4.31,26.688
"['f1', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.5,1.528
"['f1', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",6.54,0.022
"['f1', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",5.62,0.073
"['f1', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",6.82,7.143
"['f1', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",5.42,1.381
"['f1', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",6.77,0.407
"['f1', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",5.52,1.241
"['f1', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",6.92,2.163
"['f1', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",6.61,0.871
"['f1', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",6.52,0.166
"['f1', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",6.55,0.895
"['f1', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",6.58,0.129
"['f1', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",5.53,70.385
"['f1', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",6.44,442.585
"['f1', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",5.43,50.43
"['f1', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",6.59,80.028
"['f1', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",5.44,138.711
"['f1', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",6.81,6.924
"['f1', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",5.49,168.116
"['f1', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",6.53,9.279
"['f1', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",6.91,31.166
"['f1', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",6.44,21.233
"['f1', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",6.6,245.545
"['f1', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",6.6,3.85
"['f1', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",10.35,2.096
"['f1', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",11.92,7.15
"['f1', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",10.0,0.48
"['f1', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",12.18,2.307
"['f1', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",9.96,1.999
"['f1', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",11.94,5.951
"['f1', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",9.72,1.248
"['f1', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",12.15,2.271
"['f1', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",11.9,1.235
"['f1', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",12.03,1.605
"['f1', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",11.94,1.71
"['f1', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",12.36,1.867
"['f1', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",10.17,792.002
"['f1', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",12.26,154.4
"['f1', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",9.97,164.313
"['f1', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",12.1,640.245
"['f1', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",10.42,77.619
"['f1', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",12.5,424.583
"['f1', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",10.03,69.325
"['f1', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",12.46,466.062
"['f1', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",12.09,249.114
"['f1', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",12.1,122.265
"['f1', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",12.1,180.794
"['f1', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",12.04,105.447
