epoch,gBest_fitness
1,242865.556
2,251622.677
3,231788.412
4,223080.393
5,211417.466
6,211417.466
7,201690.464
8,189018.519
9,181134.055
10,170555.136
11,169328.71
12,157092.736
13,150524.671
14,141192.13
15,135005.68
16,129919.844
17,106057.014
18,106057.014
19,107333.651
20,101173.712
21,101173.712
22,91526.567
23,89559.329
24,84509.743
25,77629.838
26,76570.717
27,73838.642
28,69571.942
29,65229.19
30,63726.117
31,59350.181
32,60974.751
33,56496.877
34,50045.424
35,50045.424
36,50045.424
37,47227.734
38,43331.4
39,45313.936
40,36905.127
41,36905.127
42,38817.245
43,32872.299
44,31035.119
45,29065.144
46,29065.144
47,27960.902
48,27943.749
49,23888.138
50,23888.138
51,22888.128
52,20874.737
53,20168.528
54,20091.287
55,20168.528
56,17542.084
57,16705.523
58,17364.718
59,16096.321
60,14800.88
61,14218.661
62,14218.661
63,12751.584
64,12751.584
65,12301.514
66,11800.417
67,10531.987
68,10531.987
69,10550.845
70,9671.21
71,8891.466
72,8042.884
73,8042.884
74,8042.884
75,8042.884
76,7152.483
77,7061.923
78,6382.245
79,6351.054
80,5852.02
81,4146.242
82,4146.242
83,4391.794
84,4931.634
85,4931.634
86,4683.334
87,4169.594
88,4169.594
89,3801.143
90,3801.143
91,3565.716
92,3565.716
93,3443.567
94,3005.39
95,3005.39
96,2681.103
97,2613.957
98,2462.618
99,2696.942
100,2463.506
101,2389.998
102,2190.294
103,2107.975
104,2087.643
105,1900.408
106,1900.408
107,1901.036
108,1837.431
109,1669.73
110,1632.575
111,1571.683
112,1570.411
113,1482.416
114,1477.775
115,1321.951
116,1321.951
117,1279.034
118,1218.862
119,1214.208
120,1214.208
121,1214.208
122,1116.406
123,1116.406
124,1067.944
125,1067.944
126,1049.322
127,1021.539
128,976.313
129,976.313
130,972.013
131,907.831
132,907.831
133,886.987
134,886.987
135,886.987
136,863.525
137,863.525
138,864.15
139,842.333
140,831.109
141,831.483
142,819.124
143,828.376
144,810.727
145,797.156
146,793.76
147,768.348
148,768.348
149,761.86
150,761.259
151,761.259
152,752.969
153,740.412
154,739.655
155,739.384
156,732.052
157,730.182
158,720.171
159,709.264
160,707.824
161,706.559
162,706.559
163,704.643
164,694.453
165,698.53
166,686.129
167,690.016
168,688.28
169,683.93
170,681.896
171,679.002
172,679.002
173,677.928
174,676.325
175,673.261
176,675.214
177,673.18
178,672.391
179,672.146
180,670.491
181,669.084
182,667.873
183,667.857
184,665.723
185,665.723
186,663.083
187,664.799
188,662.933
189,661.584
190,660.382
191,659.312
192,659.134
193,656.386
194,657.543
195,657.978
196,655.869
197,655.869
198,655.869
199,655.2
200,655.385
201,653.925
202,653.081
203,652.977
204,652.687
205,651.386
206,651.386
207,651.434
208,650.664
209,650.664
210,650.349
211,649.036
212,649.582
213,649.036
214,649.577
215,649.178
216,648.663
217,648.405
218,648.122
219,648.009
220,647.624
221,647.297
222,647.737
223,647.001
224,647.236
225,646.506
226,646.133
227,646.133
228,646.133
229,645.871
230,645.666
231,645.666
232,645.493
233,645.434
234,645.248
235,645.107
236,644.793
237,644.753
238,644.362
239,644.539
240,644.539
241,644.371
242,644.044
243,643.839
244,643.634
245,643.738
246,643.653
247,643.252
248,643.299
249,643.28
250,643.038
251,643.02
252,643.02
253,643.02
254,642.861
255,642.834
256,642.647
257,642.647
258,642.647
259,642.619
260,642.452
261,642.442
262,642.256
263,642.098
264,642.042
265,641.875
266,642.061
267,641.875
268,641.865
269,641.66
270,641.856
271,641.67
272,641.67
273,641.66
274,641.66
275,641.474
276,641.474
277,641.288
278,641.288
279,641.269
280,641.055
281,641.055
282,640.86
283,640.86
284,640.86
285,640.851
286,640.655
287,640.45
288,640.646
289,640.646
290,640.487
291,640.46
292,640.45
293,640.441
294,640.441
295,640.255
296,640.255
297,640.255
298,640.245
299,640.245
300,640.245
