"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f8', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.9,342750978.806
"['f8', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.63,425443233.769
"['f8', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",3.88,1407103095.155
"['f8', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",4.62,222851733.153
"['f8', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4.29,281947.801
"['f8', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.7,2895781.248
"['f8', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",4.1,2264083.506
"['f8', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",4.43,3853050.9
"['f8', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",4.52,8548.858
"['f8', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.53,152187.464
"['f8', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",4.78,183719.38
"['f8', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",4.73,125170.039
"['f8', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.16,87407257923916.3
"['f8', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.66,1179666297823.051
"['f8', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",3.74,422909937571508.4
"['f8', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",4.95,23602067783.733
"['f8', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.69,120634426499.429
"['f8', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",4.82,25826394626154.023
"['f8', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.63,101919884872816.2
"['f8', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",4.43,1235307175682226.8
"['f8', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",4.51,11698041395780.523
"['f8', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.6,119252301335.263
"['f8', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",4.84,3836713216605.702
"['f8', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",4.45,10812243886479.627
"['f8', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.95,265813867.543
"['f8', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.83,4217.436
"['f8', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",5.32,296244589.504
"['f8', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",5.67,2093594860.77
"['f8', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",4.85,43323.793
"['f8', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",6.25,5056461297.849
"['f8', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",4.73,6304285.933
"['f8', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",6.6,3312067311.813
"['f8', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",5.75,142453.022
"['f8', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",5.6,9492010.366
"['f8', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",6.45,594.796
"['f8', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",5.79,72477557.111
"['f8', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",5.68,216274917392267.62
"['f8', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",6.08,1294568806956558.2
"['f8', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",5.19,1852107854562237.2
"['f8', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",5.91,216077410598975.9
"['f8', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",5.16,11864372248074.102
"['f8', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",5.71,459980763770989.0
"['f8', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",4.66,82689108135.625
"['f8', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",5.68,332530740606.185
"['f8', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",5.69,986679120075.261
"['f8', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",5.78,1629643659423.235
"['f8', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.73,4594512607548.754
"['f8', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",5.99,556494634998.537
"['f8', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",7.0,166687479.941
"['f8', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.26,10167717575.518
"['f8', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",6.74,327816980.434
"['f8', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",7.9,1087411530.194
"['f8', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",6.77,1238372327.295
"['f8', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",7.97,125014577.207
"['f8', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",6.68,137399.57
"['f8', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",8.13,27037881.933
"['f8', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",8.12,7812924.133
"['f8', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",8.05,367443338.479
"['f8', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",8.75,84375.474
"['f8', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",8.74,23563.813
"['f8', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",6.89,676451485270773.0
"['f8', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",8.52,37795212111377.055
"['f8', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",7.11,2063820195242903.0
"['f8', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",8.31,196396156971826.56
"['f8', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",6.89,3348376404378405.5
"['f8', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",8.05,42414470854.065
"['f8', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",6.71,10736215478933.62
"['f8', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",8.18,6720725614094.456
"['f8', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",8.18,10668169684614.64
"['f8', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",8.59,674672414855.882
"['f8', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",8.07,215800356528.168
"['f8', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",8.39,1023187598352595.5
"['f8', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",11.96,91895379.016
"['f8', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",14.55,2802363.088
"['f8', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",11.95,8059465.129
"['f8', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",14.38,3569362189.346
"['f8', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",12.14,5715480.786
"['f8', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",14.31,21217624963.245
"['f8', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",13.05,842149672.431
"['f8', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",14.85,200681608.872
"['f8', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",14.24,101717709.351
"['f8', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",14.57,56525611.087
"['f8', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",14.66,20046930.037
"['f8', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",14.88,601652130.084
"['f8', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",12.59,3402612824228.228
"['f8', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",14.17,173690068572688.4
"['f8', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",11.83,715017051675441.2
"['f8', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",14.17,48310774822.175
"['f8', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",12.17,40907144026239.805
"['f8', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",14.91,383504204634757.5
"['f8', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",11.89,1453186293197593.2
"['f8', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",15.03,37639133709845.32
"['f8', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",14.67,6565256313748409.0
"['f8', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",14.19,68957328461552.22
"['f8', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",14.46,193263028228284.4
"['f8', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",14.52,6626690443953494.0
