epoch,gBest_fitness
1,2.0272330355212825e+20
2,1.857334970496648e+20
3,1.6859460471658817e+20
4,1.53156865150281e+20
5,1.3967473449642702e+20
6,1.2751670209272768e+20
7,1.1604297168563397e+20
8,1.0586689741527196e+20
9,9.65208615421579e+19
10,8.811296869043236e+19
11,7.973153294778591e+19
12,7.2833631134485406e+19
13,6.622185302343139e+19
14,5.921969791143507e+19
15,5.324212218432398e+19
16,4.741596841060737e+19
17,4.19461900727805e+19
18,3.754532405701736e+19
19,3.267705759042242e+19
20,2.8859663152963764e+19
21,2.591345389964e+19
22,2.3609945720231068e+19
23,2.153500741813326e+19
24,1.8959550639123096e+19
25,1.683495665023079e+19
26,1.5212822831102775e+19
27,1.3786013056806144e+19
28,1.2188393371267723e+19
29,1.056180926406572e+19
30,8.986573519467665e+18
31,7.652512732265855e+18
32,6.541528365928582e+18
33,5.625377673708316e+18
34,4.835699836794338e+18
35,4.1784542863394084e+18
36,3.7017376889184517e+18
37,3.3485976623015204e+18
38,2.923885471260313e+18
39,2.614915622810829e+18
40,2.3855048618495473e+18
41,2.0975310108895393e+18
42,1.8735674416056502e+18
43,1.6968626182747694e+18
44,1.486251124331766e+18
45,1.2861585870536724e+18
46,1.0701178527393114e+18
47,9.007798097666405e+17
48,7.602748750335008e+17
49,6.419994372628649e+17
50,5.616231437403783e+17
51,4.7829020274932717e+17
52,4.046639729309722e+17
53,3.4794009976642106e+17
54,3.099317326308685e+17
55,2.8363333124130733e+17
56,2.447648978438852e+17
57,2.1666815785089866e+17
58,1.8399922588758717e+17
59,1.4934929228073386e+17
60,1.2150531120621894e+17
61,9.677707277168094e+16
62,7.718813416940306e+16
63,6.009244343107819e+16
64,4.831143383548742e+16
65,4.076124968537607e+16
66,3.4191369885052876e+16
67,2.6250633352690716e+16
68,2.007073457275764e+16
69,1.5862704984734408e+16
70,1.1864129579154422e+16
71,8804249196035577.0
72,6369778761349159.0
73,5009807614006229.0
74,4195868978285849.5
75,3468064216475794.5
76,2653646933713955.5
77,1966103698455132.5
78,1372109422593137.2
79,1010225317900727.8
80,759885316502919.8
81,592764887610484.9
82,436797052598287.4
83,314907141124419.94
84,241188185106561.12
85,197096776938827.84
86,162111883800525.38
87,115314477323769.88
88,73524253747897.12
89,46714893638724.45
90,27558213405387.938
91,15093987337077.998
92,8362715976846.053
93,4819938521793.277
94,2440761715904.813
95,1415556789592.0022
96,989850847235.8763
97,772158931364.0052
98,584698390817.6433
99,514632257049.4118
100,477155301716.81104
101,477155301716.81104
102,416835788803.95404
103,392676653236.66223
104,392676653236.66223
105,305822707235.0566
106,244835143858.01465
107,240853591398.9462
108,239040879713.07013
109,141231339797.2972
110,116011652399.61241
111,97837582704.5726
112,87731960278.93039
113,71064247602.8521
114,55608928248.2932
115,52615905785.64765
116,52615905785.64765
117,34908200275.69128
118,32102728659.662064
119,25509203870.022293
120,21882161231.574562
121,21657374025.242935
122,16759454420.186983
123,10452776913.099407
124,9460004611.657587
125,7286366963.378875
126,5622101428.6533985
127,4802732820.872777
128,4712322321.312205
129,3443681290.5688744
130,2817447558.493011
131,2611238031.434548
132,2216610463.5786014
133,2165972786.425676
134,1845087071.68304
135,1761172647.5139012
136,1411093142.652778
137,1000807093.6765549
138,649509713.9569718
139,603354033.9230046
140,559929402.2814888
141,510572671.30376166
142,469550609.9072716
143,325612589.66788816
144,300912590.1418988
145,199455815.72049397
146,199455815.72049397
147,199101831.98931015
148,178998040.4313982
149,163365029.86774412
150,144601587.27733493
151,132830935.060936
152,132830935.060936
153,110978458.38680106
154,82822685.1774485
155,69873059.2508263
156,50192948.24845613
157,42884269.924584314
158,35827679.8059714
159,30804629.797405962
160,29178314.21202515
161,29065116.604562365
162,20511254.693785556
163,15499536.031196348
164,14092759.213277856
165,11261906.854685366
166,11261906.854685366
167,11168923.624703128
168,9002782.116766674
169,8848454.21833973
170,7369639.509311802
171,7326065.975359859
172,6163621.172776152
173,4468389.752486117
174,4468389.752486117
175,3229930.6528956876
176,2777477.829426281
177,2149699.6621136754
178,2149699.6621136754
179,2068834.6372539757
180,1576385.4613849574
181,1419437.7428619002
182,1080597.6788532846
183,949075.3669964261
184,624203.0072294308
185,458718.565920708
186,284705.7858933231
187,271465.5622396895
188,232438.6520511718
189,219174.04508780772
190,170558.46381255085
191,167688.7099945661
192,128269.52264971044
193,94671.34599043426
194,92387.68673717088
195,92387.68673717088
196,85483.94235967036
197,76773.24069129207
198,57361.154523288365
199,57361.154523288365
200,46555.014538040414
201,42546.079159248424
202,36484.820478688984
203,31817.32891682446
204,31817.32891682446
205,27806.745119780622
206,25556.598089279716
207,25513.116012170256
208,23044.457550655992
209,22824.55419997239
210,21232.35988827593
211,19755.439604572384
212,19665.43524070808
213,19665.43524070808
214,14622.640086832733
215,13229.152490990022
216,13229.152490990022
217,11110.714197011908
218,11050.637233508844
219,10852.60506593598
220,9644.390796441512
221,8728.377458216204
222,7824.406534735508
223,6992.1874181955745
224,6507.254823758527
225,5493.582344674756
226,5493.582344674756
227,4981.805133514334
228,4673.720274162824
229,4665.877546991003
230,4540.924909716587
231,4445.88146269044
232,4439.02864812406
233,4255.092788928189
234,4145.829572335043
235,3719.0729697296174
236,3437.3787857300717
237,3185.4519463542297
238,3185.4519463542297
239,2777.0705215001103
240,2584.25815709749
241,2505.050395715234
242,2359.769584894431
243,2302.8340221295675
244,2302.8340221295675
245,2282.5057191670944
246,2282.5057191670944
247,1886.533522775224
248,1865.3387597310061
249,1821.1049139732843
250,1774.2261255604224
251,1746.6553300618293
252,1746.6553300618293
253,1735.716382462935
254,1735.716382462935
255,1620.6381478411163
256,1605.0078845558726
257,1584.0129196909775
258,1579.7810689682312
259,1579.7810689682312
260,1571.5495586957718
261,1566.6811411341328
262,1562.3006387535638
263,1547.373475758529
264,1544.2347599062955
265,1531.9043896555106
266,1526.1402962742197
267,1526.1402962742197
268,1520.4094707184988
269,1518.7422797139257
270,1499.1741885772337
271,1487.7059552479436
272,1466.851707532312
273,1390.358542738422
274,1382.9944541782106
275,1372.6008882256542
276,1359.8509072139962
277,1337.9096340881206
278,1331.337491707275
279,1328.793585177259
280,1320.1269543838673
281,1319.3321562866072
282,1318.4432551362834
283,1318.4432551362834
284,1315.999679208436
285,1315.3040574002005
286,1314.045100219519
287,1313.3286088053599
288,1313.3286088053599
289,1313.0289392456775
290,1312.9938222833484
