"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",total_time,gBest_fitness
"['f13', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",9.29,0.004593033680577914
"['f13', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",9.5,0.0009321915997485731
"['f13', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",8.79,0.03025722203861882
"['f13', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",9.28,0.0020716386513407454
"['f13', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",10.6,0.0070969281238617175
"['f13', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",10.86,0.0007064957971574604
"['f13', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",11.09,0.004186341275462977
"['f13', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",12.5,0.029153398989912937
"['f13', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",10.77,0.004673391361486631
"['f13', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",11.16,0.021149349549535307
"['f13', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",10.68,0.007141586141618586
"['f13', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",10.52,0.0007062024693912492
"['f13', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",8.85,0.686849744252027
"['f13', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",9.41,0.0672980158251441
"['f13', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",9.2,2.061786288993663
"['f13', 20, -100, 100, 100, 250, 2.5, 2.5, 25000]",8.76,0.7210108607870034
"['f13', 20, -100, 100, 100, 300, 2.05, 2.05, 30000]",11.48,0.6739263238317784
"['f13', 20, -100, 100, 100, 300, 2.05, 2.5, 30000]",11.03,0.007391399803526656
"['f13', 20, -100, 100, 100, 300, 2.5, 2.05, 30000]",11.18,1.4819031486513363
"['f13', 20, -100, 100, 100, 300, 2.5, 2.5, 30000]",11.2,0.10040799922355377
"['f13', 20, -100, 100, 200, 150, 2.05, 2.05, 30000]",10.49,0.33324275303508255
"['f13', 20, -100, 100, 200, 150, 2.05, 2.5, 30000]",10.91,0.3850271408899852
"['f13', 20, -100, 100, 200, 150, 2.5, 2.05, 30000]",11.47,0.5091009619023367
"['f13', 20, -100, 100, 200, 150, 2.5, 2.5, 30000]",11.09,0.30069205897240253
"['f13', 30, -10, 10, 100, 250, 2.05, 2.05, 25000]",10.96,0.5324922874101571
"['f13', 30, -10, 10, 100, 250, 2.05, 2.5, 25000]",10.59,0.24323664287010544
"['f13', 30, -10, 10, 100, 250, 2.5, 2.05, 25000]",12.06,0.5941240639517011
"['f13', 30, -10, 10, 100, 250, 2.5, 2.5, 25000]",11.22,0.23593587097079555
"['f13', 30, -10, 10, 100, 300, 2.05, 2.05, 30000]",12.79,0.9065753143929441
"['f13', 30, -10, 10, 100, 300, 2.05, 2.5, 30000]",12.51,0.15537952656269738
"['f13', 30, -10, 10, 100, 300, 2.5, 2.05, 30000]",12.51,0.7507650452980413
"['f13', 30, -10, 10, 100, 300, 2.5, 2.5, 30000]",13.67,0.09834981985532688
"['f13', 30, -10, 10, 200, 150, 2.05, 2.05, 30000]",13.76,0.4737294861627719
"['f13', 30, -10, 10, 200, 150, 2.05, 2.5, 30000]",14.96,0.13394673001097107
"['f13', 30, -10, 10, 200, 150, 2.5, 2.05, 30000]",13.56,0.6924349654412824
"['f13', 30, -10, 10, 200, 150, 2.5, 2.5, 30000]",13.87,0.22217133188109572
"['f13', 30, -100, 100, 100, 250, 2.05, 2.05, 25000]",11.11,478.2052367769057
"['f13', 30, -100, 100, 100, 250, 2.05, 2.5, 25000]",10.61,43.58152575394733
"['f13', 30, -100, 100, 100, 250, 2.5, 2.05, 25000]",11.04,103.22886871304677
"['f13', 30, -100, 100, 100, 250, 2.5, 2.5, 25000]",10.66,58.489975985030554
"['f13', 30, -100, 100, 100, 300, 2.05, 2.05, 30000]",12.9,71.42933493877521
"['f13', 30, -100, 100, 100, 300, 2.05, 2.5, 30000]",14.25,42.95653568300188
"['f13', 30, -100, 100, 100, 300, 2.5, 2.05, 30000]",13.35,22.47063408243549
"['f13', 30, -100, 100, 100, 300, 2.5, 2.5, 30000]",13.4,12.257468912058975
"['f13', 30, -100, 100, 200, 150, 2.05, 2.05, 30000]",13.83,635.1775770681452
"['f13', 30, -100, 100, 200, 150, 2.05, 2.5, 30000]",15.29,22.193740484693844
"['f13', 30, -100, 100, 200, 150, 2.5, 2.05, 30000]",12.78,128.67502350534335
"['f13', 30, -100, 100, 200, 150, 2.5, 2.5, 30000]",12.82,88.3219884576204
"['f13', 50, -10, 10, 100, 250, 2.05, 2.05, 25000]",15.21,190.37093895873403
"['f13', 50, -10, 10, 100, 250, 2.05, 2.5, 25000]",14.96,49.37578047925914
"['f13', 50, -10, 10, 100, 250, 2.5, 2.05, 25000]",14.44,259.94448394579507
"['f13', 50, -10, 10, 100, 250, 2.5, 2.5, 25000]",14.58,45.841435076759566
"['f13', 50, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.0,161.39246430943624
"['f13', 50, -10, 10, 100, 300, 2.05, 2.5, 30000]",17.92,48.00614025364295
"['f13', 50, -10, 10, 100, 300, 2.5, 2.05, 30000]",18.89,99.97841314497072
"['f13', 50, -10, 10, 100, 300, 2.5, 2.5, 30000]",17.85,48.53270490008738
"['f13', 50, -10, 10, 200, 150, 2.05, 2.05, 30000]",17.27,233.70969425402828
"['f13', 50, -10, 10, 200, 150, 2.05, 2.5, 30000]",18.15,105.04778575436212
"['f13', 50, -10, 10, 200, 150, 2.5, 2.05, 30000]",17.93,105.28936456076792
"['f13', 50, -10, 10, 200, 150, 2.5, 2.5, 30000]",18.95,31.886907725320185
"['f13', 50, -100, 100, 100, 250, 2.05, 2.05, 25000]",15.88,2553463.2261669515
"['f13', 50, -100, 100, 100, 250, 2.05, 2.5, 25000]",14.4,22081.405693565925
"['f13', 50, -100, 100, 100, 250, 2.5, 2.05, 25000]",14.23,776741.0741795634
"['f13', 50, -100, 100, 100, 250, 2.5, 2.5, 25000]",15.72,17252.949799142723
"['f13', 50, -100, 100, 100, 300, 2.05, 2.05, 30000]",18.19,38985.31386804936
"['f13', 50, -100, 100, 100, 300, 2.05, 2.5, 30000]",18.53,6495.1939964213525
"['f13', 50, -100, 100, 100, 300, 2.5, 2.05, 30000]",17.1,22953.358220947695
"['f13', 50, -100, 100, 100, 300, 2.5, 2.5, 30000]",17.08,1304.4553937179953
"['f13', 50, -100, 100, 200, 150, 2.05, 2.05, 30000]",18.65,178847.04657275436
"['f13', 50, -100, 100, 200, 150, 2.05, 2.5, 30000]",19.9,293706.54266079987
"['f13', 50, -100, 100, 200, 150, 2.5, 2.05, 30000]",17.69,251500.85548118682
"['f13', 50, -100, 100, 200, 150, 2.5, 2.5, 30000]",18.5,19198.232902490578
"['f13', 100, -10, 10, 100, 250, 2.05, 2.05, 25000]",24.77,204667.7515355508
"['f13', 100, -10, 10, 100, 250, 2.05, 2.5, 25000]",23.82,59323.40562284795
"['f13', 100, -10, 10, 100, 250, 2.5, 2.05, 25000]",24.52,290097.2932762332
"['f13', 100, -10, 10, 100, 250, 2.5, 2.5, 25000]",24.0,74997.3550046146
"['f13', 100, -10, 10, 100, 300, 2.05, 2.05, 30000]",30.01,144491.52380362528
"['f13', 100, -10, 10, 100, 300, 2.05, 2.5, 30000]",31.03,25086.714866012117
"['f13', 100, -10, 10, 100, 300, 2.5, 2.05, 30000]",30.34,154810.00059168553
"['f13', 100, -10, 10, 100, 300, 2.5, 2.5, 30000]",28.2,119594.24898573855
"['f13', 100, -10, 10, 200, 150, 2.05, 2.05, 30000]",29.8,118388.4123265937
"['f13', 100, -10, 10, 200, 150, 2.05, 2.5, 30000]",29.23,54673.78582828085
"['f13', 100, -10, 10, 200, 150, 2.5, 2.05, 30000]",28.69,205161.93351038982
"['f13', 100, -10, 10, 200, 150, 2.5, 2.5, 30000]",31.29,46431.98509383759
"['f13', 100, -100, 100, 100, 250, 2.05, 2.05, 25000]",25.32,896595170.3088198
"['f13', 100, -100, 100, 100, 250, 2.05, 2.5, 25000]",24.56,48029882.66846368
"['f13', 100, -100, 100, 100, 250, 2.5, 2.05, 25000]",23.73,854409626.7789512
"['f13', 100, -100, 100, 100, 250, 2.5, 2.5, 25000]",23.61,513336310.5558282
"['f13', 100, -100, 100, 100, 300, 2.05, 2.05, 30000]",29.48,673119237.8186085
"['f13', 100, -100, 100, 100, 300, 2.05, 2.5, 30000]",29.45,17500958.716358937
"['f13', 100, -100, 100, 100, 300, 2.5, 2.05, 30000]",30.87,266395235.84917286
"['f13', 100, -100, 100, 100, 300, 2.5, 2.5, 30000]",30.49,4680167.283126063
"['f13', 100, -100, 100, 200, 150, 2.05, 2.05, 30000]",29.01,28700130713.508286
"['f13', 100, -100, 100, 200, 150, 2.05, 2.5, 30000]",28.98,8953494598.581509
"['f13', 100, -100, 100, 200, 150, 2.5, 2.05, 30000]",31.67,22491199777.285267
"['f13', 100, -100, 100, 200, 150, 2.5, 2.5, 30000]",29.53,3652214617.452145
