"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f2', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.65,1.007
"['f2', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",3.21,0.532
"['f2', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",2.61,0.832
"['f2', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",3.19,0.191
"['f2', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",2.69,1.877
"['f2', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",3.21,0.577
"['f2', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",2.76,0.428
"['f2', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",3.32,0.303
"['f2', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",3.23,0.05
"['f2', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",3.15,0.245
"['f2', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",3.17,0.098
"['f2', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",3.3,0.065
"['f2', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",2.66,6.12
"['f2', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",3.21,2.803
"['f2', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",2.68,8.99
"['f2', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",3.28,2.687
"['f2', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.08,6.074
"['f2', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",3.21,4.212
"['f2', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.11,7.798
"['f2', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",3.44,2.434
"['f2', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",3.13,2.193
"['f2', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.54,8.081
"['f2', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.83,2.125
"['f2', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",3.27,2.607
"['f2', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.32,0.427
"['f2', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",3.97,0.776
"['f2', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",3.35,0.355
"['f2', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",3.9,0.695
"['f2', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",3.19,0.765
"['f2', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.06,0.515
"['f2', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",3.17,0.347
"['f2', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",3.85,1.247
"['f2', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",3.83,0.153
"['f2', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.09,0.163
"['f2', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",3.81,0.256
"['f2', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",3.87,1.234
"['f2', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",3.44,34.422
"['f2', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.17,7.429
"['f2', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",3.28,0.75
"['f2', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",3.93,17.316
"['f2', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.18,5.345
"['f2', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",3.77,11.431
"['f2', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.51,7.16
"['f2', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",3.94,4.477
"['f2', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",3.77,2.907
"['f2', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",3.82,2.09
"['f2', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",3.91,3.503
"['f2', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",3.78,4.116
"['f2', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.3,2.155
"['f2', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.15,1.564
"['f2', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.35,0.686
"['f2', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",5.21,1.174
"['f2', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",4.45,1.352
"['f2', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",5.37,0.732
"['f2', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",4.32,1.104
"['f2', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",5.26,1.63
"['f2', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",5.29,0.878
"['f2', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",5.1,0.301
"['f2', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",5.11,0.186
"['f2', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",5.33,0.276
"['f2', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.55,3.876
"['f2', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",5.2,6.633
"['f2', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",4.36,5.16
"['f2', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",5.29,4.742
"['f2', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",4.31,7.038
"['f2', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",5.22,5.513
"['f2', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",4.57,28.147
"['f2', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",5.18,8.978
"['f2', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",5.05,1.223
"['f2', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",5.18,2.133
"['f2', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.12,1.455
"['f2', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",5.35,1.925
"['f2', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",6.9,0.745
"['f2', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.51,1.452
"['f2', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",7.18,1.882
"['f2', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",8.76,0.623
"['f2', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",7.07,1.674
"['f2', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",8.44,3.297
"['f2', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",6.99,1.313
"['f2', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",8.3,0.395
"['f2', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",8.78,0.927
"['f2', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",8.28,1.227
"['f2', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",8.58,1.124
"['f2', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",8.59,1.058
"['f2', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",7.32,5.732
"['f2', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",8.79,10.711
"['f2', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",6.87,9.417
"['f2', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",8.55,8.489
"['f2', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",7.22,17.225
"['f2', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",8.46,7.521
"['f2', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",6.88,21.094
"['f2', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",8.24,14.967
"['f2', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",8.46,5.323
"['f2', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",8.73,2.146
"['f2', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",8.67,8.56
"['f2', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",8.4,6.646
