"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f4', 20, -10, 10, 100, 250, 25000]",2.48,6.672005158012469e-102
"['f4', 20, -10, 10, 100, 300, 30000]",2.79,2.529712337831353e-109
"['f4', 20, -10, 10, 200, 150, 30000]",3.07,4.1401742068414675e-79
"['f4', 20, -100, 100, 100, 250, 25000]",2.62,1.5483741035629608e-19
"['f4', 20, -100, 100, 100, 300, 30000]",3.19,2.78307896124892e-17
"['f4', 20, -100, 100, 200, 150, 30000]",3.3,2.3460216191151436e-20
"['f4', 30, -10, 10, 100, 250, 25000]",2.51,4.322534467647077e-96
"['f4', 30, -10, 10, 100, 300, 30000]",3.22,9.613111049231889e-116
"['f4', 30, -10, 10, 200, 150, 30000]",2.92,1.2916959225261734e-78
"['f4', 30, -100, 100, 100, 250, 25000]",3.14,2.210948330197838e-20
"['f4', 30, -100, 100, 100, 300, 30000]",3.42,7.087391320173025e-20
"['f4', 30, -100, 100, 200, 150, 30000]",3.37,4.5353305803789977e-20
"['f4', 50, -10, 10, 100, 250, 25000]",2.79,7.801540873808917e-94
"['f4', 50, -10, 10, 100, 300, 30000]",3.64,1.1186950508843276e-109
"['f4', 50, -10, 10, 200, 150, 30000]",3.5,3.8107859014988485e-72
"['f4', 50, -100, 100, 100, 250, 25000]",3.24,1.322552161876737e-25
"['f4', 50, -100, 100, 100, 300, 30000]",4.35,2.0615806546401708e-21
"['f4', 50, -100, 100, 200, 150, 30000]",4.02,9.875169936459137e-20
"['f4', 100, -10, 10, 100, 250, 25000]",3.54,2.1673368132879626e-92
"['f4', 100, -10, 10, 100, 300, 30000]",4.34,7.854549711935985e-110
"['f4', 100, -10, 10, 200, 150, 30000]",4.45,1.117332388303358e-75
"['f4', 100, -100, 100, 100, 250, 25000]",4.81,5.343051181832428e-24
"['f4', 100, -100, 100, 100, 300, 30000]",5.98,8.640611790617955e-21
"['f4', 100, -100, 100, 200, 150, 30000]",5.63,4.4111160006407035e-21
