epoch,gBest_fitness
1,1.3579631692045684e+20
2,1.0861003692256426e+20
3,6.592258675016576e+19
4,7.113985943721363e+19
5,3.6620323236198298e+19
6,3.6620323236198298e+19
7,1.8405503889669843e+19
8,1.8405503889669843e+19
9,6.605646960703107e+18
10,3.8671335034686495e+18
11,3.8671335034686495e+18
12,3.5870640028029133e+18
13,3.0111902958569636e+18
14,2.438655625391515e+18
15,2.438655625391515e+18
16,1.5838813991065912e+18
17,1.3292493980058294e+18
18,6.447146461372285e+17
19,4.554864808133607e+17
20,2.310680111928192e+17
21,2.4499330904153805e+17
22,2.370846240875598e+17
23,1.4266555274428914e+17
24,5.595491926375093e+16
25,6.154286838028653e+16
26,5.837149713450724e+16
27,4.33537920368695e+16
28,2.802659152069402e+16
29,1.7648142831914964e+16
30,1.5931869773000768e+16
31,6642751131030493.0
32,5076780091548390.0
33,3477222334453535.5
34,3477222334453535.5
35,3497418656878895.0
36,856044972526038.6
37,856044972526038.6
38,376307926280159.5
39,699848013870612.2
40,308103347617537.56
41,429537845497195.75
42,324652645128350.56
43,272525186321182.03
44,152342045743919.28
45,124096749757632.58
46,77913752107587.88
47,64597106932351.555
48,28084794183703.684
49,28084794183703.684
50,24007844850139.035
51,28270236743819.094
52,14532233505711.986
53,18670406673336.53
54,11356651712158.049
55,4061054083355.397
56,3278573028301.153
57,3278573028301.153
58,2809793897005.654
59,3144857637441.725
60,1674764429205.44
61,1471296279692.694
62,1059586865816.164
63,962323547522.85
64,663143303831.854
65,499856335654.293
66,313889949657.414
67,158125043676.052
68,158125043676.052
69,92628114166.768
70,85548784153.936
71,54529825262.364
72,54529825262.364
73,30455031016.134
74,20298803557.933
75,7352175158.201
76,7352175158.201
77,7352175158.201
78,5212173518.947
79,4443399528.618
80,4443399528.618
81,4306456840.618
82,3888414112.142
83,2742833253.534
84,2656689382.722
85,1704110472.347
86,1975342239.321
87,1600747889.753
88,1626853911.796
89,1579054159.659
90,1465141292.054
91,1091894387.685
92,1050841250.309
93,725528403.406
94,803202568.453
95,728664546.783
96,716127352.186
97,606724082.868
98,523443449.93
99,567317361.625
100,451340164.295
101,395554066.251
102,395554066.251
103,317493686.099
104,316138864.771
105,308754589.106
106,268764270.173
107,268764270.173
108,277420971.259
109,264123946.012
110,259279584.535
111,238179364.042
112,236853227.173
113,236962501.963
114,236962501.963
115,226461800.775
116,219708981.294
117,222722500.593
118,205142269.099
119,205745480.747
120,205745480.747
121,201458770.583
122,195900833.849
123,192328121.687
124,186908782.024
125,182967457.909
126,180433238.681
127,174860741.739
128,173164567.739
129,169967207.411
130,170704754.659
131,165350913.858
132,165350913.858
133,160058198.579
134,159553624.641
135,159553624.641
136,155807668.781
137,154228720.856
138,147832813.219
139,147575961.958
140,146992793.3
141,146992793.3
142,146992793.3
143,146313476.254
144,145093217.519
145,144068650.66
146,143629406.935
147,142457943.593
148,141682229.808
149,142451236.405
150,141682229.808
