"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f8', 20, -10, 10, 100, 250, 25000]",3.16,2.7887452077991505e-192
"['f8', 20, -10, 10, 100, 300, 30000]",3.89,5.861845436380138e-224
"['f8', 20, -10, 10, 200, 150, 30000]",3.61,5.725714697003329e-143
"['f8', 20, -100, 100, 100, 250, 25000]",3.45,8.585432040902413e-42
"['f8', 20, -100, 100, 100, 300, 30000]",3.97,5.140546295125199e-34
"['f8', 20, -100, 100, 200, 150, 30000]",4.09,2.6033571112130666e-38
"['f8', 30, -10, 10, 100, 250, 25000]",3.47,1.281950420270401e-205
"['f8', 30, -10, 10, 100, 300, 30000]",4.23,1.555811111889281e-221
"['f8', 30, -10, 10, 200, 150, 30000]",4.12,1.2967105045057606e-142
"['f8', 30, -100, 100, 100, 250, 25000]",3.82,6.658652067065922e-48
"['f8', 30, -100, 100, 100, 300, 30000]",4.56,5.0652330109367725e-51
"['f8', 30, -100, 100, 200, 150, 30000]",4.39,3.83710413290033e-41
"['f8', 50, -10, 10, 100, 250, 25000]",4.43,2.457086904071261e-193
"['f8', 50, -10, 10, 100, 300, 30000]",5.25,4.100324884630681e-217
"['f8', 50, -10, 10, 200, 150, 30000]",5.61,1.3850363022606348e-146
"['f8', 50, -100, 100, 100, 250, 25000]",5.12,6.31300590107354e-28
"['f8', 50, -100, 100, 100, 300, 30000]",5.72,5.9293960249404565e-37
"['f8', 50, -100, 100, 200, 150, 30000]",5.78,1.1900356623434663e-53
"['f8', 100, -10, 10, 100, 250, 25000]",6.49,7.95793412255729e-188
"['f8', 100, -10, 10, 100, 300, 30000]",7.85,2.9121247494737015e-216
"['f8', 100, -10, 10, 200, 150, 30000]",7.39,3.553782356210987e-144
"['f8', 100, -100, 100, 100, 250, 25000]",6.83,1.5059598770163038e-46
"['f8', 100, -100, 100, 100, 300, 30000]",8.48,4.217138189173563e-44
"['f8', 100, -100, 100, 200, 150, 30000]",8.28,8.670549678885875e-49
