"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.318943409230836e-207,3.3349529999977676
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.0134891735157766e-214,3.3204939999995986
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.4158987221060913e-228,3.3724789999978384
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",6.815666756764778e-231,3.4112590000004275
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",9.999110738403895e-208,3.470560999994632
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.046246712701882e-225,3.3930660000041826
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.0344745621346412e-207,3.4531280000082916
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.5215874438427544e-215,3.3258519999944838
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.9431794823310912e-196,3.3595280000008643
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.0134178222944942e-232,3.3598610000044573
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.9770509628270494e-213,3.3002359999954933
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.5994207528912915e-222,3.446668000004138
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.0922707192484714e-226,3.3028599999961443
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.1616161256242498e-201,3.4265050000103656
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.2101169484596685e-222,3.3754550000012387
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.829892973526573e-203,3.3774909999920055
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",8.577469793005264e-231,3.350135999993654
"['f12', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",1.2780899506301615e-228,3.326037000006181
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.4169831181064432e-222,4.051800000001094
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.644251005905773e-212,4.1287109999975655
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.895353656301068e-214,4.209958999999799
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.477638914221186e-207,4.0560980000009295
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.2159964027102896e-212,4.072195000000647
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.9550418583416815e-219,4.011748999997508
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.392199718827088e-200,4.08076899999287
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.616380462560913e-235,4.089013999997405
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.154336988476478e-217,4.150849000012386
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",2.529588786597278e-229,4.07504599999811
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.548203693494251e-211,4.235975999996299
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.637664739307076e-225,4.090067999990424
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.956054704757918e-218,4.113293000002159
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.183657944757421e-216,4.175025000004098
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",2.0007638834162245e-214,4.039992999998503
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.039238201314071e-214,4.082915999999386
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",8.03382438775192e-207,4.094542999999248
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.7677508061157516e-227,4.088322999989032
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",1.1929693082350095e-220,4.14531100000022
"['f12', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.520070922426928e-206,4.108982000005199
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.733733761357009e-224,4.043228000009549
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",1.5711985875544087e-222,4.178293000004487
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.925616524943981e-219,4.149018999989494
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.229370204166635e-231,4.092261000012513
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.39370936736669e-211,4.1804469999915455
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.210594842580524e-215,4.016657000000123
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",7.857973512805278e-209,3.997497000003932
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.497244820228248e-222,4.099196000010124
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",1.102096198205342e-228,4.073296999995364
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.8181792351500704e-219,4.175315999993472
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.0997609259070345e-214,4.120466000007582
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.176170174986304e-214,4.15435699999216
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.2884703989814014e-217,4.083230999996886
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",1.0485494591908518e-208,4.094580000004498
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.573652501747246e-213,4.246989999999641
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.2934730117868917e-203,4.1834450000023935
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",2.005491055022208e-224,4.022211999996216
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.041129831477433e-229,4.1632600000011735
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",1.1277053172406814e-208,4.506066000001738
"['f12', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",1.0447337133712748e-228,4.046998999998323
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",1.1695394295408575e-31,3.4944280000054277
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",1.0422798053169542e-40,3.6695329999929527
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",1.0849787266764985e-29,3.5764490000001388
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",6.740840269648318e-28,3.6293790000054287
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",1.0321660684118476e-23,3.7552149999974063
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",9.143321510973498e-30,3.5500230000034207
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.226028284169403e-34,3.5792969999893103
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.079783827804922e-31,3.6753779999999097
"['f12', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",1.413027077615915e-36,3.6996890000009444
