"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f10', 20, -10, 10, 100, 250, 25000]",3.72,0.12344503531434736
"['f10', 20, -10, 10, 100, 300, 30000]",4.47,0.24690947238372887
"['f10', 20, -10, 10, 200, 150, 30000]",4.43,0.24893127147976177
"['f10', 20, -100, 100, 100, 250, 25000]",4.24,0.24786923233866512
"['f10', 20, -100, 100, 100, 300, 30000]",4.87,0.24845319119449635
"['f10', 20, -100, 100, 200, 150, 30000]",4.75,0.24780968745530443
"['f10', 30, -10, 10, 100, 250, 25000]",4.33,0.24666242620454923
"['f10', 30, -10, 10, 100, 300, 30000]",5.33,0.2486961438893008
"['f10', 30, -10, 10, 200, 150, 30000]",5.54,0.5000081753196312
"['f10', 30, -100, 100, 100, 250, 25000]",4.75,0.24939734706243313
"['f10', 30, -100, 100, 100, 300, 30000]",5.98,0.24958744912624492
"['f10', 30, -100, 100, 200, 150, 30000]",6.01,0.24742793281637285
"['f10', 50, -10, 10, 100, 250, 25000]",6.0,0.5000035355078968
"['f10', 50, -10, 10, 100, 300, 30000]",6.97,0.24895684339419577
"['f10', 50, -10, 10, 200, 150, 30000]",7.15,0.24962314666974314
"['f10', 50, -100, 100, 100, 250, 25000]",6.35,0.2533435539775529
"['f10', 50, -100, 100, 100, 300, 30000]",7.82,0.25053381203939273
"['f10', 50, -100, 100, 200, 150, 30000]",8.16,0.2498872228412354
"['f10', 100, -10, 10, 100, 250, 25000]",9.76,0.5000125569515079
"['f10', 100, -10, 10, 100, 300, 30000]",11.49,0.25089556858479223
"['f10', 100, -10, 10, 200, 150, 30000]",11.49,0.25633881657768465
"['f10', 100, -100, 100, 100, 250, 25000]",10.99,0.2861611459826565
"['f10', 100, -100, 100, 100, 300, 30000]",13.47,0.24998019291871656
"['f10', 100, -100, 100, 200, 150, 30000]",13.39,0.25485009210691373
