"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f1', 20, -10, 10, 100, 250, 25000]",2.4,3.022979940315274e-203
"['f1', 20, -10, 10, 100, 300, 30000]",3.07,1.055290723514878e-215
"['f1', 20, -10, 10, 200, 150, 30000]",3.12,1.8442756552570675e-141
"['f1', 20, -100, 100, 100, 250, 25000]",2.91,3.830722362490226e-38
"['f1', 20, -100, 100, 100, 300, 30000]",3.62,1.3783287604454103e-35
"['f1', 20, -100, 100, 200, 150, 30000]",3.26,4.6078277404901254e-29
"['f1', 30, -10, 10, 100, 250, 25000]",2.86,2.6973225279364953e-186
"['f1', 30, -10, 10, 100, 300, 30000]",3.47,1.0520752008603767e-200
"['f1', 30, -10, 10, 200, 150, 30000]",3.36,4.49002314540613e-149
"['f1', 30, -100, 100, 100, 250, 25000]",3.37,8.05346295878292e-40
"['f1', 30, -100, 100, 100, 300, 30000]",3.85,1.3167217583897458e-33
"['f1', 30, -100, 100, 200, 150, 30000]",3.96,6.908944706681261e-37
"['f1', 50, -10, 10, 100, 250, 25000]",3.49,2.1510902159106303e-180
"['f1', 50, -10, 10, 100, 300, 30000]",4.23,2.8896276064941526e-226
"['f1', 50, -10, 10, 200, 150, 30000]",4.68,5.7632627166191286e-142
"['f1', 50, -100, 100, 100, 250, 25000]",4.14,1.7845920807192255e-44
"['f1', 50, -100, 100, 100, 300, 30000]",5.15,2.205027662700786e-33
"['f1', 50, -100, 100, 200, 150, 30000]",4.96,1.1204833616201524e-39
"['f1', 100, -10, 10, 100, 250, 25000]",5.51,1.461244752416553e-210
"['f1', 100, -10, 10, 100, 300, 30000]",6.62,8.361210611895992e-202
"['f1', 100, -10, 10, 200, 150, 30000]",6.19,5.321728980594679e-146
"['f1', 100, -100, 100, 100, 250, 25000]",6.15,2.7757329955658877e-31
"['f1', 100, -100, 100, 100, 300, 30000]",7.53,6.1914219072991345e-43
"['f1', 100, -100, 100, 200, 150, 30000]",7.78,1.1893655580831956e-40
