"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f1', 20, -100, 100, 100, 250, 25000]",6.075613352951562e-39,3.1353070000000116
"['f1', 20, -100, 100, 100, 250, 25000]",1.6454266859474844e-56,2.8738950000000045
"['f1', 20, -100, 100, 100, 250, 25000]",7.34159093383303e-41,2.7008010000000127
"['f1', 20, -100, 100, 100, 250, 25000]",4.054747219673899e-29,2.7304289999999867
"['f1', 20, -100, 100, 100, 250, 25000]",7.403226435967842e-39,2.850722000000019
"['f1', 20, -100, 100, 100, 250, 25000]",9.330742741816404e-41,2.7678789999999935
"['f1', 20, -100, 100, 100, 250, 25000]",8.452389980907565e-57,2.6434710000000052
"['f1', 20, -100, 100, 100, 250, 25000]",4.2467624683271083e-44,2.6539339999999925
"['f1', 20, -100, 100, 100, 250, 25000]",2.1495422190982936e-30,2.6810859999999934
"['f1', 20, -100, 100, 100, 250, 25000]",8.28446015552199e-46,2.9137939999999958
"['f1', 20, -100, 100, 100, 250, 25000]",4.5648197760303736e-39,3.032072999999997
"['f1', 20, -100, 100, 100, 250, 25000]",1.3243564110401545e-42,2.9484020000000157
"['f1', 20, -100, 100, 100, 250, 25000]",9.58058893062542e-37,3.0112049999999897
"['f1', 20, -100, 100, 100, 250, 25000]",2.2355081959220507e-35,2.903043999999994
"['f1', 20, -100, 100, 100, 250, 25000]",2.990975242700018e-48,3.0214
"['f1', 20, -100, 100, 100, 250, 25000]",1.2302515264593467e-34,2.8428969999999936
"['f1', 20, -100, 100, 100, 250, 25000]",2.6698283502535703e-48,2.8227489999999875
"['f1', 20, -100, 100, 100, 250, 25000]",4.149997176782891e-31,2.813525999999996
"['f1', 20, -100, 100, 100, 250, 25000]",8.403753685431878e-41,3.115399999999994
"['f1', 20, -100, 100, 100, 300, 30000]",6.532333541594775e-42,3.254630999999989
"['f1', 20, -100, 100, 100, 300, 30000]",5.215394298424816e-34,3.4582140000000265
"['f1', 20, -100, 100, 100, 300, 30000]",1.76317751152727e-46,3.2451449999999795
"['f1', 20, -100, 100, 100, 300, 30000]",3.098902546149306e-44,3.523932000000002
"['f1', 20, -100, 100, 100, 300, 30000]",2.612219927542634e-37,3.3522310000000175
"['f1', 20, -100, 100, 100, 300, 30000]",6.993520089994173e-56,3.2056219999999485
"['f1', 20, -100, 100, 100, 300, 30000]",7.661246161739095e-37,3.3767460000000256
"['f1', 20, -100, 100, 100, 300, 30000]",4.314448787438823e-43,3.199760000000026
"['f1', 20, -100, 100, 100, 300, 30000]",5.605668007872539e-44,3.2820950000000266
"['f1', 20, -100, 100, 100, 300, 30000]",1.4833932917096064e-50,3.236608999999987
"['f1', 20, -100, 100, 100, 300, 30000]",9.977926867554605e-44,3.175414000000046
"['f1', 20, -100, 100, 100, 300, 30000]",4.36066611431997e-34,3.4230949999999893
"['f1', 20, -100, 100, 100, 300, 30000]",7.116468785997086e-37,3.6498109999999997
"['f1', 20, -100, 100, 100, 300, 30000]",2.245874892306866e-46,3.36015900000001
"['f1', 20, -100, 100, 100, 300, 30000]",4.620794310795314e-42,3.2220290000000205
"['f1', 20, -100, 100, 100, 300, 30000]",2.060582693721539e-39,3.267653999999993
"['f1', 20, -100, 100, 100, 300, 30000]",5.849015587448751e-42,3.296508000000017
"['f1', 20, -100, 100, 100, 300, 30000]",1.088776210313412e-34,3.4960869999999886
"['f1', 20, -100, 100, 100, 300, 30000]",3.1670031302247573e-32,3.820605999999998
"['f1', 20, -100, 100, 100, 300, 30000]",2.0235187184302174e-33,3.204039000000023
"['f1', 20, -100, 100, 200, 150, 30000]",1.3145639556744238e-39,3.318715999999995
"['f1', 20, -100, 100, 200, 150, 30000]",8.47784051351042e-39,3.198217999999997
"['f1', 20, -100, 100, 200, 150, 30000]",3.8321617813332004e-39,3.148211999999944
"['f1', 20, -100, 100, 200, 150, 30000]",1.8146551032742368e-42,3.2334820000000377
"['f1', 20, -100, 100, 200, 150, 30000]",4.80218453836096e-42,3.2900410000000306
"['f1', 20, -100, 100, 200, 150, 30000]",1.7801861318541303e-46,3.1770689999999604
"['f1', 20, -100, 100, 200, 150, 30000]",6.390432475442862e-38,3.1828120000000126
"['f1', 20, -100, 100, 200, 150, 30000]",5.769316120652228e-55,3.2212729999999965
"['f1', 20, -100, 100, 200, 150, 30000]",3.8334230285246955e-50,3.1613889999999856
"['f1', 20, -100, 100, 200, 150, 30000]",4.026906536982416e-39,3.167291999999975
"['f1', 20, -100, 100, 200, 150, 30000]",3.052357330522681e-45,3.138418999999999
"['f1', 20, -100, 100, 200, 150, 30000]",1.3274583285305935e-40,3.290930000000003
"['f1', 20, -100, 100, 200, 150, 30000]",1.6066296953492632e-54,3.182102000000043
"['f1', 20, -100, 100, 200, 150, 30000]",7.776301387618655e-41,3.3336120000000165
"['f1', 20, -100, 100, 200, 150, 30000]",1.0588898583671315e-41,3.210221000000047
"['f1', 20, -100, 100, 200, 150, 30000]",1.998374329998786e-33,3.426308000000006
"['f1', 20, -100, 100, 200, 150, 30000]",3.692888371711598e-58,3.2085139999999797
"['f1', 20, -100, 100, 200, 150, 30000]",1.0766976757926131e-37,3.1756280000000174
"['f1', 20, -100, 100, 200, 150, 30000]",1.5161891450811907e-52,3.200437000000022
"['f1', 20, -100, 100, 200, 150, 30000]",1.4984154637865205e-42,3.170357000000024
"['f1', 30, -10, 10, 100, 250, 25000]",6.271310482611324e-197,2.7844690000000014
"['f1', 30, -10, 10, 100, 250, 25000]",3.542169120037813e-198,2.854648999999995
"['f1', 30, -10, 10, 100, 250, 25000]",1.4747783523385545e-207,2.9508690000000115
"['f1', 30, -10, 10, 100, 250, 25000]",7.586713752458102e-196,2.833847999999989
"['f1', 30, -10, 10, 100, 250, 25000]",8.655240282487256e-196,2.9658880000000067
"['f1', 30, -10, 10, 100, 250, 25000]",2.0683915061614028e-198,2.933304000000021
"['f1', 30, -10, 10, 100, 250, 25000]",2.0496105598304244e-206,2.9402539999999817
"['f1', 30, -10, 10, 100, 250, 25000]",2.1795657295326172e-195,3.031477999999993
"['f1', 30, -10, 10, 100, 250, 25000]",1.994835673726931e-201,3.001234000000011
"['f1', 30, -10, 10, 100, 250, 25000]",4.131715014223705e-189,2.779221000000007
"['f1', 30, -10, 10, 100, 250, 25000]",6.392624517656209e-191,2.9839099999999803
"['f1', 30, -10, 10, 100, 250, 25000]",6.535350268576447e-204,2.8823939999999766
"['f1', 30, -10, 10, 100, 250, 25000]",1.7214232109868842e-189,3.0597189999999728
"['f1', 30, -10, 10, 100, 250, 25000]",3.1654397494918253e-186,2.9681249999999864
"['f1', 30, -10, 10, 100, 250, 25000]",1.695364677938745e-191,3.017795000000035
"['f1', 30, -10, 10, 100, 250, 25000]",3.685592684576601e-179,3.033208000000002
"['f1', 30, -10, 10, 100, 250, 25000]",5.964911661791665e-197,3.0384090000000015
"['f1', 30, -10, 10, 100, 250, 25000]",6.424768027209872e-193,2.9785609999999565
"['f1', 30, -10, 10, 100, 250, 25000]",5.408906211352253e-182,2.9500739999999723
"['f1', 30, -10, 10, 100, 250, 25000]",1.3858069537629986e-195,2.895530000000008
"['f1', 30, -10, 10, 100, 300, 30000]",1.1088652483383282e-214,3.4494609999999852
"['f1', 30, -10, 10, 100, 300, 30000]",2.62774378074488e-217,3.3764509999999746
"['f1', 30, -10, 10, 100, 300, 30000]",3.1828919398275894e-207,3.5535010000000398
"['f1', 30, -10, 10, 100, 300, 30000]",3.8837180453878865e-230,3.5366319999999973
"['f1', 30, -10, 10, 100, 300, 30000]",2.6370871550960998e-225,3.5140309999999886
"['f1', 30, -10, 10, 100, 300, 30000]",8.649224448662839e-209,3.6185540000000174
"['f1', 30, -10, 10, 100, 300, 30000]",4.878758662672089e-229,3.5679890000000114
"['f1', 30, -10, 10, 100, 300, 30000]",2.558984674065854e-218,3.9289620000000127
"['f1', 30, -10, 10, 100, 300, 30000]",9.461450530328103e-213,3.5644379999999956
"['f1', 30, -10, 10, 100, 300, 30000]",2.487464054736242e-215,3.4138080000000173
"['f1', 30, -10, 10, 100, 300, 30000]",5.957836200352019e-205,3.447207999999989
"['f1', 30, -10, 10, 100, 300, 30000]",5.74133469435632e-213,3.5146499999999605
"['f1', 30, -10, 10, 100, 300, 30000]",2.3845517731131104e-218,3.6747100000000046
"['f1', 30, -10, 10, 100, 300, 30000]",1.427084968825992e-210,3.5222160000000144
"['f1', 30, -10, 10, 100, 300, 30000]",4.094518303319358e-231,3.4828190000000063
"['f1', 30, -10, 10, 100, 300, 30000]",2.2973559656759423e-208,3.44088899999997
"['f1', 30, -10, 10, 100, 300, 30000]",5.243640351583348e-220,3.351139000000046
"['f1', 30, -10, 10, 100, 300, 30000]",3.838827817801195e-207,3.3670190000000275
"['f1', 30, -10, 10, 100, 300, 30000]",4.254219908373776e-229,3.3970460000000458
"['f1', 30, -10, 10, 100, 300, 30000]",4.193776366998212e-216,3.450873999999999
"['f1', 30, -10, 10, 200, 150, 30000]",8.027139841709437e-141,3.349517999999989
"['f1', 30, -10, 10, 200, 150, 30000]",2.891263676049374e-149,3.3956339999999727
"['f1', 30, -10, 10, 200, 150, 30000]",2.624132761154413e-146,3.371804999999995
"['f1', 30, -10, 10, 200, 150, 30000]",1.7356285346717153e-141,3.414384000000041
"['f1', 30, -10, 10, 200, 150, 30000]",9.601040295500637e-144,3.6354630000000725
"['f1', 30, -10, 10, 200, 150, 30000]",2.976173469101719e-149,3.497404999999958
"['f1', 30, -10, 10, 200, 150, 30000]",8.364964324927622e-149,3.392182999999932
"['f1', 30, -10, 10, 200, 150, 30000]",2.210066561722076e-147,3.3939060000000154
"['f1', 30, -10, 10, 200, 150, 30000]",8.44686726592831e-152,3.3664949999999862
"['f1', 30, -10, 10, 200, 150, 30000]",5.881818338124451e-149,3.7536029999999982
"['f1', 30, -10, 10, 200, 150, 30000]",4.639620292211631e-146,3.434044999999969
"['f1', 30, -10, 10, 200, 150, 30000]",8.551861443000076e-149,3.47745000000009
"['f1', 30, -10, 10, 200, 150, 30000]",3.8628612071156556e-146,3.384091999999896
"['f1', 30, -10, 10, 200, 150, 30000]",3.1255531683420215e-139,3.5013910000000124
"['f1', 30, -10, 10, 200, 150, 30000]",2.682747655782323e-170,3.6219800000000077
"['f1', 30, -10, 10, 200, 150, 30000]",1.86245359735971e-143,3.5193859999999404
"['f1', 30, -10, 10, 200, 150, 30000]",1.4108122237894848e-143,3.5895649999999932
"['f1', 30, -10, 10, 200, 150, 30000]",4.136724754672568e-158,3.5722560000000385
"['f1', 30, -10, 10, 200, 150, 30000]",2.433786454550367e-145,3.5841120000000046
"['f1', 30, -10, 10, 200, 150, 30000]",1.7838167872107535e-150,3.909086000000002
"['f1', 30, -100, 100, 100, 250, 25000]",8.30780536567831e-46,3.196096999999895
"['f1', 30, -100, 100, 100, 250, 25000]",1.2326758214274234e-40,3.202179000000001
"['f1', 30, -100, 100, 100, 250, 25000]",1.0456967154860797e-31,3.256426000000033
"['f1', 30, -100, 100, 100, 250, 25000]",3.5633905308733076e-36,3.2598899999999276
"['f1', 30, -100, 100, 100, 250, 25000]",2.0754619260521692e-42,3.247538000000077
"['f1', 30, -100, 100, 100, 250, 25000]",4.88555474530138e-38,3.210961999999995
"['f1', 30, -100, 100, 100, 250, 25000]",3.602606113797327e-38,3.2721890000000258
"['f1', 30, -100, 100, 100, 250, 25000]",5.412015219219044e-41,3.4037869999999657
"['f1', 30, -100, 100, 100, 250, 25000]",1.0865158206102453e-42,3.3395930000000362
"['f1', 30, -100, 100, 100, 250, 25000]",5.78109874309709e-37,3.3535679999999957
"['f1', 30, -100, 100, 100, 250, 25000]",9.910806107512232e-38,3.271070000000009
"['f1', 30, -100, 100, 100, 250, 25000]",6.689105770443878e-41,3.2908220000000483
"['f1', 30, -100, 100, 100, 250, 25000]",1.870951266672008e-48,3.4190700000000334
"['f1', 30, -100, 100, 100, 250, 25000]",6.17483668423741e-35,3.291468000000009
