epoch,gBest_fitness
1,83336209165.233
2,70450550354.686
3,63930403266.097
4,63930403266.097
5,55748243539.353
6,55748243539.353
7,51518540091.267
8,52421617025.449
9,47813227032.198
10,43456906667.791
11,31029814461.932
12,30850946838.91
13,29864263916.525
14,27230136498.731
15,22654262202.023
16,26737545303.268
17,21633655736.414
18,21633655736.414
19,20963126007.06
20,16534357923.904
21,16534357923.904
22,14549385355.599
23,13988353916.106
24,13988353916.106
25,12138281686.041
26,9350813851.923
27,9350813851.923
28,9850727243.64
29,8210105186.866
30,8388139061.351
31,7725497834.834
32,7472384704.826
33,7457450312.23
34,7023280227.764
35,5999827677.954
36,6028360822.745
37,5643937389.464
38,5643937389.464
39,5119732519.377
40,5050152856.475
41,4169464127.854
42,4169464127.854
43,4033600066.177
44,4169464127.854
45,3888861256.052
46,3049161187.028
47,3049161187.028
48,2919555140.941
49,2345875369.507
50,2345875369.507
51,2345875369.507
52,2345875369.507
53,2167426281.26
54,1924504315.726
55,1924504315.726
56,1924504315.726
57,1755164435.712
58,1596543703.655
59,1596543703.655
60,1501731818.011
61,1364634585.93
62,1364634585.93
63,1481669150.166
64,1311704367.238
65,1296398413.605
66,992874655.486
67,1067649065.261
68,1005508072.991
69,958298970.294
70,807443765.185
71,753966269.725
72,780191874.997
73,685994192.566
74,685994192.566
75,622162729.951
76,640260013.976
77,569318585.907
78,583029016.736
79,532848177.996
80,533862550.536
81,518215184.228
82,474712267.88
83,456410438.541
84,474712267.88
85,418779259.336
86,418779259.336
87,407917702.753
88,370991569.62
89,371500596.194
90,327684277.638
91,320519502.077
92,320519502.077
93,271478340.334
94,271478340.334
95,306996224.658
96,275629481.412
97,274499828.379
98,267261762.276
99,257384264.703
100,234534189.202
101,226341839.045
102,209928542.016
103,209060665.324
104,200460708.381
105,193534004.245
106,193357091.367
107,185641276.859
108,173947843.097
109,167730760.49
110,164943794.004
111,167842485.37
112,170830500.667
113,150076542.816
114,158375684.656
115,153892171.392
116,149205625.331
117,145640519.884
118,139704455.328
119,139704455.328
120,136999640.413
121,136965653.708
122,135880802.203
123,132888884.717
124,130919982.508
125,129256515.095
126,123542980.799
127,122044039.894
128,122400596.632
129,118539273.658
130,117133673.926
131,110285461.693
132,110032317.532
133,106472295.944
134,108713386.89
135,105246101.687
136,104246369.784
137,103694199.406
138,102175497.287
139,100386273.898
140,98688773.212
141,97604764.084
142,92757367.881
143,92757367.881
144,90514001.704
145,89178775.283
146,88467790.882
147,87946864.342
148,85707535.904
149,83722684.663
150,82183507.474
151,80331843.784
152,81301108.613
153,79195117.717
154,77330003.426
155,77061187.681
156,76243736.831
157,75738283.982
158,75466445.403
159,74882968.644
160,74202109.081
161,74441073.978
162,74441073.978
163,74098485.14
164,73938751.787
165,73895443.857
166,73730414.447
167,73350566.89
168,73346638.92
169,73360337.486
170,72830456.343
171,72830456.343
172,72969442.605
173,72773856.518
174,72583976.096
175,72316961.254
176,72440972.123
177,72418927.527
178,72214712.76
179,72117532.4
180,72110990.584
181,72025948.012
182,71989079.863
183,71988419.335
184,71892935.814
185,71721225.106
186,71537292.16
187,71328971.114
188,71328971.114
189,71201158.895
190,70968326.095
191,70920817.127
192,70662731.266
193,70114434.754
194,70114434.754
195,70089915.357
196,69706699.87
197,69105995.03
198,68726737.384
199,68791113.101
200,67925033.397
201,67587940.741
202,66418840.987
203,64101622.849
204,63359217.474
205,61671203.633
206,61671203.633
207,61671203.633
208,60233566.182
209,59161460.193
210,58621752.547
211,57486637.839
212,54366306.159
213,54093212.137
214,53944613.034
215,54483089.222
216,54483089.222
217,53529343.295
218,53302076.722
219,53302076.722
220,53314915.009
221,53251292.965
222,53102282.38
223,53250163.672
224,53082403.013
225,53035227.94
226,52930029.382
227,52835271.377
228,52835271.377
229,52769685.56
230,52769685.56
231,52730932.589
232,52704740.54
233,52633391.261
234,52583999.25
235,52570835.195
236,52483613.571
237,52472030.783
238,52444966.69
239,52424066.261
240,52391865.073
241,52243019.084
242,52185704.048
243,52208596.138
244,52174478.016
245,52112201.371
246,52051949.571
247,51722691.725
248,51714911.166
249,51644323.186
250,51533560.081
