"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, c3, c4, function evaluation]",total_time,gBest_fitness
"['f14', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",18.58,-78.90355622390629
"['f14', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.12,-78.90446594920847
"['f14', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",13.9,-78.90556405861659
"['f14', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.81,-78.90575371865191
"['f14', 20, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.68,-78.90258969182867
"['f14', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.79,-78.9050980428623
"['f14', 20, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.97,-78.90287523060431
"['f14', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",13.08,-78.90560403371335
"['f14', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",20.75,-78.90466182682202
"['f14', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",13.32,-78.88588530621654
"['f14', 20, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.71,-78.90570292111353
"['f14', 20, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.4,-78.90557160472852
"['f14', 20, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",15.03,-75.16755454323983
"['f14', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",13.61,-896.5022456115338
"['f14', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.78,-916.521948201396
"['f14', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",14.01,-1015.015564012416
"['f14', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.22,-815.2878092357324
"['f14', 20, -100, 100, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.87,-875.4954257441797
"['f14', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.7,-856.2972903926593
"['f14', 20, -100, 100, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.8,-776.64763576529
"['f14', 20, -100, 100, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",15.18,-1074.7936050820877
"['f14', 20, -100, 100, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.12,-894.9506020046807
"['f14', 20, -100, 100, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",13.55,-815.7415668344954
"['f14', 20, -100, 100, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",16.74,-754.7918982242525
"['f14', 20, -100, 100, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",15.91,-915.9072452937346
"['f14', 20, -100, 100, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",15.28,-796.9269449577727
"['f14', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",19.63,-107.12132335501431
"['f14', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.78,-118.33055285475092
"['f14', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",21.41,-114.61279697578522
"['f14', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.16,-114.56195275711303
"['f14', 30, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.19,-118.19972114477295
"['f14', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",26.67,-114.55453185481508
"['f14', 30, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",28.56,-114.5833863304242
"['f14', 30, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",18.35,-114.60246193575095
"['f14', 30, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",23.3,-110.87189378517799
"['f14', 30, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",20.27,-118.34263406871095
"['f14', 30, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",23.32,-118.34214072582799
"['f14', 30, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",21.98,-118.34739286067845
"['f14', 30, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",20.66,-114.61818992224191
"['f14', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",19.13,-1194.6337674745891
"['f14', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.36,-1046.5041715683692
"['f14', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",20.98,-1103.2288758125424
"['f14', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.6,-1033.1837353303129
"['f14', 30, -100, 100, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",21.91,-1050.6689917718006
"['f14', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",30.49,-1214.3167777157346
"['f14', 30, -100, 100, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.59,-1232.6674187019303
"['f14', 30, -100, 100, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",18.76,-1318.1120034959965
"['f14', 30, -100, 100, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",26.09,-1174.0006454589106
"['f14', 30, -100, 100, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",18.24,-1304.0569360299223
"['f14', 30, -100, 100, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.03,-1109.5737526028554
"['f14', 30, -100, 100, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",22.41,-1125.8657443269706
"['f14', 30, -100, 100, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",20.84,-1230.5656832411632
"['f14', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",30.0,-189.40242198637583
"['f14', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",39.94,-155.98117171428046
"['f14', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",30.12,-178.0691242427946
"['f14', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",35.27,-188.65601749597124
"['f14', 50, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.68,-196.9886088096511
"['f14', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.62,-193.18277504325195
"['f14', 50, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.64,-194.4203930301944
"['f14', 50, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",28.59,-185.80308156052746
"['f14', 50, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.14,-189.33455579833895
"['f14', 50, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",28.45,-185.24724779617608
"['f14', 50, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.47,-189.675618433057
"['f14', 50, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",35.12,-196.93882553722818
"['f14', 50, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",32.89,-185.97211621146639
"['f14', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",32.65,-1922.1831602769507
"['f14', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.37,-1881.6726006920596
"['f14', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",31.02,-2143.623683572083
"['f14', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.55,-1882.6152847544145
"['f14', 50, -100, 100, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.96,-1584.5814660655026
"['f14', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",38.29,-2300.886031861157
"['f14', 50, -100, 100, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",36.44,-1699.1796108592205
"['f14', 50, -100, 100, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",38.14,-1705.8206530362274
"['f14', 50, -100, 100, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",35.89,-1563.4927297595016
"['f14', 50, -100, 100, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",28.86,-1917.2894923769784
"['f14', 50, -100, 100, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.89,-1930.3704184143248
"['f14', 50, -100, 100, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",34.6,-1770.1734126687504
"['f14', 50, -100, 100, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",31.88,-1816.337036396081
"['f14', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",59.01,-337.9194814306286
"['f14', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",66.2,-345.6931621646963
"['f14', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",59.61,-364.68627543824067
"['f14', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",66.08,-363.726958736483
"['f14', 100, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",66.84,-371.8426949088919
"['f14', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",73.13,-370.50024211631876
"['f14', 100, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",67.65,-359.2669751042707
"['f14', 100, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",54.42,-369.4843738521553
"['f14', 100, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",65.76,-350.79457961280207
"['f14', 100, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",54.86,-357.22093095328216
"['f14', 100, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",66.57,-363.54559253520796
"['f14', 100, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",70.93,-360.0229955718888
"['f14', 100, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",66.36,-368.609993674416
"['f14', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",64.39,-3025.5338820521133
"['f14', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",73.76,-3349.22013245526
"['f14', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 26250]",57.07,-3562.1659940580553
"['f14', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",65.91,-3508.8332515192265
"['f14', 100, -100, 100, 15, 10, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",67.61,-2818.1796201935026
"['f14', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.05, 2.05, 2.05, 30000]",65.33,-3996.6478610506238
"['f14', 100, -100, 100, 15, 20, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",69.06,-3033.152259769955
"['f14', 100, -100, 100, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",56.21,-2930.0332469735645
"['f14', 100, -100, 100, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",77.62,-3455.881701591099
"['f14', 100, -100, 100, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",61.52,-2696.2358768621143
"['f14', 100, -100, 100, 20, 10, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",82.23,-3407.656569102439
"['f14', 100, -100, 100, 20, 20, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",68.01,-2864.0246016662177
"['f14', 100, -100, 100, 25, 5, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 28125]",61.23,-3047.131132225786
