"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",16.903516163160113,5.16
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",18.567101544653205,5.08
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.024896241431506,5.13
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",58.35257800578208,5.13
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",81.94428259675527,5.09
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",21.992574162407415,5.11
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",22.806494462009795,5.42
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",17.218284495684284,5.29
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.485218642757765,5.23
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",20.286926689223627,5.56
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",17.804039734779018,5.11
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",14.000754912573711,5.26
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",18.548588970564573,5.29
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",17.784091750369406,5.11
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",14.879126372726814,5.15
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.872831965884696,5.21
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",17.93422921078987,5.34
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",20.203507766716903,5.37
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.047364064569155,5.45
"['f5', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.768397108032815,5.28
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",19.08083054024589,5.2
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",16.621985974591226,5.22
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",17.750232174313176,5.23
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",21.759697232959716,5.32
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",15.388153304266732,5.26
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",16.38862813539358,5.29
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",13.813270569151369,5.23
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",13.686010918660475,5.61
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",71.15515239972153,5.3
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",15.962306629534456,5.18
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",16.912357179197993,5.2
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",17.511585622600347,5.24
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",17.214709624373956,5.14
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",18.095340438327536,5.1
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",19.51854469592985,5.22
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",17.29504785241834,5.17
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",18.066858423571276,5.46
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",19.464267033294632,5.19
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",13.45658273792034,5.16
"['f5', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",15.904743504744745,5.44
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",14.363785568694773,5.62
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",18.769676390037148,5.54
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",58.47708586289382,5.66
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",35.82363927131166,5.97
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.009528520600888,5.4
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.162627982886644,5.36
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.80138352060842,5.41
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.920121036631496,5.31
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",17.813779345426706,5.22
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",16.649441682446692,5.25
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",20.70308062764581,5.55
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.80368612890463,5.36
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",20.083727533592306,5.71
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",19.721551026675936,5.41
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",18.08542037050277,5.3
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",18.798447666893487,5.27
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",68.81780685436395,5.24
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",72.47188974378881,5.26
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",17.12795457022907,5.65
"['f5', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",72.14459793754533,5.37
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",18.94999529199992,5.26
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",17.02410759199234,5.54
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.528785229751087,5.39
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",27.569836083690696,5.29
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.224047360183985,5.23
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",14.996771107127687,5.34
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.05781125541454,5.34
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",65.21366018655237,5.32
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.361717905355665,5.24
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",20.16135682889978,5.31
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",15.084908893353079,5.63
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",15.972789030321598,5.38
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",18.716726220363505,5.32
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",16.751223769435278,5.37
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",17.941777827441612,5.37
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.497527792414,5.3
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",16.656209573212873,5.23
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",19.627441272274744,5.29
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",17.74972789348009,5.36
"['f5', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",15.554895681016005,5.16
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.566832714311428,6.51
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",17.054668546360233,6.76
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.18623148709144,6.25
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",28.63035624161751,6.79
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",16.66520395493072,6.98
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",15.994292033545682,6.4
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",18.549976186783788,6.27
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.36323597902611,6.21
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.012452022895776,6.24
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",27.61739504314645,6.25
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.012329699407164,6.43
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.37974276676108,7.25
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",18.971639336792794,6.99
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",17.97259218007374,6.38
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",51.514509178783356,6.33
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",20.21503526011085,6.3
"['f5', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",18.310465929762227,6.24
