"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f2', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.05, 26250]",3.17,7.75205319448791e-124
"['f2', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.98,5.399761284717895e-131
"['f2', 20, -10, 10, 15, 5, 10, 300, 5, 2.5, 2.05, 26250]",2.83,3.447020728959268e-116
"['f2', 20, -10, 10, 15, 5, 10, 300, 5, 2.5, 2.5, 26250]",3.04,2.2787809634684144e-126
"['f2', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.05, 30000]",3.19,2.2874936798433548e-122
"['f2', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",3.2,1.145284205138627e-115
"['f2', 20, -10, 10, 15, 5, 20, 300, 5, 2.5, 2.05, 30000]",3.13,3.5886764999555474e-118
"['f2', 20, -10, 10, 15, 5, 20, 300, 5, 2.5, 2.5, 30000]",3.26,1.0112355127766395e-116
"['f2', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.05, 26250]",3.09,9.527473386147805e-128
"['f2', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",2.85,5.449461184229113e-123
"['f2', 20, -10, 10, 15, 10, 5, 300, 5, 2.5, 2.05, 26250]",2.92,1.4093709675705342e-116
"['f2', 20, -10, 10, 15, 10, 5, 300, 5, 2.5, 2.5, 26250]",2.81,8.66497584043079e-117
"['f2', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.05, 30000]",3.44,2.6605143993459452e-132
"['f2', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",3.22,4.199585618050423e-126
"['f2', 20, -10, 10, 15, 10, 10, 300, 5, 2.5, 2.05, 30000]",3.28,2.125643835155832e-116
"['f2', 20, -10, 10, 15, 10, 10, 300, 5, 2.5, 2.5, 30000]",3.36,6.789094069765045e-126
"['f2', 20, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.05, 30000]",3.24,1.7442122047808686e-92
"['f2', 20, -10, 10, 15, 10, 20, 200, 5, 2.05, 2.5, 30000]",3.1,7.270174080028514e-99
"['f2', 20, -10, 10, 15, 10, 20, 200, 5, 2.5, 2.05, 30000]",3.27,1.1081340307998783e-96
"['f2', 20, -10, 10, 15, 10, 20, 200, 5, 2.5, 2.5, 30000]",3.3,1.1588539328697106e-94
"['f2', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.05, 30000]",3.43,6.465909737975139e-124
"['f2', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",3.12,5.603010662334531e-126
"['f2', 20, -10, 10, 15, 20, 5, 300, 5, 2.5, 2.05, 30000]",3.39,3.894020948232018e-121
"['f2', 20, -10, 10, 15, 20, 5, 300, 5, 2.5, 2.5, 30000]",3.21,3.394750172381574e-120
"['f2', 20, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.05, 30000]",3.23,8.363256456586602e-93
"['f2', 20, -10, 10, 15, 20, 10, 200, 5, 2.05, 2.5, 30000]",3.23,6.927838089252749e-100
"['f2', 20, -10, 10, 15, 20, 10, 200, 5, 2.5, 2.05, 30000]",3.19,3.990797331014336e-90
"['f2', 20, -10, 10, 15, 20, 10, 200, 5, 2.5, 2.5, 30000]",3.25,2.732617527773851e-94
"['f2', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 25000]",2.72,9.805217961787442e-105
"['f2', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.5, 25000]",2.81,4.985175347707099e-95
"['f2', 20, -10, 10, 20, 5, 10, 200, 5, 2.5, 2.05, 25000]",2.67,8.945121108189737e-98
"['f2', 20, -10, 10, 20, 5, 10, 200, 5, 2.5, 2.5, 25000]",2.8,4.280242521741503e-89
"['f2', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 30000]",3.14,7.613687128643925e-89
"['f2', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.5, 30000]",3.14,7.954542983177472e-97
"['f2', 20, -10, 10, 20, 5, 20, 200, 5, 2.5, 2.05, 30000]",3.09,6.838965100518164e-92
"['f2', 20, -10, 10, 20, 5, 20, 200, 5, 2.5, 2.5, 30000]",3.06,6.349667403435988e-95
"['f2', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 25000]",2.81,5.890257535480155e-94
"['f2', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.5, 25000]",2.67,3.903698864919323e-97
"['f2', 20, -10, 10, 20, 10, 5, 200, 5, 2.5, 2.05, 25000]",2.92,5.2494970673191084e-102
"['f2', 20, -10, 10, 20, 10, 5, 200, 5, 2.5, 2.5, 25000]",2.73,3.698470494799263e-93
"['f2', 20, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.05, 30000]",3.11,1.271111801245398e-92
"['f2', 20, -10, 10, 20, 10, 10, 200, 5, 2.05, 2.5, 30000]",3.06,1.7867746073886084e-105
"['f2', 20, -10, 10, 20, 10, 10, 200, 5, 2.5, 2.05, 30000]",3.34,3.303075592801069e-99
"['f2', 20, -10, 10, 20, 10, 10, 200, 5, 2.5, 2.5, 30000]",3.14,2.8014369524823916e-97
"['f2', 20, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.05, 30000]",3.37,1.747430966184727e-87
"['f2', 20, -10, 10, 20, 20, 5, 200, 5, 2.05, 2.5, 30000]",3.11,7.47181737101275e-97
"['f2', 20, -10, 10, 20, 20, 5, 200, 5, 2.5, 2.05, 30000]",3.12,2.840114358444092e-102
"['f2', 20, -10, 10, 20, 20, 5, 200, 5, 2.5, 2.5, 30000]",3.18,2.937426774704967e-99
"['f2', 20, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.05, 28125]",3.01,7.831072615507566e-94
"['f2', 20, -10, 10, 25, 5, 5, 200, 5, 2.05, 2.5, 28125]",2.91,4.414361330885023e-102
"['f2', 20, -10, 10, 25, 5, 5, 200, 5, 2.5, 2.05, 28125]",2.93,7.378796073702956e-97
"['f2', 20, -10, 10, 25, 5, 5, 200, 5, 2.5, 2.5, 28125]",3.01,1.710905491310859e-96
"['f2', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.05, 26250]",2.88,4.4702993813017064e-17
"['f2', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",2.92,2.3713990375763964e-17
"['f2', 20, -100, 100, 15, 5, 10, 300, 5, 2.5, 2.05, 26250]",2.93,9.007001554812843e-17
"['f2', 20, -100, 100, 15, 5, 10, 300, 5, 2.5, 2.5, 26250]",2.98,1.792789805988689e-15
