"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f6', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.8,0.315
"['f6', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.47,3.783
"['f6', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.01,0.765
"['f6', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",4.59,0.168
"['f6', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",3.86,0.679
"['f6', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.77,0.614
"['f6', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",3.72,1.893
"['f6', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",4.72,1.305
"['f6', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",4.64,0.154
"['f6', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.41,1.098
"['f6', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",4.51,0.51
"['f6', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",4.34,0.068
"['f6', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",3.82,17.312
"['f6', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.55,352.757
"['f6', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",3.71,24.987
"['f6', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",4.64,18.817
"['f6', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.84,188.138
"['f6', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",5.07,1.749
"['f6', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.7,23.63
"['f6', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",4.63,72.535
"['f6', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",4.78,3.85
"['f6', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.33,40.4
"['f6', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.41,34.495
"['f6', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",4.47,12.87
"['f6', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.67,0.316
