"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",gBest_fitness,total_time
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",46.022,3.92738000000827
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.193,4.273990999994567
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",57.838,4.162893000000622
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",57.878,4.1261259999882895
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.306,4.0221979999914765
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",15.759,4.233337999990908
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.528,4.046875999978511
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.37,4.181458000006387
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",22.089,4.00695100001758
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",7.749,4.071349999983795
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",35.771,4.082819999981439
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",14.477,4.092635000008158
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",8.962,4.238102999981493
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",13.169,4.315478999982588
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1.289,4.288560999993933
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.835,3.963160000013886
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.051,4.202999000001
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",61.657,4.2182039999752305
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.357,4.440754000010202
"['f12', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",38.986,4.27245699998457
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.736,5.258666999987327
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.424,5.362489000021014
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.3,4.831670999992639
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",6.671,5.260338000021875
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.249,5.055713000008836
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",2.567,4.861475999990944
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",32.233,4.877455000008922
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.122,5.070360999990953
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",10.605,4.94572999997763
"['f12', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",7.545,5.05577199999243
