"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",44.768906084302586,10.82
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",39.126804542466786,10.64
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",27.095079051199775,10.46
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",26.254953423457728,10.59
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",64.13588729319497,10.7
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",51.55017438848782,11.26
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",69.69900260894362,10.76
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",45.517706676928874,10.77
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",50.009185750009095,11.01
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",66.21785768873798,10.74
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",56.17573952272593,11.22
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",41.37323079897926,10.83
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",27.24199780456422,12.6
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",41.87410096432573,10.59
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",42.0477453189263,10.43
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",33.96441832475102,10.55
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",44.06832121566948,10.56
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",43.93331318535391,11.17
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",42.06653583917451,10.66
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",26.478969300587462,10.63
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",37.97531723549737,10.73
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",40.921504424091964,11.29
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",24.72899394201358,11.51
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",42.29361883023866,11.04
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",36.12453833935563,11.36
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",39.02391327946961,17.15
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",35.86318622033394,15.62
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",35.520093682536135,12.89
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",34.88958606845212,11.85
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",29.98057990205637,11.0
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",32.58360723379759,11.33
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",26.008972598026396,11.01
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",21.05454627278985,11.39
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",34.97188884380641,11.2
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",61.87740911113712,11.33
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",35.970190510486255,11.18
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",28.653884055503926,11.04
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",34.132803142598775,11.17
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",34.88478745049626,10.82
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",20.936443565203515,10.85
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",69.9988305010449,10.55
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",40.53594157095013,10.95
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",48.859907878186256,10.86
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",55.971685779632935,10.64
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",36.1985232449118,10.51
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",25.28845238659108,10.47
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",37.14390569324978,10.43
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",48.11192922785894,10.69
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",51.756738750518366,10.91
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",44.48415522543212,13.22
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",72.82613768247982,10.96
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",26.216668834136645,11.0
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",46.74597936866657,11.12
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",43.63395359105874,10.85
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",38.512302454626095,11.02
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",37.0070162623135,10.66
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",39.337367422849695,12.58
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",23.9610450427243,10.97
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",36.14409778112332,13.63
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",41.06768752578276,11.21
"['f15', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",50.04195487597154,10.66
"['f15', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",53.054438938507815,10.74
"['f15', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",43.11815286103684,11.75
"['f15', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",36.264378943319485,10.6
