"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",total_time,gBest_fitness
"['f15', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",10.77,53.44778023728046
"['f15', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",10.91,47.936715832576596
"['f15', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",11.49,20.66564617604708
"['f15', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",10.85,44.14766933614982
"['f15', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",12.68,60.73700421980246
"['f15', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",13.52,36.598839889639066
"['f15', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",12.78,54.93147370555886
"['f15', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",13.13,40.19889948233913
"['f15', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",21.19,43.843076947024024
"['f15', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",13.21,49.77590480092668
"['f15', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",13.5,47.96908212885497
"['f15', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",13.09,27.90379294640869
"['f15', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",10.65,103.74604645432204
"['f15', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",11.07,310.65700928526024
"['f15', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",10.93,170.84934054502432
"['f15', 20, -100, 100, 100, 250, 2.5, 2.5, 25000]",10.74,106.70525445383608
"['f15', 20, -100, 100, 100, 300, 2.05, 2.05, 30000]",14.7,120.66710367892338
"['f15', 20, -100, 100, 100, 300, 2.05, 2.5, 30000]",12.84,166.67606480725522
"['f15', 20, -100, 100, 100, 300, 2.5, 2.05, 30000]",12.94,121.96658702148699
"['f15', 20, -100, 100, 100, 300, 2.5, 2.5, 30000]",12.78,97.07389691152605
"['f15', 20, -100, 100, 200, 150, 2.05, 2.05, 30000]",15.37,87.73697509711103
"['f15', 20, -100, 100, 200, 150, 2.05, 2.5, 30000]",12.99,145.5266475452549
"['f15', 20, -100, 100, 200, 150, 2.5, 2.05, 30000]",13.34,85.12337725736255
"['f15', 20, -100, 100, 200, 150, 2.5, 2.5, 30000]",15.09,126.53176192958193
"['f15', 30, -10, 10, 100, 250, 2.05, 2.05, 25000]",14.66,96.64671548912051
"['f15', 30, -10, 10, 100, 250, 2.05, 2.5, 25000]",15.02,54.30547463408094
"['f15', 30, -10, 10, 100, 250, 2.5, 2.05, 25000]",16.62,72.42201068832517
"['f15', 30, -10, 10, 100, 250, 2.5, 2.5, 25000]",14.67,79.22982663772233
"['f15', 30, -10, 10, 100, 300, 2.05, 2.05, 30000]",19.98,56.64618727921663
"['f15', 30, -10, 10, 100, 300, 2.05, 2.5, 30000]",17.76,87.04660678818293
"['f15', 30, -10, 10, 100, 300, 2.5, 2.05, 30000]",18.0,81.62498270362312
"['f15', 30, -10, 10, 100, 300, 2.5, 2.5, 30000]",20.1,75.05589097969086
"['f15', 30, -10, 10, 200, 150, 2.05, 2.05, 30000]",18.19,75.41225025819374
"['f15', 30, -10, 10, 200, 150, 2.05, 2.5, 30000]",18.52,69.57966864786742
"['f15', 30, -10, 10, 200, 150, 2.5, 2.05, 30000]",22.03,111.08316506940932
"['f15', 30, -10, 10, 200, 150, 2.5, 2.5, 30000]",17.54,73.02782043824283
"['f15', 30, -100, 100, 100, 250, 2.05, 2.05, 25000]",14.85,319.1433051112
"['f15', 30, -100, 100, 100, 250, 2.05, 2.5, 25000]",14.75,147.47798212530017
"['f15', 30, -100, 100, 100, 250, 2.5, 2.05, 25000]",14.83,215.315561095208
"['f15', 30, -100, 100, 100, 250, 2.5, 2.5, 25000]",15.14,172.32109701760143
"['f15', 30, -100, 100, 100, 300, 2.05, 2.05, 30000]",19.4,313.3718206461461
"['f15', 30, -100, 100, 100, 300, 2.05, 2.5, 30000]",17.92,320.9754177623122
"['f15', 30, -100, 100, 100, 300, 2.5, 2.05, 30000]",21.79,227.16551278909952
"['f15', 30, -100, 100, 100, 300, 2.5, 2.5, 30000]",17.63,288.2048759408686
"['f15', 30, -100, 100, 200, 150, 2.05, 2.05, 30000]",17.62,187.16276918886544
"['f15', 30, -100, 100, 200, 150, 2.05, 2.5, 30000]",17.92,275.89776695477053
"['f15', 30, -100, 100, 200, 150, 2.5, 2.05, 30000]",18.02,176.53870478139413
"['f15', 30, -100, 100, 200, 150, 2.5, 2.5, 30000]",17.7,285.18382393668605
"['f15', 50, -10, 10, 100, 250, 2.05, 2.05, 25000]",23.63,198.38788812925515
"['f15', 50, -10, 10, 100, 250, 2.05, 2.5, 25000]",23.72,158.05817113387934
"['f15', 50, -10, 10, 100, 250, 2.5, 2.05, 25000]",25.01,148.32709553834528
"['f15', 50, -10, 10, 100, 250, 2.5, 2.5, 25000]",23.13,220.39536162490083
"['f15', 50, -10, 10, 100, 300, 2.05, 2.05, 30000]",27.25,154.0145703183407
"['f15', 50, -10, 10, 100, 300, 2.05, 2.5, 30000]",27.23,148.5415671484712
"['f15', 50, -10, 10, 100, 300, 2.5, 2.05, 30000]",27.12,179.87077887396077
"['f15', 50, -10, 10, 100, 300, 2.5, 2.5, 30000]",27.37,210.78481069565498
"['f15', 50, -10, 10, 200, 150, 2.05, 2.05, 30000]",28.89,168.6393827484064
"['f15', 50, -10, 10, 200, 150, 2.05, 2.5, 30000]",30.54,141.26349010297508
"['f15', 50, -10, 10, 200, 150, 2.5, 2.05, 30000]",27.19,152.1215417923208
"['f15', 50, -10, 10, 200, 150, 2.5, 2.5, 30000]",28.97,130.79522898948352
"['f15', 50, -100, 100, 100, 250, 2.05, 2.05, 25000]",22.92,566.0930316639398
"['f15', 50, -100, 100, 100, 250, 2.05, 2.5, 25000]",23.72,999.1702090018293
"['f15', 50, -100, 100, 100, 250, 2.5, 2.05, 25000]",31.37,945.1684101741096
"['f15', 50, -100, 100, 100, 250, 2.5, 2.5, 25000]",23.41,898.2614438174706
"['f15', 50, -100, 100, 100, 300, 2.05, 2.05, 30000]",28.64,956.3761170561978
