"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f23', 20, -10, 10, 100, 250, 25000]",4.19,-78.33228643401053
"['f23', 20, -10, 10, 100, 300, 30000]",5.19,-78.33147276659611
"['f23', 20, -10, 10, 200, 150, 30000]",5.4,-78.33196910675213
"['f23', 20, -100, 100, 100, 250, 25000]",4.36,-78.32958940749228
"['f23', 20, -100, 100, 100, 300, 30000]",5.02,-78.32465553285911
"['f23', 20, -100, 100, 200, 150, 30000]",5.06,-78.32900224880427
"['f23', 30, -10, 10, 100, 250, 25000]",5.04,-78.33177680053642
"['f23', 30, -10, 10, 100, 300, 30000]",5.86,-78.33232351689894
"['f23', 30, -10, 10, 200, 150, 30000]",5.89,-78.33187028213915
"['f23', 30, -100, 100, 100, 250, 25000]",5.45,-78.33135916528953
"['f23', 30, -100, 100, 100, 300, 30000]",6.68,-78.33104652300078
"['f23', 30, -100, 100, 200, 150, 30000]",6.57,-78.33147611644249
"['f23', 50, -10, 10, 100, 250, 25000]",7.08,-78.3302513453801
"['f23', 50, -10, 10, 100, 300, 30000]",7.78,-78.32967808242705
"['f23', 50, -10, 10, 200, 150, 30000]",8.38,-78.33047967480663
"['f23', 50, -100, 100, 100, 250, 25000]",7.22,-78.32880966495341
"['f23', 50, -100, 100, 100, 300, 30000]",8.81,-78.33194128388358
"['f23', 50, -100, 100, 200, 150, 30000]",8.71,-78.3094185596725
"['f23', 100, -10, 10, 100, 250, 25000]",11.23,-78.32292308403838
"['f23', 100, -10, 10, 100, 300, 30000]",13.5,-78.33194849551343
"['f23', 100, -10, 10, 200, 150, 30000]",13.0,-78.33169648254736
"['f23', 100, -100, 100, 100, 250, 25000]",12.39,-78.33224385120381
"['f23', 100, -100, 100, 100, 300, 30000]",14.55,-78.33193715679066
"['f23', 100, -100, 100, 200, 150, 30000]",14.59,-78.3303691228446
