"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",total_time,gBest_fitness
"['f1', 50, -100, 100, 100, 300, 2.05, 2.5, 30000]",5.24,7.090053731261008
"['f1', 50, -100, 100, 100, 300, 2.5, 2.05, 30000]",5.11,14.407552831311246
"['f1', 50, -100, 100, 100, 300, 2.5, 2.5, 30000]",5.09,5.529351984352192
"['f1', 50, -100, 100, 200, 150, 2.05, 2.05, 30000]",5.22,17.912917546309906
"['f1', 50, -100, 100, 200, 150, 2.05, 2.5, 30000]",5.21,10.97256720199978
"['f1', 50, -100, 100, 200, 150, 2.5, 2.05, 30000]",5.41,32.72712045145771
"['f1', 50, -100, 100, 200, 150, 2.5, 2.5, 30000]",5.38,7.3984856661675575
"['f1', 100, -10, 10, 100, 250, 2.05, 2.05, 25000]",7.99,16.202509259640546
"['f1', 100, -10, 10, 100, 250, 2.05, 2.5, 25000]",8.06,13.903113250348865
"['f1', 100, -10, 10, 100, 250, 2.5, 2.05, 25000]",7.76,22.532339511553356
"['f1', 100, -10, 10, 100, 250, 2.5, 2.5, 25000]",7.86,12.378938114119357
"['f1', 100, -10, 10, 100, 300, 2.05, 2.05, 30000]",9.23,14.831335521380428
"['f1', 100, -10, 10, 100, 300, 2.05, 2.5, 30000]",9.49,7.618638507622063
"['f1', 100, -10, 10, 100, 300, 2.5, 2.05, 30000]",9.69,13.498019494463199
"['f1', 100, -10, 10, 100, 300, 2.5, 2.5, 30000]",9.09,9.66441460470205
"['f1', 100, -10, 10, 200, 150, 2.05, 2.05, 30000]",9.8,14.833431917332849
"['f1', 100, -10, 10, 200, 150, 2.05, 2.5, 30000]",9.5,9.25606837983941
"['f1', 100, -10, 10, 200, 150, 2.5, 2.05, 30000]",9.54,15.001439861063163
"['f1', 100, -10, 10, 200, 150, 2.5, 2.5, 30000]",9.5,11.865006944258674
"['f1', 100, -100, 100, 100, 250, 2.05, 2.05, 25000]",7.69,187.2785649020278
"['f1', 100, -100, 100, 100, 250, 2.05, 2.5, 25000]",7.93,76.51892815090677
"['f1', 100, -100, 100, 100, 250, 2.5, 2.05, 25000]",7.71,133.66107692917151
"['f1', 100, -100, 100, 100, 250, 2.5, 2.5, 25000]",7.84,114.12401217191567
"['f1', 100, -100, 100, 100, 300, 2.05, 2.05, 30000]",9.57,115.30450118087676
"['f1', 100, -100, 100, 100, 300, 2.05, 2.5, 30000]",9.69,53.26775631436797
"['f1', 100, -100, 100, 100, 300, 2.5, 2.05, 30000]",9.38,113.01053115745685
"['f1', 100, -100, 100, 100, 300, 2.5, 2.5, 30000]",9.26,36.338273855665
"['f1', 100, -100, 100, 200, 150, 2.05, 2.05, 30000]",9.44,295.7803957808999
"['f1', 100, -100, 100, 200, 150, 2.05, 2.5, 30000]",10.59,174.487122353771
"['f1', 100, -100, 100, 200, 150, 2.5, 2.05, 30000]",9.56,361.1889729959974
"['f1', 100, -100, 100, 200, 150, 2.5, 2.5, 30000]",9.66,288.5697330739212
