"combination [range0, range1, ep_max, c1, c2]",gBest_fitness
1,872.1061447168362
2,674.7472096645299
3,487.6814255461882
4,337.33382857603004
5,241.78829193590656
6,144.0884475764149
7,89.25684948868518
8,44.86167426083597
9,29.636776538567577
10,21.652493878528578
11,21.652493878528578
12,19.3593560400825
13,19.3593560400825
14,18.587137220243605
15,16.880684848176923
16,16.406642234629164
17,16.406642234629164
18,16.18612814917082
19,16.18612814917082
20,15.991335944823264
21,15.991335944823264
22,15.991335944823264
23,15.707235228557218
24,14.71214560133706
25,14.243785721416808
26,14.243785721416808
27,13.483865268493243
28,12.074975680177596
29,11.774839327282411
30,11.774839327282411
31,11.774839327282411
32,10.187860859976444
33,10.187860859976444
34,10.187860859976444
35,10.101812560739116
36,9.841969218529474
37,9.841969218529474
38,9.262604178928322
39,9.262604178928322
40,8.746987907568824
41,8.632525227201079
42,7.537937056031473
43,7.537937056031473
44,7.537937056031473
45,7.480001146743815
46,7.480001146743815
47,7.479037964040744
48,7.479037964040744
49,6.970533546806635
50,6.970533546806635
51,6.970533546806635
52,6.541782432591408
53,6.4602997603614245
54,6.4602997603614245
55,6.389833787427112
56,4.864760325665908
57,4.681100244102588
58,4.681100244102588
59,4.681100244102588
60,4.681100244102588
61,4.416952958732554
62,4.416952958732554
63,4.251924608196239
64,4.251924608196239
65,4.251924608196239
66,4.251924608196239
67,4.251924608196239
68,4.218763775588941
69,4.218763775588941
70,4.173668456746608
71,4.173668456746608
72,4.173668456746608
73,4.173668456746608
74,4.066557022215642
75,3.704526586240529
76,3.704526586240529
77,3.704526586240529
78,3.704526586240529
79,3.704526586240529
80,3.289366244425276
81,3.289366244425276
82,3.289366244425276
83,3.156811545251759
84,3.156811545251759
85,3.156811545251759
86,3.156811545251759
87,3.156811545251759
88,3.1406678620789528
89,3.1406678620789528
90,3.1406678620789528
91,3.0599134304328355
92,3.0599134304328355
93,3.0599134304328355
94,2.919363735700035
95,2.919363735700035
96,2.919363735700035
97,2.832442118512768
98,2.832442118512768
99,2.8185064839986405
100,2.555666554831892
101,2.555666554831892
102,2.555666554831892
103,2.418974155713152
104,2.418974155713152
105,2.3872419997458487
106,2.3872419997458487
107,2.3872419997458487
108,2.3872419997458487
109,2.3872419997458487
110,2.3578732030790115
111,2.3578732030790115
112,2.3578732030790115
113,2.3578732030790115
114,2.3578732030790115
115,2.3578732030790115
116,2.267267462884232
117,2.227889271369616
118,2.227889271369616
119,2.227889271369616
120,2.227889271369616
121,2.227889271369616
122,1.8725344762961096
123,1.8725344762961096
124,1.8725344762961096
125,1.8725344762961096
126,1.8725344762961096
127,1.853772938200101
128,1.853772938200101
129,1.803949658862139
130,1.803949658862139
131,1.803949658862139
132,1.7219890151281672
133,1.7219890151281672
134,1.7219890151281672
135,1.7219890151281672
136,1.7219890151281672
137,1.7219890151281672
138,1.7219890151281672
139,1.7219890151281672
140,1.7219890151281672
141,1.7012745282022579
142,1.7012745282022579
143,1.7012745282022579
144,1.7012745282022579
145,1.661301599548675
146,1.4052987829114363
147,1.4052987829114363
148,1.4052987829114363
149,1.4052987829114363
150,1.4052987829114363
151,1.4052987829114363
152,1.4052987829114363
153,1.4052987829114363
154,1.372694810259738
