"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 100, 100, 2, 2.5]",1.2768346180807593,3.21
"[-10, 10, 100, 100, 2, 2.5]",1.4905262743467724,3.45
"[-10, 10, 100, 100, 2, 2.5]",3.0829058256516646,3.91
"[-10, 10, 100, 100, 2, 2.5]",2.660447475476512,3.42
"[-10, 10, 100, 100, 2, 2.5]",1.850345475555023,3.23
"[-10, 10, 100, 100, 2, 2.5]",1.469608042737786,3.17
"[-10, 10, 100, 100, 2, 2.5]",2.0896366520123295,3.31
"[-10, 10, 100, 100, 2, 2.5]",2.775201265318098,4.03
"[-10, 10, 100, 100, 2, 2.5]",2.4878055448796443,3.91
"[-10, 10, 100, 100, 2, 2.5]",1.4784665320352408,3.25
"[-10, 10, 100, 100, 2, 2.5]",3.7326209749440613,3.23
"[-10, 10, 100, 100, 2, 2.5]",4.257770979847922,3.1
"[-10, 10, 100, 100, 2, 2.5]",1.3737643205375865,3.48
"[-10, 10, 100, 100, 2, 2.5]",2.676504201496118,3.12
"[-10, 10, 100, 100, 2, 2.5]",2.9152598511656485,3.75
"[-10, 10, 100, 100, 2, 2.5]",3.022336001874523,3.43
"[-10, 10, 100, 100, 2, 2.5]",2.3957122773962753,3.65
"[-10, 10, 100, 100, 2, 2.5]",1.9804161818775967,3.63
"[-10, 10, 100, 100, 2, 2.5]",3.750733105042151,3.34
"[-10, 10, 150, 100, 2, 2.5]",1.2034952486738646,5.37
"[-10, 10, 150, 100, 2, 2.5]",1.801431723770511,5.12
"[-10, 10, 150, 100, 2, 2.5]",1.6416816013166473,5.2
"[-10, 10, 150, 100, 2, 2.5]",1.4119308896673872,5.21
"[-10, 10, 150, 100, 2, 2.5]",1.6625816895091268,4.86
"[-10, 10, 150, 100, 2, 2.5]",1.8182065190677943,4.77
"[-10, 10, 150, 100, 2, 2.5]",1.5780812769956243,5.2
"[-10, 10, 150, 100, 2, 2.5]",1.0957829541347495,4.82
"[-10, 10, 150, 100, 2, 2.5]",2.1801639123163685,4.75
"[-10, 10, 150, 100, 2, 2.5]",1.2248920960937129,4.75
"[-10, 10, 150, 100, 2, 2.5]",1.0055367156460957,4.74
"[-10, 10, 150, 100, 2, 2.5]",0.9596566003665307,4.84
"[-10, 10, 150, 100, 2, 2.5]",1.174284036124201,4.88
"[-10, 10, 150, 100, 2, 2.5]",1.225900096397903,5.26
"[-10, 10, 150, 100, 2, 2.5]",1.9215820399058656,5.3
"[-10, 10, 150, 100, 2, 2.5]",2.194268930833251,4.83
"[-10, 10, 150, 100, 2, 2.5]",1.0159323108150817,4.93
"[-10, 10, 150, 100, 2, 2.5]",0.9786540100167979,5.0
"[-10, 10, 150, 100, 2, 2.5]",1.5882619024441997,5.21
"[-10, 10, 150, 100, 2, 2.5]",2.0768945009231783,4.64
"[-10, 10, 50, 100, 2.5, 2]",8.85448574582102,1.57
"[-10, 10, 50, 100, 2.5, 2]",5.7062191033373555,1.55
"[-10, 10, 50, 100, 2.5, 2]",11.82430367581318,1.75
"[-10, 10, 50, 100, 2.5, 2]",7.795359270452269,1.58
"[-10, 10, 50, 100, 2.5, 2]",8.34963114854338,1.58
"[-10, 10, 50, 100, 2.5, 2]",7.738075739836867,2.33
"[-10, 10, 50, 100, 2.5, 2]",13.003260968651709,1.8
"[-10, 10, 50, 100, 2.5, 2]",6.086049143168163,1.55
"[-10, 10, 50, 100, 2.5, 2]",7.185671146954396,1.54
"[-10, 10, 50, 100, 2.5, 2]",9.728716389371964,1.6
"[-10, 10, 50, 100, 2.5, 2]",8.181841457572329,1.63
"[-10, 10, 50, 100, 2.5, 2]",7.492401852945802,1.61
"[-10, 10, 50, 100, 2.5, 2]",6.319266154581136,1.6
"[-10, 10, 50, 100, 2.5, 2]",8.71024343220894,1.59
"[-10, 10, 50, 100, 2.5, 2]",8.494670412518802,1.62
"[-10, 10, 50, 100, 2.5, 2]",8.29515185116663,1.6
"[-10, 10, 50, 100, 2.5, 2]",7.243391383096267,1.59
"[-10, 10, 50, 100, 2.5, 2]",8.527842623720211,1.59
"[-10, 10, 50, 100, 2.5, 2]",5.846992899512649,1.58
"[-10, 10, 50, 100, 2.5, 2]",9.444131406151186,1.73
"[-10, 10, 100, 100, 2.5, 2]",4.951096916273429,3.21
"[-10, 10, 100, 100, 2.5, 2]",3.289825584334657,3.2
"[-10, 10, 100, 100, 2.5, 2]",3.8106895028217322,3.21
"[-10, 10, 100, 100, 2.5, 2]",2.9575435009082285,3.16
"[-10, 10, 100, 100, 2.5, 2]",2.051508590785551,3.15
"[-10, 10, 100, 100, 2.5, 2]",6.710892728442651,3.69
"[-10, 10, 100, 100, 2.5, 2]",3.514590419580281,3.8
"[-10, 10, 100, 100, 2.5, 2]",3.902431524657885,3.76
"[-10, 10, 100, 100, 2.5, 2]",2.441231285890978,3.65
"[-10, 10, 100, 100, 2.5, 2]",3.8696010992835186,3.52
"[-10, 10, 100, 100, 2.5, 2]",3.8550960403559196,3.49
"[-10, 10, 100, 100, 2.5, 2]",2.9811527246915173,3.48
"[-10, 10, 100, 100, 2.5, 2]",4.046945248952683,3.37
"[-10, 10, 100, 100, 2.5, 2]",4.035512219541649,3.45
"[-10, 10, 100, 100, 2.5, 2]",2.4130461487317247,3.6
"[-10, 10, 100, 100, 2.5, 2]",3.7146739942586056,3.98
"[-10, 10, 100, 100, 2.5, 2]",3.4056626870911515,3.58
"[-10, 10, 100, 100, 2.5, 2]",7.155134657089852,4.14
"[-10, 10, 100, 100, 2.5, 2]",6.459483839937728,4.33
"[-10, 10, 100, 100, 2.5, 2]",1.960400499094175,4.5
"[-10, 10, 150, 100, 2.5, 2]",1.8829382643426718,6.2
"[-10, 10, 150, 100, 2.5, 2]",4.001606926702833,5.64
"[-10, 10, 150, 100, 2.5, 2]",2.3707454500102276,5.69
"[-10, 10, 150, 100, 2.5, 2]",2.8487407208097095,6.13
"[-10, 10, 150, 100, 2.5, 2]",1.274534710649644,5.53
"[-10, 10, 150, 100, 2.5, 2]",2.864604627943681,5.87
"[-10, 10, 150, 100, 2.5, 2]",2.3125881176732057,5.78
"[-10, 10, 150, 100, 2.5, 2]",3.7964857107778633,6.27
"[-10, 10, 150, 100, 2.5, 2]",3.1678628277765815,6.04
"[-10, 10, 150, 100, 2.5, 2]",2.1177094376004635,5.13
"[-10, 10, 150, 100, 2.5, 2]",2.7849719352563813,5.3
"[-10, 10, 150, 100, 2.5, 2]",2.403539312236423,5.05
"[-10, 10, 150, 100, 2.5, 2]",1.6453493621340955,4.81
"[-10, 10, 150, 100, 2.5, 2]",4.159101796475735,4.87
"[-10, 10, 150, 100, 2.5, 2]",2.014370032734846,4.74
"[-10, 10, 150, 100, 2.5, 2]",2.6363144792259128,5.36
"[-10, 10, 150, 100, 2.5, 2]",2.9218297356963587,4.51
"[-10, 10, 150, 100, 2.5, 2]",2.163625730516125,5.06
"[-10, 10, 150, 100, 2.5, 2]",3.255772870272942,4.49
"[-10, 10, 150, 100, 2.5, 2]",2.249579053295097,4.51
"[-10, 10, 50, 100, 2.5, 2.5]",4.970981281096895,1.48
"[-10, 10, 50, 100, 2.5, 2.5]",4.4547265500809985,1.42
"[-10, 10, 50, 100, 2.5, 2.5]",5.815021338058951,1.41
"[-10, 10, 50, 100, 2.5, 2.5]",3.531174908216749,1.56
"[-10, 10, 50, 100, 2.5, 2.5]",4.425193198474232,1.68
"[-10, 10, 50, 100, 2.5, 2.5]",5.76504540055199,1.64
"[-10, 10, 50, 100, 2.5, 2.5]",5.5327045285059375,1.93
"[-10, 10, 50, 100, 2.5, 2.5]",4.231278412022878,1.47
"[-10, 10, 50, 100, 2.5, 2.5]",5.387439044049345,1.54
"[-10, 10, 50, 100, 2.5, 2.5]",5.95222685558672,1.58
"[-10, 10, 50, 100, 2.5, 2.5]",6.1222238670502005,1.42
"[-10, 10, 50, 100, 2.5, 2.5]",5.09715349973451,1.41
"[-10, 10, 50, 100, 2.5, 2.5]",7.600874269567061,2.11
"[-10, 10, 50, 100, 2.5, 2.5]",5.392622525453064,1.86
"[-10, 10, 50, 100, 2.5, 2.5]",8.701496219980084,1.41
"[-10, 10, 50, 100, 2.5, 2.5]",5.3185860448664,1.14
"[-10, 10, 50, 100, 2.5, 2.5]",6.374343499324335,1.17
"[-10, 10, 50, 100, 2.5, 2.5]",5.0779610552503245,1.07
"[-10, 10, 50, 100, 2.5, 2.5]",3.7871677158094803,1.15
"[-10, 10, 50, 100, 2.5, 2.5]",10.332191032758896,1.25
"[-10, 10, 100, 100, 2.5, 2.5]",1.4332805321975668,2.26
"[-10, 10, 100, 100, 2.5, 2.5]",2.5586492392390956,2.32
"[-10, 10, 100, 100, 2.5, 2.5]",2.29273369309622,2.03
"[-10, 10, 100, 100, 2.5, 2.5]",2.001891933975506,2.06
"[-10, 10, 100, 100, 2.5, 2.5]",2.179067619120446,2.06
"[-10, 10, 100, 100, 2.5, 2.5]",2.2190388982305844,2.11
"[-10, 10, 100, 100, 2.5, 2.5]",2.1380767795282654,2.02
"[-10, 10, 100, 100, 2.5, 2.5]",2.164626885675257,2.13
"[-10, 10, 100, 100, 2.5, 2.5]",4.179836319253031,2.28
"[-10, 10, 100, 100, 2.5, 2.5]",3.0827895642128307,2.08
"[-10, 10, 100, 100, 2.5, 2.5]",2.609382415469725,2.13
"[-10, 10, 100, 100, 2.5, 2.5]",2.2066172001337625,2.14
"[-10, 10, 100, 100, 2.5, 2.5]",2.296790696911173,2.07
"[-10, 10, 100, 100, 2.5, 2.5]",3.540073163845159,2.12
"[-10, 10, 100, 100, 2.5, 2.5]",2.6357665461884183,2.11
"[-10, 10, 100, 100, 2.5, 2.5]",2.905563088672603,2.14
"[-10, 10, 100, 100, 2.5, 2.5]",1.9816223963840454,2.18
"[-10, 10, 100, 100, 2.5, 2.5]",2.4843528690344225,2.17
"[-10, 10, 100, 100, 2.5, 2.5]",3.474103119516527,2.72
"[-10, 10, 100, 100, 2.5, 2.5]",2.89573142969707,3.2
"[-10, 10, 150, 100, 2.5, 2.5]",1.8328245045225258,3.15
"[-10, 10, 150, 100, 2.5, 2.5]",1.211243166727829,3.2
"[-10, 10, 150, 100, 2.5, 2.5]",3.1791391086329357,3.2
"[-10, 10, 150, 100, 2.5, 2.5]",1.9871332152350087,3.22
"[-10, 10, 150, 100, 2.5, 2.5]",1.6169071602613012,3.14
"[-10, 10, 150, 100, 2.5, 2.5]",0.6344275223287953,3.12
"[-10, 10, 150, 100, 2.5, 2.5]",2.015709168626482,3.16
"[-10, 10, 150, 100, 2.5, 2.5]",1.0539072986565525,3.21
"[-10, 10, 150, 100, 2.5, 2.5]",1.4487618367840265,3.2
"[-10, 10, 150, 100, 2.5, 2.5]",0.9719015960163008,3.12
"[-10, 10, 150, 100, 2.5, 2.5]",1.0874077251717813,3.31
"[-10, 10, 150, 100, 2.5, 2.5]",1.607231999081538,3.16
"[-10, 10, 150, 100, 2.5, 2.5]",1.745206315721787,3.08
"[-10, 10, 150, 100, 2.5, 2.5]",1.7324633549230097,3.56
"[-10, 10, 150, 100, 2.5, 2.5]",1.269509133264121,3.17
"[-10, 10, 150, 100, 2.5, 2.5]",1.6175369881309367,4.08
"[-10, 10, 150, 100, 2.5, 2.5]",1.5041930775980776,4.52
"[-10, 10, 150, 100, 2.5, 2.5]",1.074847965292991,3.94
"[-10, 10, 150, 100, 2.5, 2.5]",1.462352067186422,3.36
"[-10, 10, 150, 100, 2.5, 2.5]",1.2827201793066356,3.3
"[-10, 10, 50, 200, 2, 2]",5.870682904316194,2.15
"[-10, 10, 50, 200, 2, 2]",3.890757319613844,2.37
"[-10, 10, 50, 200, 2, 2]",4.440083571105363,2.1
"[-10, 10, 50, 200, 2, 2]",6.731956124600721,2.08
"[-10, 10, 50, 200, 2, 2]",5.421241134267359,2.1
"[-10, 10, 50, 200, 2, 2]",4.615634089705595,2.0
"[-10, 10, 50, 200, 2, 2]",6.296109248613166,2.06
"[-10, 10, 50, 200, 2, 2]",2.4787057876925407,2.12
"[-10, 10, 50, 200, 2, 2]",6.79927552358988,2.32
"[-10, 10, 50, 200, 2, 2]",6.927464473799031,2.18
"[-10, 10, 50, 200, 2, 2]",7.884316732406656,2.16
"[-10, 10, 50, 200, 2, 2]",6.464571470226226,2.23
"[-10, 10, 50, 200, 2, 2]",3.6465768609492164,2.19
"[-10, 10, 50, 200, 2, 2]",5.946730692066737,2.32
"[-10, 10, 50, 200, 2, 2]",4.391538291012596,2.26
"[-10, 10, 50, 200, 2, 2]",4.383948696542512,2.55
