"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, c1, c2, function evaluation]",total_time,gBest_fitness
"['f14', 20, -10, 10, 100, 250, 2.05, 2.05, 25000]",13.37,-78.90399743532927
"['f14', 20, -10, 10, 100, 250, 2.05, 2.5, 25000]",14.18,-78.90598013632442
"['f14', 20, -10, 10, 100, 250, 2.5, 2.05, 25000]",14.21,-78.90580208156037
"['f14', 20, -10, 10, 100, 250, 2.5, 2.5, 25000]",13.93,-78.90532194242147
"['f14', 20, -10, 10, 100, 300, 2.05, 2.05, 30000]",17.21,-78.89854504998638
"['f14', 20, -10, 10, 100, 300, 2.05, 2.5, 30000]",17.68,-78.90494966253549
"['f14', 20, -10, 10, 100, 300, 2.5, 2.05, 30000]",16.14,-78.90541236556834
"['f14', 20, -10, 10, 100, 300, 2.5, 2.5, 30000]",17.05,-78.90591769515908
"['f14', 20, -10, 10, 200, 150, 2.05, 2.05, 30000]",18.24,-78.90580585325709
"['f14', 20, -10, 10, 200, 150, 2.05, 2.5, 30000]",16.38,-78.90593040663238
"['f14', 20, -10, 10, 200, 150, 2.5, 2.05, 30000]",17.45,-78.90587948922001
"['f14', 20, -10, 10, 200, 150, 2.5, 2.5, 30000]",16.23,-78.90551759573803
"['f14', 20, -100, 100, 100, 250, 2.05, 2.05, 25000]",14.99,-975.3395449018714
"['f14', 20, -100, 100, 100, 250, 2.05, 2.5, 25000]",13.93,-816.7090986346841
"['f14', 20, -100, 100, 100, 250, 2.5, 2.05, 25000]",14.82,-796.2583736302404
"['f14', 20, -100, 100, 100, 250, 2.5, 2.5, 25000]",14.36,-836.15981248654
"['f14', 20, -100, 100, 100, 300, 2.05, 2.05, 30000]",16.84,-718.0303324396086
"['f14', 20, -100, 100, 100, 300, 2.05, 2.5, 30000]",16.14,-756.3457043139797
"['f14', 20, -100, 100, 100, 300, 2.5, 2.05, 30000]",16.4,-856.2623493184917
"['f14', 20, -100, 100, 100, 300, 2.5, 2.5, 30000]",17.39,-857.0254809568804
"['f14', 20, -100, 100, 200, 150, 2.05, 2.05, 30000]",17.5,-767.7547703475518
"['f14', 20, -100, 100, 200, 150, 2.05, 2.5, 30000]",16.98,-699.0977092339
"['f14', 20, -100, 100, 200, 150, 2.5, 2.05, 30000]",15.39,-804.530919348337
"['f14', 20, -100, 100, 200, 150, 2.5, 2.5, 30000]",20.44,-802.4458939147897
"['f14', 30, -10, 10, 100, 250, 2.05, 2.05, 25000]",19.89,-118.29783740690245
"['f14', 30, -10, 10, 100, 250, 2.05, 2.5, 25000]",18.28,-118.3448559250532
"['f14', 30, -10, 10, 100, 250, 2.5, 2.05, 25000]",21.08,-118.24543227702206
"['f14', 30, -10, 10, 100, 250, 2.5, 2.5, 25000]",18.39,-118.33344790164666
"['f14', 30, -10, 10, 100, 300, 2.05, 2.05, 30000]",24.48,-118.29613831359868
"['f14', 30, -10, 10, 100, 300, 2.05, 2.5, 30000]",22.42,-118.32951552741359
"['f14', 30, -10, 10, 100, 300, 2.5, 2.05, 30000]",22.41,-118.29170039144566
"['f14', 30, -10, 10, 100, 300, 2.5, 2.5, 30000]",22.29,-118.34676678160268
"['f14', 30, -10, 10, 200, 150, 2.05, 2.05, 30000]",21.56,-114.59161792895671
"['f14', 30, -10, 10, 200, 150, 2.05, 2.5, 30000]",25.12,-118.33305463066444
"['f14', 30, -10, 10, 200, 150, 2.5, 2.05, 30000]",22.9,-114.57626473860779
"['f14', 30, -10, 10, 200, 150, 2.5, 2.5, 30000]",22.42,-118.34177806067268
"['f14', 30, -100, 100, 100, 250, 2.05, 2.05, 25000]",17.97,-1194.1296862950362
"['f14', 30, -100, 100, 100, 250, 2.05, 2.5, 25000]",19.56,-1055.6973048163904
"['f14', 30, -100, 100, 100, 250, 2.5, 2.05, 25000]",18.93,-1055.0176566048133
"['f14', 30, -100, 100, 100, 250, 2.5, 2.5, 25000]",22.23,-1074.3794407576747
"['f14', 30, -100, 100, 100, 300, 2.05, 2.05, 30000]",22.07,-1251.3088851006562
"['f14', 30, -100, 100, 100, 300, 2.05, 2.5, 30000]",22.68,-1234.8196294810728
"['f14', 30, -100, 100, 100, 300, 2.5, 2.05, 30000]",22.18,-1261.4127390633948
"['f14', 30, -100, 100, 100, 300, 2.5, 2.5, 30000]",21.9,-1115.471111302877
"['f14', 30, -100, 100, 200, 150, 2.05, 2.05, 30000]",22.04,-791.27944748298
"['f14', 30, -100, 100, 200, 150, 2.05, 2.5, 30000]",22.83,-1012.0919803335992
"['f14', 30, -100, 100, 200, 150, 2.5, 2.05, 30000]",22.82,-836.7990673732315
"['f14', 30, -100, 100, 200, 150, 2.5, 2.5, 30000]",23.26,-954.5632949484869
"['f14', 50, -10, 10, 100, 250, 2.05, 2.05, 25000]",28.77,-196.5247444195236
"['f14', 50, -10, 10, 100, 250, 2.05, 2.5, 25000]",27.92,-193.1957944635803
"['f14', 50, -10, 10, 100, 250, 2.5, 2.05, 25000]",27.88,-192.97587542352576
"['f14', 50, -10, 10, 100, 250, 2.5, 2.5, 25000]",31.43,-193.20407795549656
"['f14', 50, -10, 10, 100, 300, 2.05, 2.05, 30000]",33.73,-189.34450727950244
"['f14', 50, -10, 10, 100, 300, 2.05, 2.5, 30000]",34.83,-193.3714735268937
"['f14', 50, -10, 10, 100, 300, 2.5, 2.05, 30000]",34.5,-189.05146955235986
"['f14', 50, -10, 10, 100, 300, 2.5, 2.5, 30000]",35.8,-193.26483581347912
"['f14', 50, -10, 10, 200, 150, 2.05, 2.05, 30000]",41.38,-196.51286327199438
"['f14', 50, -10, 10, 200, 150, 2.05, 2.5, 30000]",33.81,-196.85260295721824
"['f14', 50, -10, 10, 200, 150, 2.5, 2.05, 30000]",34.92,-185.21078775352893
"['f14', 50, -10, 10, 200, 150, 2.5, 2.5, 30000]",38.52,-196.6932864807209
"['f14', 50, -100, 100, 100, 250, 2.05, 2.05, 25000]",28.63,-1534.3067572238883
"['f14', 50, -100, 100, 100, 250, 2.05, 2.5, 25000]",28.13,-1492.99558881069
"['f14', 50, -100, 100, 100, 250, 2.5, 2.05, 25000]",30.44,-1611.7774136520668
"['f14', 50, -100, 100, 100, 250, 2.5, 2.5, 25000]",28.67,-1610.7871235019593
"['f14', 50, -100, 100, 100, 300, 2.05, 2.05, 30000]",33.31,-1475.072910417233
"['f14', 50, -100, 100, 100, 300, 2.05, 2.5, 30000]",34.57,-1760.226938231446
"['f14', 50, -100, 100, 100, 300, 2.5, 2.05, 30000]",33.0,-1666.184563023348
"['f14', 50, -100, 100, 100, 300, 2.5, 2.5, 30000]",35.84,-1825.6146553209373
"['f14', 50, -100, 100, 200, 150, 2.05, 2.05, 30000]",35.58,-1147.1849814696607
"['f14', 50, -100, 100, 200, 150, 2.05, 2.5, 30000]",33.59,-1056.9410607324123
"['f14', 50, -100, 100, 200, 150, 2.5, 2.05, 30000]",36.59,-1177.1846773150291
"['f14', 50, -100, 100, 200, 150, 2.5, 2.5, 30000]",34.45,-1101.2125530939393
"['f14', 100, -10, 10, 100, 250, 2.05, 2.05, 25000]",58.71,-356.91108830780047
"['f14', 100, -10, 10, 100, 250, 2.05, 2.5, 25000]",54.83,-363.3860829612826
"['f14', 100, -10, 10, 100, 250, 2.5, 2.05, 25000]",52.7,-353.2357264500434
"['f14', 100, -10, 10, 100, 250, 2.5, 2.5, 25000]",54.59,-350.04352812709516
"['f14', 100, -10, 10, 100, 300, 2.05, 2.05, 30000]",64.48,-351.4577004457999
"['f14', 100, -10, 10, 100, 300, 2.05, 2.5, 30000]",68.54,-369.8096185184927
"['f14', 100, -10, 10, 100, 300, 2.5, 2.05, 30000]",65.08,-357.6280449762409
"['f14', 100, -10, 10, 100, 300, 2.5, 2.5, 30000]",67.32,-360.8197521877596
"['f14', 100, -10, 10, 200, 150, 2.05, 2.05, 30000]",66.28,-338.9730654791026
"['f14', 100, -10, 10, 200, 150, 2.05, 2.5, 30000]",66.23,-355.5212538365478
"['f14', 100, -10, 10, 200, 150, 2.5, 2.05, 30000]",66.34,-359.46857369121636
"['f14', 100, -10, 10, 200, 150, 2.5, 2.5, 30000]",89.01,-363.1591794193984
"['f14', 100, -100, 100, 100, 250, 2.05, 2.05, 25000]",56.61,-2252.258063075945
"['f14', 100, -100, 100, 100, 250, 2.05, 2.5, 25000]",58.85,-2988.6214554287503
"['f14', 100, -100, 100, 100, 250, 2.5, 2.05, 25000]",54.91,-1981.2431294908415
"['f14', 100, -100, 100, 100, 250, 2.5, 2.5, 25000]",56.47,-2504.0070146695416
"['f14', 100, -100, 100, 100, 300, 2.05, 2.05, 30000]",66.32,-2696.429144948374
"['f14', 100, -100, 100, 100, 300, 2.05, 2.5, 30000]",65.42,-3578.337332317981
"['f14', 100, -100, 100, 100, 300, 2.5, 2.05, 30000]",73.93,-2732.6398788993697
"['f14', 100, -100, 100, 100, 300, 2.5, 2.5, 30000]",68.62,-2904.7047087713727
