epoch,gBest_fitness
1,-51.508919480471825
2,-64.66093386711873
3,-78.06079814825523
4,-85.79662862035495
5,-86.56660478097903
6,-86.56660478097903
7,-86.56660478097903
8,-88.2655657523303
9,-94.69861433024022
10,-98.14720439396982
11,-103.7383738314672
12,-115.36205922626147
13,-124.38199074304504
14,-134.90658779267844
15,-139.08905395549866
16,-141.70054702623335
17,-144.934331305056
18,-146.90256947467375
19,-150.34565804145225
20,-151.02704566597802
21,-152.14509983631842
22,-156.23121431849026
23,-159.6454775735384
24,-162.21121039073165
25,-162.2172134980905
26,-162.88295909477293
27,-163.1104807335558
28,-164.34533436853368
29,-164.34533436853368
30,-167.3489289905668
31,-168.8398030611396
32,-169.5612779116143
33,-170.30258113517607
34,-170.88277729387076
35,-170.88277729387076
36,-171.18675388175927
37,-171.18675388175927
38,-171.5420910411557
39,-172.88524845042923
40,-173.05839954205914
41,-173.75556340093573
42,-178.92525272914844
43,-180.0666468153092
44,-180.35341887366658
45,-181.76961688367166
46,-181.76961688367166
47,-182.178412093404
48,-182.31304464605986
49,-182.31304464605986
50,-183.60213081187732
51,-184.5465541494384
52,-184.5465541494384
53,-185.14718015221732
54,-185.34299576089535
55,-185.98002190904683
56,-186.77149654118583
57,-187.35627834369544
58,-187.35627834369544
59,-188.08907728960986
60,-188.45437174777095
61,-189.4099231882628
62,-189.56574748106763
63,-189.96898038345626
64,-190.5385025581334
65,-190.5385025581334
66,-191.6163316423284
67,-191.6934778730162
68,-192.22790687632173
69,-192.4394336725505
70,-192.58349215272202
71,-192.8190866143101
72,-192.94257270862502
73,-193.78483757087054
74,-194.1139364953515
75,-194.3079252788692
76,-194.3079252788692
77,-194.60875705624656
78,-194.80747232780817
79,-194.80747232780817
80,-195.1511093668111
81,-195.44649250764084
82,-195.44649250764084
83,-195.71697221415437
84,-195.71697221415437
85,-195.7267110980619
86,-195.74332408417507
87,-195.74332408417507
88,-195.85795868181356
89,-195.9388025911385
90,-195.9388025911385
91,-195.98108467758644
92,-195.98361194847786
93,-196.00218254179453
94,-196.06651776852647
95,-196.0928286870451
96,-196.0928286870451
97,-196.0968145768003
98,-196.14042385038596
99,-196.18112737512823
100,-196.18797338173044
101,-196.19956337339647
102,-196.2299028378508
103,-196.2361565250159
104,-196.2361565250159
105,-196.27700681420873
106,-196.30614405171897
107,-196.3374898882745
108,-196.33988197048322
109,-196.38128734977934
110,-196.39593596574676
111,-196.4176667513941
112,-196.43209161915775
113,-196.43936793602765
114,-196.4555749402996
115,-196.45922420413424
116,-196.46073495967275
117,-196.47005260994337
118,-196.47631514413413
119,-196.47632503881587
120,-196.4813631132001
121,-196.4822273126576
122,-196.48640580972983
123,-196.49276427652754
124,-196.49510000065519
125,-196.49512020925147
126,-196.49721428900025
127,-196.4983919508493
128,-196.4990818302061
129,-196.500224873954
130,-196.50387246998335
131,-196.5059976841506
132,-196.5064808554839
133,-196.50664205626077
134,-196.507521675493
135,-196.50772590183306
136,-196.5080384149206
137,-196.50814117086378
138,-196.50858230182416
139,-196.50883283943838
140,-196.50883283943838
141,-196.50897189390727
142,-196.5093076458943
143,-196.50942350767644
144,-196.50962296028325
145,-196.51115490843472
146,-196.5114773594498
147,-196.51171952712787
148,-196.51230593742545
149,-196.5124863604378
150,-196.51286327199438
