"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f21', 20, -10, 10, 100, 250, 25000]",6.48,4.508037544871586e-101
"['f21', 20, -10, 10, 100, 300, 30000]",7.48,2.9502289402405845e-107
"['f21', 20, -10, 10, 200, 150, 30000]",7.59,1.0373509851881214e-71
"['f21', 20, -100, 100, 100, 250, 25000]",6.46,3.069152736006158e-21
"['f21', 20, -100, 100, 100, 300, 30000]",7.68,5.73423534553732e-19
"['f21', 20, -100, 100, 200, 150, 30000]",7.32,1.5201015869293148e-22
"['f21', 30, -10, 10, 100, 250, 25000]",7.62,1.0227630240167446e-95
"['f21', 30, -10, 10, 100, 300, 30000]",9.29,3.1437374026728607e-109
"['f21', 30, -10, 10, 200, 150, 30000]",9.02,9.225580462327603e-77
"['f21', 30, -100, 100, 100, 250, 25000]",7.9,3.5815703774377275e-20
"['f21', 30, -100, 100, 100, 300, 30000]",9.41,4.719902711288296e-16
"['f21', 30, -100, 100, 200, 150, 30000]",9.54,8.70023642939453e-22
"['f21', 50, -10, 10, 100, 250, 25000]",11.03,2.4728241696126596e-104
"['f21', 50, -10, 10, 100, 300, 30000]",13.46,3.4088176889970574e-111
"['f21', 50, -10, 10, 200, 150, 30000]",13.3,4.776564627986855e-75
"['f21', 50, -100, 100, 100, 250, 25000]",12.26,5.807694491817195e-21
"['f21', 50, -100, 100, 100, 300, 30000]",14.27,1.7748515618879282e-20
"['f21', 50, -100, 100, 200, 150, 30000]",15.39,3.979157519746725e-21
"['f21', 100, -10, 10, 100, 250, 25000]",20.47,6.6435789291649945e-99
"['f21', 100, -10, 10, 100, 300, 30000]",24.58,2.357940091455682e-103
"['f21', 100, -10, 10, 200, 150, 30000]",25.23,6.1706674040578464e-71
"['f21', 100, -100, 100, 100, 250, 25000]",21.81,2.0154191786112954e-17
"['f21', 100, -100, 100, 100, 300, 30000]",25.63,7.643849144784293e-24
"['f21', 100, -100, 100, 200, 150, 30000]",25.86,5.0595162898108246e-24
