"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f4', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.29,7.105
"['f4', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",3.07,6.537
"['f4', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",2.35,4.141
"['f4', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",2.76,7.037
"['f4', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",2.39,6.473
"['f4', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",2.78,6.253
"['f4', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",2.49,5.024
"['f4', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",2.86,3.054
"['f4', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",2.77,4.725
"['f4', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",2.74,3.985
"['f4', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",2.74,3.288
"['f4', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",2.75,3.337
"['f4', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",2.33,27.598
"['f4', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",2.7,56.963
"['f4', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",2.36,53.493
"['f4', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",2.8,39.994
"['f4', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",2.43,47.701
"['f4', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",2.85,60.995
"['f4', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",2.32,48.343
"['f4', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",2.77,39.831
"['f4', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",2.74,20.076
"['f4', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",2.87,32.128
"['f4', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",2.82,50.219
"['f4', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",2.86,35.608
"['f4', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.82,6.63
"['f4', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",3.45,3.873
"['f4', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",3.0,6.144
"['f4', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",3.49,6.857
"['f4', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",2.89,6.658
"['f4', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",3.57,5.736
"['f4', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",2.95,6.562
"['f4', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",3.7,4.879
"['f4', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",3.4,4.439
"['f4', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",3.68,5.503
"['f4', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",3.59,4.071
"['f4', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",3.45,6.383
"['f4', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",2.83,75.573
"['f4', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",3.46,54.617
"['f4', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",2.86,51.344
"['f4', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",3.56,64.193
"['f4', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",2.95,70.041
"['f4', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",3.41,68.835
"['f4', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.02,59.107
"['f4', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",3.69,51.787
"['f4', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",3.81,44.856
"['f4', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",3.37,63.731
"['f4', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",3.52,38.943
"['f4', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",3.65,49.479
"['f4', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.02,7.294
"['f4', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.78,7.786
"['f4', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.04,7.396
"['f4', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",4.66,6.63
"['f4', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",3.85,6.247
"['f4', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.71,6.052
"['f4', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",3.88,7.48
"['f4', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",4.73,7.828
"['f4', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",4.69,6.045
"['f4', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.79,6.322
"['f4', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",4.94,6.728
"['f4', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",4.7,7.083
"['f4', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.07,86.14
"['f4', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.75,75.3
"['f4', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",4.05,75.003
"['f4', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",4.76,79.207
"['f4', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",4.41,79.18
"['f4', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",4.72,87.801
"['f4', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.86,65.512
"['f4', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",4.82,77.079
"['f4', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",4.79,71.594
"['f4', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.83,47.084
"['f4', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",4.98,59.98
"['f4', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",4.69,50.471
"['f4', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",6.7,9.202
"['f4', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.5,8.311
"['f4', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",6.52,8.818
"['f4', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",8.58,8.327
"['f4', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",6.59,8.987
"['f4', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",7.75,8.754
"['f4', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",6.54,8.606
"['f4', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",7.86,8.411
"['f4', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",8.15,8.038
"['f4', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",8.63,7.64
"['f4', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",8.43,8.456
"['f4', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",7.78,8.559
"['f4', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",6.85,90.12
"['f4', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",8.22,84.852
"['f4', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",6.84,88.734
"['f4', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",8.33,87.029
"['f4', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",7.33,80.762
"['f4', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",8.18,92.024
"['f4', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",6.63,81.116
"['f4', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",7.9,81.629
"['f4', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",8.3,86.289
"['f4', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",8.19,76.024
"['f4', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",8.02,78.499
"['f4', 100, -100, 100, 200, 0.5, 0.06, 150, 30000]",8.2,86.344
