epoch,gBest_fitness
1,1784.541
2,1784.567
3,1785.176
4,1782.91
5,1779.732
6,1779.732
7,1778.686
8,1771.513
9,1774.0
10,1771.277
11,1769.465
12,1767.56
13,1767.56
14,1764.134
15,1765.16
16,1764.752
17,1763.333
18,1761.467
19,1760.146
20,1759.323
21,1757.737
22,1755.936
23,1754.984
24,1754.494
25,1752.64
26,1751.192
27,1751.192
28,1750.247
29,1750.926
30,1749.466
31,1748.915
32,1749.062
33,1747.936
34,1746.594
35,1746.505
36,1746.505
37,1745.588
38,1745.783
39,1745.42
40,1744.956
41,1744.435
42,1744.061
43,1743.84
44,1743.84
45,1743.84
46,1743.373
47,1743.226
48,1742.961
49,1742.137
50,1742.916
51,1742.548
52,1742.329
53,1742.232
54,1742.117
55,1742.012
56,1741.838
57,1741.838
58,1741.703
59,1741.669
60,1741.641
61,1741.474
62,1741.331
63,1741.35
64,1741.172
65,1741.155
66,1741.155
67,1741.087
68,1740.87
69,1740.86
70,1740.824
71,1740.824
72,1740.766
73,1740.725
74,1740.683
75,1740.725
76,1740.679
77,1740.621
78,1740.657
79,1740.621
80,1740.621
81,1740.621
82,1740.621
83,1740.621
84,1740.621
85,1740.621
86,1740.621
87,1740.621
88,1740.621
89,1740.621
90,1740.621
91,1740.621
92,1740.621
93,1740.621
94,1740.621
95,1740.621
96,1740.621
97,1740.621
98,1740.621
99,1740.621
100,1740.621
101,1740.621
102,1740.621
103,1740.621
104,1740.621
105,1740.621
106,1740.621
107,1740.621
108,1740.621
109,1740.621
110,1740.621
111,1740.621
112,1740.621
113,1740.621
114,1740.621
115,1740.621
116,1740.621
117,1740.621
118,1740.621
119,1740.621
120,1740.621
121,1740.621
122,1740.621
123,1740.621
124,1740.621
125,1740.621
126,1740.621
127,1740.621
128,1740.621
129,1740.621
130,1740.621
131,1740.621
132,1740.621
133,1740.621
134,1740.621
135,1740.621
136,1740.621
137,1740.621
138,1740.621
139,1740.621
140,1740.621
141,1740.621
142,1740.621
143,1740.621
144,1740.621
145,1740.621
146,1740.621
147,1740.621
148,1740.621
149,1740.621
150,1740.621
