"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f5', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.68,314.736
"['f5', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.62,1019.667
"['f5', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.81,899.867
"['f5', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",6.0,578.446
"['f5', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",5.16,410.88
"['f5', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",5.93,396.695
"['f5', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",4.97,177.623
"['f5', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",5.78,125.096
"['f5', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",5.84,137.988
"['f5', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",6.01,103.517
"['f5', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",5.84,7.657
"['f5', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",5.89,137.165
"['f5', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.86,17886447.306
"['f5', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",6.02,353896.273
"['f5', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",4.84,24090.305
"['f5', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",5.77,11218.946
"['f5', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",4.84,189732.846
"['f5', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",5.69,85449.931
"['f5', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",4.74,2108.491
"['f5', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",5.82,240314.122
"['f5', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",5.53,346.669
"['f5', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",5.91,668.805
"['f5', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.87,15583.424
"['f5', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",6.45,93383.932
"['f5', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",6.66,1775.77
"['f5', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",8.34,111.44
"['f5', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",6.77,556.268
"['f5', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",8.5,158.054
"['f5', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",6.79,255.721
"['f5', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",8.43,564.76
"['f5', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",7.06,280.541
"['f5', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",8.23,485.704
"['f5', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",8.21,110.556
"['f5', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",8.38,225.82
"['f5', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",8.33,106.163
"['f5', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",8.14,148.162
"['f5', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",7.2,3467.935
"['f5', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",8.83,18616.337
"['f5', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",6.96,946750.802
"['f5', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",8.17,428822.493
"['f5', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",6.77,4512.807
"['f5', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",8.26,985840.378
"['f5', 30, -100, 100, 100, 0.5, 0.06, 250, 25000]",6.79,34796.551
"['f5', 30, -100, 100, 100, 0.5, 0.06, 300, 30000]",8.42,1642949.815
"['f5', 30, -100, 100, 200, 0.4, 0.05, 150, 30000]",8.3,1513286.947
"['f5', 30, -100, 100, 200, 0.4, 0.06, 150, 30000]",8.34,30846.237
"['f5', 30, -100, 100, 200, 0.5, 0.05, 150, 30000]",8.05,14627.501
"['f5', 30, -100, 100, 200, 0.5, 0.06, 150, 30000]",8.8,15149.093
"['f5', 50, -10, 10, 100, 0.4, 0.05, 250, 25000]",11.21,850.429
"['f5', 50, -10, 10, 100, 0.4, 0.05, 300, 30000]",12.97,537.152
"['f5', 50, -10, 10, 100, 0.4, 0.06, 250, 25000]",10.71,92.942
"['f5', 50, -10, 10, 100, 0.4, 0.06, 300, 30000]",13.07,578.981
"['f5', 50, -10, 10, 100, 0.5, 0.05, 250, 25000]",10.71,386.393
"['f5', 50, -10, 10, 100, 0.5, 0.05, 300, 30000]",13.37,1096.091
"['f5', 50, -10, 10, 100, 0.5, 0.06, 250, 25000]",10.98,355.822
"['f5', 50, -10, 10, 100, 0.5, 0.06, 300, 30000]",13.28,483.247
"['f5', 50, -10, 10, 200, 0.4, 0.05, 150, 30000]",13.17,312.556
"['f5', 50, -10, 10, 200, 0.4, 0.06, 150, 30000]",13.25,239.089
"['f5', 50, -10, 10, 200, 0.5, 0.05, 150, 30000]",12.86,322.221
"['f5', 50, -10, 10, 200, 0.5, 0.06, 150, 30000]",13.3,394.198
"['f5', 50, -100, 100, 100, 0.4, 0.05, 250, 25000]",11.77,44087553.754
"['f5', 50, -100, 100, 100, 0.4, 0.05, 300, 30000]",12.97,46368654.676
"['f5', 50, -100, 100, 100, 0.4, 0.06, 250, 25000]",10.66,425485.911
"['f5', 50, -100, 100, 100, 0.4, 0.06, 300, 30000]",13.1,7010.276
"['f5', 50, -100, 100, 100, 0.5, 0.05, 250, 25000]",10.99,39074.023
"['f5', 50, -100, 100, 100, 0.5, 0.05, 300, 30000]",12.92,4213684.775
"['f5', 50, -100, 100, 100, 0.5, 0.06, 250, 25000]",10.68,7028128.541
"['f5', 50, -100, 100, 100, 0.5, 0.06, 300, 30000]",12.63,82991.171
"['f5', 50, -100, 100, 200, 0.4, 0.05, 150, 30000]",13.49,6044.861
"['f5', 50, -100, 100, 200, 0.4, 0.06, 150, 30000]",12.97,1406091.007
"['f5', 50, -100, 100, 200, 0.5, 0.05, 150, 30000]",13.04,16671.554
"['f5', 50, -100, 100, 200, 0.5, 0.06, 150, 30000]",13.65,21159.395
"['f5', 100, -10, 10, 100, 0.4, 0.05, 250, 25000]",20.89,2265.035
"['f5', 100, -10, 10, 100, 0.4, 0.05, 300, 30000]",24.96,1123.139
"['f5', 100, -10, 10, 100, 0.4, 0.06, 250, 25000]",20.93,13641.553
"['f5', 100, -10, 10, 100, 0.4, 0.06, 300, 30000]",24.91,500.771
"['f5', 100, -10, 10, 100, 0.5, 0.05, 250, 25000]",21.46,948.265
"['f5', 100, -10, 10, 100, 0.5, 0.05, 300, 30000]",25.37,5355.783
"['f5', 100, -10, 10, 100, 0.5, 0.06, 250, 25000]",20.64,628.36
"['f5', 100, -10, 10, 100, 0.5, 0.06, 300, 30000]",25.55,11655.187
"['f5', 100, -10, 10, 200, 0.4, 0.05, 150, 30000]",26.06,1577.365
"['f5', 100, -10, 10, 200, 0.4, 0.06, 150, 30000]",25.77,2544.826
"['f5', 100, -10, 10, 200, 0.5, 0.05, 150, 30000]",25.83,3111.295
"['f5', 100, -10, 10, 200, 0.5, 0.06, 150, 30000]",26.7,4919.1
"['f5', 100, -100, 100, 100, 0.4, 0.05, 250, 25000]",21.51,4124559.211
"['f5', 100, -100, 100, 100, 0.4, 0.05, 300, 30000]",25.89,133884.577
"['f5', 100, -100, 100, 100, 0.4, 0.06, 250, 25000]",21.19,2159972.026
"['f5', 100, -100, 100, 100, 0.4, 0.06, 300, 30000]",25.12,987563.451
"['f5', 100, -100, 100, 100, 0.5, 0.05, 250, 25000]",21.48,8052624.035
"['f5', 100, -100, 100, 100, 0.5, 0.05, 300, 30000]",25.57,1005143.462
"['f5', 100, -100, 100, 100, 0.5, 0.06, 250, 25000]",21.19,512151.32
"['f5', 100, -100, 100, 100, 0.5, 0.06, 300, 30000]",25.12,56053.277
"['f5', 100, -100, 100, 200, 0.4, 0.05, 150, 30000]",25.55,758948.799
"['f5', 100, -100, 100, 200, 0.4, 0.06, 150, 30000]",26.48,2675028.6
"['f5', 100, -100, 100, 200, 0.5, 0.05, 150, 30000]",25.98,2232524.677
