"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f25', 20, -10, 10, 100, 250, 25000]",5.82,-1.2601158243286168
"['f25', 20, -10, 10, 100, 300, 30000]",7.33,-1.2601576731624182
"['f25', 20, -10, 10, 200, 150, 30000]",6.82,-1.260201104041403
"['f25', 20, -100, 100, 100, 250, 25000]",6.24,-1.2601771668048727
"['f25', 20, -100, 100, 100, 300, 30000]",7.08,-1.2601993328657666
"['f25', 20, -100, 100, 200, 150, 30000]",7.24,-1.2602435603803022
"['f25', 30, -10, 10, 100, 250, 25000]",6.98,-1.8897948727075373
"['f25', 30, -10, 10, 100, 300, 30000]",8.24,-1.8902110162107362
"['f25', 30, -10, 10, 200, 150, 30000]",7.83,-1.8903648247075764
"['f25', 30, -100, 100, 100, 250, 25000]",7.02,-1.8902957829098257
"['f25', 30, -100, 100, 100, 300, 30000]",8.77,-1.890010820319851
"['f25', 30, -100, 100, 200, 150, 30000]",8.81,-1.890323847709506
"['f25', 50, -10, 10, 100, 250, 25000]",9.1,-3.1506097655022587
"['f25', 50, -10, 10, 100, 300, 30000]",11.36,-3.1503634730286505
"['f25', 50, -10, 10, 200, 150, 30000]",10.99,-3.150588893722847
"['f25', 50, -100, 100, 100, 250, 25000]",10.19,-3.1505813798966336
"['f25', 50, -100, 100, 100, 300, 30000]",11.56,-3.150593645488285
"['f25', 50, -100, 100, 200, 150, 30000]",11.55,-3.1503282531249335
"['f25', 100, -10, 10, 100, 250, 25000]",16.02,-6.2997675692830715
"['f25', 100, -10, 10, 100, 300, 30000]",19.16,-6.299963982515685
"['f25', 100, -10, 10, 200, 150, 30000]",18.46,-6.300934601629446
"['f25', 100, -100, 100, 100, 250, 25000]",17.58,-6.300938573572943
"['f25', 100, -100, 100, 100, 300, 30000]",20.23,-6.300747517818117
"['f25', 100, -100, 100, 200, 150, 30000]",21.75,-6.300904361518175
