"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f9', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.61,0.0
"['f9', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.1,0.0
"['f9', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.48,0.0
"['f9', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.2,0.0
"['f9', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.16,0.0
"['f9', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",3.55,0.0
"['f9', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.31,0.0
"['f9', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.62,0.0
"['f9', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.22,0.0
"['f9', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.21,0.0
"['f9', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.01,0.0
"['f9', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.84,0.0
"['f9', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",3.99,0.0
"['f9', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.88,0.0
"['f9', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.68,0.0
"['f9', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.14,0.0
"['f9', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",4.79,0.0
"['f9', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.0,0.0
"['f9', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",4.76,0.0
"['f9', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",4.8,0.0
"['f9', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.28,0.0
"['f9', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.93,0.0
"['f9', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.91,0.0
"['f9', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.0,0.0
"['f9', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.01,0.0
"['f9', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.05,0.0
"['f9', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.93,0.0
"['f9', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.02,0.0
"['f9', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",6.03,0.0
"['f9', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",5.94,0.0
"['f9', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",7.32,0.0
"['f9', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.19,0.0
"['f9', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.31,0.0
"['f9', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",8.85,0.0
"['f9', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",8.86,0.0
"['f9', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",7.7,0.0
"['f9', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",8.92,0.0
"['f9', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.68,0.0
"['f9', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",9.04,0.0
"['f9', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.02,0.0
