"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.67,152.83
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.64,71.116
"['f7', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",5.05,1.429
"['f7', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",5.53,4.478
"['f7', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4.57,4.948
"['f7', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",5.55,48.627
"['f7', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",4.64,7.827
"['f7', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",5.29,0.186
"['f7', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",5.6,1.596
"['f7', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",5.49,2.692
"['f7', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",5.43,7.245
"['f7', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",5.69,0.222
"['f7', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.66,8028.361
"['f7', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",5.33,3784.134
"['f7', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",4.94,8386.655
"['f7', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",5.4,12797.194
"['f7', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",4.39,112867.437
"['f7', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",5.54,265115.932
"['f7', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",4.32,100667.702
"['f7', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",5.28,28709.95
"['f7', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",5.48,385956.06
"['f7', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",5.78,118239.469
"['f7', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",5.53,434636.955
"['f7', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",5.69,7781.992
"['f7', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",6.3,2.089
"['f7', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",7.24,12.559
"['f7', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",5.99,11.632
"['f7', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",7.02,11.167
"['f7', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",5.74,3.489
"['f7', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",6.85,1571.939
"['f7', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",5.71,0.101
"['f7', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",7.07,705.008
"['f7', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",6.69,1.112
"['f7', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",7.42,6.164
"['f7', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",6.94,1.054
"['f7', 30, -10, 10, 200, 0.5, 0.06, 150, 30000]",6.99,0.05
"['f7', 30, -100, 100, 100, 0.4, 0.05, 250, 25000]",5.77,1166455.68
"['f7', 30, -100, 100, 100, 0.4, 0.05, 300, 30000]",7.22,540277.654
"['f7', 30, -100, 100, 100, 0.4, 0.06, 250, 25000]",6.69,688224.432
"['f7', 30, -100, 100, 100, 0.4, 0.06, 300, 30000]",6.78,1792761.053
"['f7', 30, -100, 100, 100, 0.5, 0.05, 250, 25000]",5.9,284657.705
"['f7', 30, -100, 100, 100, 0.5, 0.05, 300, 30000]",6.82,187505.799
