"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",gBest_fitness,total_time
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",2.028,4.717259000026388
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.748,4.931508000008762
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",0.378,4.534708999999566
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",26.0,4.4900090000010096
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",161.16,4.761976999987382
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1.186,4.587648999993689
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",345.999,4.924650999979349
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",97.465,4.79012399999192
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",0.166,4.638575999997556
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",73.467,4.656895000021905
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",9.379,4.4528169999830425
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",5.171,4.714777999994112
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.244,4.8556879999814555
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1.499,4.5939739999885205
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",0.681,4.479789999983041
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",3.385,4.353002999996534
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",1.714,4.416655999986688
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",91.202,4.764603999996325
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",21.469,4.453003999980865
"['f7', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",28.059,4.746331000002101
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",17.471,5.532958999974653
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",443.534,5.7162289999832865
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",0.092,5.403155999985756
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",0.286,5.850506000017049
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",0.105,5.906912999984343
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",1.356,5.609037999995053
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",1.904,5.5868309999932535
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",24.712,5.38646599999629
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",50.088,5.452469999989262
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",80.506,5.4723030000168364
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",6.843,5.338733999989927
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",10.637,5.36914599998272
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.156,5.445165000011912
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",7.181,5.3238470000214875
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",1.021,5.66392699998687
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",47.805,5.820467000012286
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",12.101,5.4880039999843575
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",250.714,5.441079999989597
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",0.065,5.375503999995999
"['f7', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",14.477,5.555928999994649
"['f7', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",24.199,4.618415000004461
"['f7', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",0.705,4.576376999990316
"['f7', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.07,4.7078029999975115
"['f7', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",46.472,4.888216999999713
