"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f9', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.02,31841.055
"['f9', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",4.68,370.948
"['f9', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",4.1,249413.37
"['f9', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",4.89,10287.253
"['f9', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",4.06,24041.516
"['f9', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",4.86,9426.864
"['f9', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",3.94,398.275
"['f9', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",4.9,6368.077
"['f9', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",4.82,0.108
"['f9', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",4.88,1407.553
"['f9', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",4.95,2280.327
"['f9', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",4.7,13672.176
"['f9', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",4.15,3455679.988
"['f9', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",4.82,40735805.679
"['f9', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",4.16,2595688.994
"['f9', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",4.57,5463207.398
"['f9', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",3.89,37680790.417
"['f9', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",4.78,671467.86
"['f9', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",3.75,577747534.737
"['f9', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",4.84,128604.824
"['f9', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",4.47,16591242.871
"['f9', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",4.96,462188.797
"['f9', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",4.42,156795.009
"['f9', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",4.73,12329226.202
"['f9', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",4.93,1.484
"['f9', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",5.75,1706.489
