"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f11', 20, -10, 10, 100, 250, 25000]",3.16,8.822036583173777e-180
"['f11', 20, -10, 10, 100, 300, 30000]",4.1,1.0938738207505783e-219
"['f11', 20, -10, 10, 200, 150, 30000]",3.94,9.546433874901536e-147
"['f11', 20, -100, 100, 100, 250, 25000]",3.87,105276125676.48071
"['f11', 20, -100, 100, 100, 300, 30000]",4.1,1.794239114759881e-32
"['f11', 20, -100, 100, 200, 150, 30000]",4.12,7.463901794974777e-33
"['f11', 30, -10, 10, 100, 250, 25000]",3.68,1.7547216001217013e-180
"['f11', 30, -10, 10, 100, 300, 30000]",4.53,3.336415073573255e-207
"['f11', 30, -10, 10, 200, 150, 30000]",4.54,2.172750444435458e-137
"['f11', 30, -100, 100, 100, 250, 25000]",4.57,3.093791804679727e-30
"['f11', 30, -100, 100, 100, 300, 30000]",5.09,5.205991762608269e-27
"['f11', 30, -100, 100, 200, 150, 30000]",4.96,1.4163473679545514e-16
"['f11', 50, -10, 10, 100, 250, 25000]",4.93,1.1596415836975827e-194
"['f11', 50, -10, 10, 100, 300, 30000]",5.84,2.9006315083638227e-204
"['f11', 50, -10, 10, 200, 150, 30000]",5.67,2.651667217306787e-134
"['f11', 50, -100, 100, 100, 250, 25000]",5.54,3.727379357830598e-34
"['f11', 50, -100, 100, 100, 300, 30000]",7.21,150633034072.25687
"['f11', 50, -100, 100, 200, 150, 30000]",6.43,5.206913819942734e-37
"['f11', 100, -10, 10, 100, 250, 25000]",7.2,9.138438998280841e-191
"['f11', 100, -10, 10, 100, 300, 30000]",8.62,4.646025504533091e-205
"['f11', 100, -10, 10, 200, 150, 30000]",8.46,4.045905781252144e-146
"['f11', 100, -100, 100, 100, 250, 25000]",9.75,2.3340252395315884e-15
"['f11', 100, -100, 100, 100, 300, 30000]",10.42,2.8097283410794393e-27
"['f11', 100, -100, 100, 200, 150, 30000]",11.16,2.8617584568830215e-27
