"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f23', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.72,-78.23576836307524
"['f23', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.83,-78.24019473745034
"['f23', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.78,-78.02193700537202
"['f23', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.85,-78.24071399077542
"['f23', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.04,-76.41007960326297
"['f23', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",4.93,-78.18239774699065
"['f23', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",5.89,-78.25347614921128
"['f23', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",4.88,-77.95252598169348
"['f23', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",5.88,-78.25887085658745
"['f23', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",6.04,-78.21787080383781
"['f23', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",5.7,-76.83002067178188
"['f23', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",7.14,-78.049726055943
"['f23', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.87,-78.29869877644886
"['f23', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",7.17,-78.23745785641381
"['f23', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",7.15,-78.22342105591312
"['f23', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",6.25,-78.00963166548942
"['f23', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",7.37,-78.21590518070076
"['f23', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",5.95,-78.31107877395397
"['f23', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",7.69,-78.03032306800466
"['f23', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",7.3,-78.29631891232458
"['f23', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",8.17,-73.26357802609674
"['f23', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",9.92,-78.12633869203718
"['f23', 50, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",7.93,-74.96405198459965
"['f23', 50, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",9.87,-77.92764786588435
"['f23', 50, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",9.85,-76.12866100126615
"['f23', 50, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",8.33,-76.72856857434098
"['f23', 50, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",10.3,-78.24728939371816
"['f23', 50, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",8.19,-78.22294237131416
"['f23', 50, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",10.4,-78.1940210042732
"['f23', 50, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",10.37,-78.30314549182505
"['f23', 100, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",13.17,-77.16119964070774
"['f23', 100, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",16.71,-76.9885939905128
"['f23', 100, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",13.32,-77.52319481245001
"['f23', 100, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",16.94,-75.34044917454845
"['f23', 100, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",16.83,-76.61556607668435
"['f23', 100, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",13.81,-78.19999765250013
"['f23', 100, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",17.56,-78.25887151299963
"['f23', 100, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",13.94,-78.31906368297447
"['f23', 100, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",17.17,-76.73364694629264
"['f23', 100, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",17.62,-77.78042364939404
