"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f13', 20, -10, 10, 100, 250, 25000]",4.83,4.7149137272658454e-194
"['f13', 20, -10, 10, 100, 300, 30000]",5.82,6.278358933490899e-219
"['f13', 20, -10, 10, 200, 150, 30000]",5.49,6.9458009242591e-137
"['f13', 20, -100, 100, 100, 250, 25000]",5.2,1.0423806800238348e-38
"['f13', 20, -100, 100, 100, 300, 30000]",6.0,2.9691090820252353e-37
"['f13', 20, -100, 100, 200, 150, 30000]",5.92,2.873297633743531e-40
"['f13', 30, -10, 10, 100, 250, 25000]",5.74,1.850840858661601e-186
"['f13', 30, -10, 10, 100, 300, 30000]",6.47,3.6235094651882334e-199
"['f13', 30, -10, 10, 200, 150, 30000]",6.38,3.891502565458324e-145
"['f13', 30, -100, 100, 100, 250, 25000]",6.38,3.072027043394749e-47
"['f13', 30, -100, 100, 100, 300, 30000]",7.1,7.655532534638615e-34
"['f13', 30, -100, 100, 200, 150, 30000]",7.06,1.1410287024691814e-37
"['f13', 50, -10, 10, 100, 250, 25000]",7.22,6.516719363119154e-188
"['f13', 50, -10, 10, 100, 300, 30000]",8.49,5.899926489394473e-212
"['f13', 50, -10, 10, 200, 150, 30000]",8.54,7.53451197948282e-145
"['f13', 50, -100, 100, 100, 250, 25000]",7.91,2.9220974123675307e-44
"['f13', 50, -100, 100, 100, 300, 30000]",9.39,3.664617914966076e-41
"['f13', 50, -100, 100, 200, 150, 30000]",8.82,2.9061301493262086e-43
"['f13', 100, -10, 10, 100, 250, 25000]",10.98,5.172047974464339e-188
"['f13', 100, -10, 10, 100, 300, 30000]",13.63,6.342293201897902e-215
"['f13', 100, -10, 10, 200, 150, 30000]",13.42,1.1677965038018616e-160
"['f13', 100, -100, 100, 100, 250, 25000]",11.93,4.96272451181873e-44
"['f13', 100, -100, 100, 100, 300, 30000]",14.46,1.4574492229366664e-42
"['f13', 100, -100, 100, 200, 150, 30000]",14.72,3.266984997608844e-33
