"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,8.081277556846857
2,3.9817323672704577
3,1.8558450612412993
4,0.7953005955060855
5,0.5440806446370257
6,0.2892987091699136
7,0.18020937481261995
8,0.11850651181354357
9,0.06890345743908807
10,0.04380478960599807
11,0.024660944473763987
12,0.010933903559977164
13,0.007810366863782367
14,0.004772689347051745
15,0.0030413027961432803
16,0.002014696225639406
17,0.0011614306371420698
18,0.0009068350794178272
19,0.0005741145688257555
20,0.0003018405448008963
21,0.00021087117644920215
22,0.00012211104632808598
23,9.504706593048924e-05
24,6.888997586732195e-05
25,5.0514423507414926e-05
26,3.4015203916336974e-05
27,2.076787701390311e-05
28,1.4837615673448018e-05
29,1.1025399058961098e-05
30,7.317344154596816e-06
31,6.022416871463916e-06
32,3.454928316191749e-06
33,2.400290615592481e-06
34,1.5990825701950272e-06
35,1.0435393661577778e-06
36,6.008369345937944e-07
37,4.490427386754081e-07
38,3.177743377638645e-07
39,2.605785088993686e-07
40,2.1364973036717993e-07
41,1.7592031758933523e-07
42,1.358519696529153e-07
43,1.1938217852131057e-07
44,7.955862535968483e-08
45,6.044671254454253e-08
46,5.240978537063644e-08
47,4.111582815938048e-08
48,3.2369608677482804e-08
49,3.027346461288771e-08
50,2.4371469095762932e-08
51,2.0046052259447402e-08
52,1.5123698507249466e-08
53,1.036520792084399e-08
54,7.606795706452192e-09
55,7.0109278337125474e-09
56,5.523241025180058e-09
57,4.286481003236659e-09
58,3.539609330830809e-09
59,2.9816680500460482e-09
60,2.6404018061524824e-09
61,2.2262100202347505e-09
62,1.84998184256194e-09
63,1.3104911298475543e-09
64,1.1874521771908548e-09
65,1.0421411273162555e-09
66,8.668851389138392e-10
67,7.850409889555732e-10
68,6.89363146031778e-10
69,6.203570867339376e-10
70,5.99861726196201e-10
71,5.655566714720857e-10
72,5.146383556097114e-10
73,4.2365708601643086e-10
74,3.358110721940876e-10
75,3.0157077286860533e-10
76,2.575306773791557e-10
77,2.0260079749521061e-10
78,1.8568021930110442e-10
79,1.5437560625533998e-10
80,1.418931429558904e-10
81,1.295134637077444e-10
82,1.1121115238004458e-10
83,9.750455464290861e-11
84,8.530591678590826e-11
85,7.36731851359942e-11
86,6.34999560797268e-11
87,5.282001995864975e-11
88,4.803722588037026e-11
89,4.4642778360763995e-11
90,3.8865881310501944e-11
91,3.7871623417043256e-11
92,3.5475484420590245e-11
93,3.4673705883184095e-11
94,3.1395345928493504e-11
95,2.6398848626577686e-11
96,2.1039606827741995e-11
97,2.079654059775281e-11
98,1.8677447637987947e-11
99,1.6713587261859797e-11
100,1.5509288184940646e-11
