"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,12.10046935139136
2,4.54958268046118
3,2.4347202598027495
4,1.252968205068608
5,0.7624273615813303
6,0.5446558762033998
7,0.4294398039402818
8,0.24395578101116447
9,0.19321675876817287
10,0.12234895615207549
11,0.07728740797388521
12,0.059931651481270935
13,0.03992476256897929
14,0.025741610820168494
15,0.020734714356122418
16,0.014429850391633315
17,0.012004386954569119
18,0.009782076754353065
19,0.008556250944860252
20,0.0065376134970775495
21,0.006016934951883999
22,0.0054765285865191506
23,0.004559703433698469
24,0.0038423074868514165
25,0.003022050023874653
26,0.0024983384532329808
27,0.0019472384089684164
28,0.001703099447960762
29,0.0016073595169228602
30,0.001216087584820625
31,0.0010291287396111035
32,0.000793976919049303
33,0.0006182758075912422
34,0.0005148253255288649
35,0.00045993655538857837
36,0.0003919340104627402
37,0.00033891881417457364
38,0.00026928710090041687
39,0.0002160336031307876
40,0.00016770734281996096
41,0.00012911853334144792
42,9.767786682466398e-05
43,8.561072581253251e-05
44,6.206529448552209e-05
45,5.440381617535908e-05
46,4.57968590218065e-05
47,3.5396370360604636e-05
48,3.0141439149373975e-05
49,1.9012417046874415e-05
50,1.3734271125994937e-05
51,1.097651745893307e-05
52,8.938694604671075e-06
53,7.5234616747942515e-06
54,6.0712273774635025e-06
55,5.033657824748108e-06
56,3.968869616897114e-06
57,3.5043963841416466e-06
58,3.022580290062198e-06
59,2.746729122047619e-06
60,2.1799550768806055e-06
61,1.831127309136945e-06
62,1.5838754949250716e-06
63,1.3441566977716878e-06
64,1.2601220419059947e-06
65,9.109603131669869e-07
66,6.813266339635422e-07
67,5.468633046566614e-07
68,4.945751796007273e-07
69,4.553224338269075e-07
70,3.9060882683524935e-07
71,3.1101652871894954e-07
72,2.595189544819018e-07
73,1.8584677167471812e-07
74,1.6316259606164656e-07
75,1.5486675780894738e-07
76,1.4411335350330044e-07
77,1.2781303792159039e-07
78,1.1411845453486755e-07
79,1.016038984816324e-07
80,9.441498954403215e-08
81,8.107043521080944e-08
82,7.23771064963636e-08
83,6.587480253016464e-08
84,5.593703198718234e-08
85,4.9076002185167116e-08
86,4.272388901290327e-08
87,3.9436561864318395e-08
88,3.441967312554485e-08
89,3.012388835766454e-08
90,2.6953496013028382e-08
91,2.3293603751460482e-08
92,2.1209417846040187e-08
93,1.9338405851231515e-08
94,1.7294659630686833e-08
95,1.5910927439671893e-08
96,1.3506095816991942e-08
97,1.0708056681710708e-08
98,9.806281863752412e-09
99,8.725011228462508e-09
100,7.62729143805703e-09
