"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,7.784679738735647
2,2.090898422222971
3,1.1895070088035922
4,0.48748375790139903
5,0.34395472159848234
6,0.2387893917126274
7,0.19352607382575795
8,0.1548276192739872
9,0.11360800623534799
10,0.08886574624041056
11,0.07607517383129934
12,0.06204618623244244
13,0.044974034436220646
14,0.04017308767745068
15,0.02909482571956854
16,0.021683594753833264
17,0.01651041088741255
18,0.01372735340974666
19,0.010146653179899628
20,0.008043804595712955
