"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,9.0868950662842
2,4.083573157800876
3,1.839705972213165
4,1.1500636052773683
5,0.8540773517562428
6,0.637814587923479
7,0.46868319034935935
8,0.2761556905343745
9,0.17919669008504935
10,0.12881985650978509
11,0.08582846353051607
12,0.06122175612710804
13,0.03773166236284021
14,0.027469023607854127
15,0.018837267026215087
16,0.013132685309576413
17,0.008463528474812326
18,0.0064916387413509625
19,0.005321428037565311
20,0.0036587949548814386
21,0.003099135797900018
22,0.0026941200216464654
23,0.002173593979993724
24,0.0015251322848568243
25,0.0011344215927967345
26,0.0009156126273550594
27,0.0007713691992431235
28,0.0006444412228314441
29,0.0005415335540477058
30,0.0004682219506107194
31,0.0003090034285914621
32,0.00023207194046173722
33,0.0001845109413567074
34,0.00013719086064473233
35,0.00010093750708547551
36,7.360153990196091e-05
37,6.532224869677338e-05
38,5.817444166676308e-05
39,5.1269590778999255e-05
40,4.8259598061778005e-05
41,4.23329935955076e-05
42,3.6608992887932346e-05
43,2.9830198733715306e-05
44,2.497300761772847e-05
45,1.82166467842283e-05
46,1.27799318433022e-05
47,9.647634349721437e-06
48,8.43001229493202e-06
49,7.38250222989095e-06
50,6.104172217968737e-06
51,4.336532941315795e-06
52,3.563775996911157e-06
53,2.890695342886913e-06
54,2.4223770701161383e-06
55,2.0065518738451633e-06
56,1.5995659161919164e-06
57,1.2136162355199751e-06
58,9.354946649594483e-07
59,7.185411613215997e-07
60,6.652764217473928e-07
61,4.903869150167378e-07
62,3.8903226399287634e-07
63,3.1964562477630267e-07
64,2.9046996342537084e-07
65,2.690422627537417e-07
66,2.347853530131152e-07
67,2.0619882778472823e-07
68,1.5740416555773863e-07
69,1.4982227597114738e-07
70,1.277315246679403e-07
71,1.0918379051131353e-07
72,9.491506832283243e-08
73,7.668935879368847e-08
74,6.932249084082399e-08
75,5.577213228733995e-08
76,5.1114335137434154e-08
77,4.499209739047518e-08
78,3.703343412157908e-08
79,3.351003405759894e-08
80,2.8197661444017364e-08
81,2.4628411768296972e-08
82,2.2775669106962694e-08
83,2.1824402609867398e-08
84,2.116393122173069e-08
85,1.641977199761676e-08
86,1.2839242113182587e-08
87,1.0441934737322286e-08
88,9.895235888560596e-09
89,8.12969911662663e-09
90,6.562179306464591e-09
91,5.002138294500289e-09
92,4.155574346659869e-09
93,3.726611626638176e-09
94,3.533990227395228e-09
95,3.4159689588081474e-09
96,2.936983695371989e-09
97,2.5236540166150357e-09
98,2.069812431426846e-09
99,1.7663193097801503e-09
100,1.6084968771738497e-09
