"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,4.261491014192421
2,0.7268692132037191
3,0.35751685095019076
4,0.17720339347530015
5,0.10701755092109509
6,0.08274073689329704
7,0.04830946566415632
8,0.033533520946338255
9,0.023847359680324507
10,0.01536395754610464
11,0.009920178639267764
12,0.006911747179002274
13,0.005296261340483222
14,0.003871803895792997
15,0.002762207660128024
16,0.0019215573297174718
17,0.0014839300880964384
18,0.0012648191243280484
19,0.0009252533654908655
20,0.0005994829740597235
