"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,6.329132949788987
2,1.940149199203939
3,0.779786984543523
4,0.38632640160136944
5,0.24803983585291817
6,0.17183921901877225
7,0.11421187417487208
8,0.07012604056241417
9,0.04392495879929237
10,0.030384018090720118
11,0.02157419647753388
12,0.016403597428363156
13,0.011490527126781759
14,0.010022168378224124
15,0.00878409803829727
16,0.006092625399709783
17,0.003666825196452941
18,0.00238460352833944
19,0.0018582598020129904
20,0.0014530807972971305
21,0.0011640064941061527
22,0.0008620278185291514
23,0.0006038640807095075
24,0.0003996737082613003
25,0.0003303180166723607
26,0.0002872978841637734
27,0.0002482638653107576
28,0.00019393983752043613
29,0.00016222949382073128
30,0.00012933947092308247
31,0.00010766125301184642
32,8.36048944377288e-05
33,5.956005205396399e-05
34,4.391401956605536e-05
35,3.587257140969911e-05
36,2.875118998343763e-05
37,2.5749107113994825e-05
38,1.8197445603213473e-05
39,1.3528520289593647e-05
40,1.147711980656728e-05
41,8.361298979505253e-06
42,7.109283584631246e-06
43,5.8864370981367075e-06
44,5.077597124180218e-06
45,3.972384872302397e-06
46,3.1103987185123263e-06
47,2.5438150716482756e-06
48,2.1618299118443364e-06
49,1.860114478510394e-06
50,1.291259702747635e-06
51,8.170787178528495e-07
52,5.731412414903224e-07
53,4.458716946515732e-07
54,3.649906053090983e-07
55,2.9508767887336733e-07
56,2.393663994729518e-07
57,1.7673376488980426e-07
58,1.129782625916808e-07
59,7.50440449126246e-08
60,5.420555316571598e-08
61,4.3715620134139834e-08
62,3.544350390305727e-08
63,3.0608887499712216e-08
64,2.7815441390770338e-08
65,2.0355938968419757e-08
66,1.479931343792963e-08
67,1.1261725539130959e-08
68,9.381262965020748e-09
69,7.147568640897194e-09
70,5.8361035410788604e-09
71,3.902846173882602e-09
72,3.6199026549133423e-09
73,2.541230894970554e-09
74,2.194275402957806e-09
75,1.708916441745133e-09
76,1.479591117258261e-09
77,1.3041296018846458e-09
78,1.0024677425923723e-09
79,7.596431163969053e-10
80,5.887914108862386e-10
81,4.37479845105903e-10
82,3.6007992925405887e-10
83,2.4895793913453143e-10
84,1.7214322183086354e-10
85,1.235304572313168e-10
86,9.202797386215398e-11
87,7.135735173566456e-11
88,4.623630795540313e-11
89,3.366397335041695e-11
90,2.5766735195394153e-11
91,2.004732350817021e-11
92,1.501344907184697e-11
93,1.1475342322878011e-11
94,8.516924532083422e-12
95,6.229904668582942e-12
96,4.7537313528622494e-12
97,3.949853867761788e-12
98,3.2958222538057272e-12
99,2.782831367001847e-12
100,2.2777421537407215e-12
