"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,8.754095270496087
2,3.5410950733827096
3,1.5182104403668786
4,1.0631203126471387
5,0.7194199858547018
6,0.4564664755677142
7,0.27945463643801394
8,0.21866518719283623
9,0.12642724796646468
10,0.09285767047262303
11,0.07525144347183334
12,0.0652802430334103
13,0.0481273511153472
14,0.03746111392063693
15,0.02720237105720714
16,0.02006192982018523
17,0.014473542736032978
18,0.013078294892075454
19,0.009702741233053864
20,0.007344592575377151
