"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,6.5777569914913
2,2.1116728330420758
3,0.7882034616317765
4,0.46744517479451636
5,0.2765659527853929
6,0.12763533093873605
7,0.07628416910760294
8,0.05721840750034828
9,0.04309262743929727
10,0.03062374138994014
11,0.021982919910574307
12,0.016971636879497407
13,0.010974748354678786
14,0.007637230772716595
15,0.004770811972799
16,0.0032401707635141795
17,0.002223053355665324
18,0.0014812505538998328
19,0.0009941265984106291
20,0.0007367721737958926
21,0.0005340582851456078
22,0.0003945355441299202
23,0.0002514726044934357
24,0.00017097582428066295
25,0.0001451038642073135
26,8.753984971598557e-05
27,7.101731063955828e-05
28,4.825453079286902e-05
29,3.0405181365244428e-05
30,2.0771936218519452e-05
31,1.436359719595171e-05
32,9.379566270870287e-06
33,8.672895503576001e-06
34,6.9539631506781365e-06
35,6.352684173431205e-06
36,4.412054613141431e-06
37,3.884319258662103e-06
38,3.021992361776436e-06
39,2.6535752943422062e-06
40,2.1637471847741396e-06
41,1.5839094474212223e-06
42,1.2171265869412597e-06
43,8.860126794340653e-07
44,7.161000081640529e-07
45,5.459393351375139e-07
46,4.2478259224346554e-07
47,3.3404941324087144e-07
48,2.3871496486651847e-07
49,1.8496297182713978e-07
50,1.5647483964058609e-07
51,1.2035985973827743e-07
52,8.966560798203115e-08
53,6.593000958987915e-08
54,4.5702272829116475e-08
55,2.8037008737858005e-08
56,1.742257539169445e-08
57,1.332927588519521e-08
58,1.026103541845929e-08
59,8.338280818549415e-09
60,5.992203640461389e-09
61,4.672580045628453e-09
62,2.6186795945382424e-09
63,2.0473666821385884e-09
64,1.6039801111131615e-09
65,1.071810168823373e-09
66,7.979231062832944e-10
67,6.142920700703043e-10
68,4.3166484516896654e-10
69,3.1693990155402764e-10
70,2.442190501948841e-10
71,1.8465815301655126e-10
72,1.467268062144965e-10
73,1.1934194201342335e-10
74,1.0108159893354264e-10
75,7.901394101335787e-11
76,5.758394319883435e-11
77,4.844811957574502e-11
78,3.1857236818422884e-11
79,2.2980973770799394e-11
80,1.9118312689256164e-11
81,1.4551951738211573e-11
82,1.0271486006521279e-11
83,8.36919119793968e-12
84,6.311143704296369e-12
85,5.6810835526094764e-12
86,4.2297238063182495e-12
87,3.094247648885536e-12
88,2.549356487812782e-12
89,1.812207599789424e-12
90,1.497261596481321e-12
91,1.2723607616623202e-12
92,1.0563650396351459e-12
93,8.421057933771782e-13
94,6.689484502724482e-13
95,5.845465512796926e-13
96,3.788582195906593e-13
97,2.9129670925678643e-13
98,2.188350331604964e-13
99,1.5213563174133854e-13
100,1.1562803857370678e-13
