"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,4.908244539866237
2,1.5554883618228112
3,0.6306230230062073
4,0.34804646975335074
5,0.17603922169305922
6,0.10557344012691244
7,0.0675598685447669
8,0.031831868664928736
9,0.02018191282056227
10,0.013693660148813526
11,0.008330025841955812
12,0.004654705159780969
13,0.0028638760964077915
14,0.0017567887932862427
15,0.0011171262500777176
16,0.0006213950446384342
17,0.0003826980775726965
18,0.00029716192070541826
19,0.00016979712405924613
20,0.00010734738663172226
