"combination [m, n, l1, l2, ep_max, c1, c2, c3, c4]",gBest_fitness
1,11.048575902230773
2,3.523215691834425
3,1.5961116386063374
4,0.6721822463050235
5,0.31738786108011247
6,0.20864936603420797
7,0.13376895595349936
8,0.09298269057944795
9,0.059990787118460856
10,0.039756867220312464
11,0.028526013620807013
12,0.01844522133886908
13,0.011288094715048677
14,0.007250727512877545
15,0.005580826826215571
16,0.0033461280869956853
17,0.0023949538063860114
18,0.0019915118672766668
19,0.001545293183909542
20,0.0013170252653318113
21,0.0008341188623475325
22,0.0006158295722951131
23,0.00040937254538209693
24,0.0002558939053960039
25,0.00018522600287777566
26,0.00014845567393375158
27,0.0001058682493735409
28,8.078428605505886e-05
29,5.549521203803513e-05
30,4.24379020211894e-05
31,2.8841052018051427e-05
32,2.2305578957189743e-05
33,1.4488476559237428e-05
34,1.1198549638234042e-05
35,8.391391548669736e-06
36,6.004449684290205e-06
37,5.115759770370217e-06
38,3.508442119130473e-06
39,2.8356900299190946e-06
40,2.1216979016426696e-06
41,1.4748113437876274e-06
42,1.0469141018744816e-06
43,7.676015289305786e-07
44,5.113011262135554e-07
45,3.7798323077612503e-07
46,2.967053016120068e-07
47,2.0545497433334528e-07
48,1.590875684412096e-07
49,1.1027379857030331e-07
50,9.175565207148512e-08
51,7.77511519199566e-08
52,5.991835011668197e-08
53,5.389536970253182e-08
54,3.914060544615889e-08
55,3.1061805367841797e-08
56,2.7555275636503056e-08
57,2.0997037192732647e-08
58,1.7306213064554586e-08
59,1.4640308119750239e-08
60,1.1668810914276219e-08
61,9.856245827829156e-09
62,7.574073308728806e-09
63,4.7429208633827734e-09
64,3.746731788796359e-09
65,3.2541906345026067e-09
66,2.628041242191802e-09
67,1.980908656906435e-09
68,1.6155613110363363e-09
69,1.3696969757406596e-09
70,1.1804630165399164e-09
71,8.849297752175805e-10
72,7.391137575140423e-10
73,5.959736280505832e-10
74,4.1238829482498395e-10
75,3.2016213121677047e-10
76,2.493043654923814e-10
77,1.7415089160560045e-10
78,1.3992375022036128e-10
79,1.0117617137152891e-10
80,6.920361536083326e-11
81,5.92047403869691e-11
82,4.3779950511760366e-11
83,3.4910214299478905e-11
84,2.2496450506115882e-11
85,1.889356849712204e-11
86,1.639194396980237e-11
87,1.3770585552051849e-11
88,1.2804457542144863e-11
89,1.0954878354572577e-11
90,9.213078265713467e-12
91,7.527643245590893e-12
92,6.656560262030823e-12
93,5.92696889169365e-12
94,5.212982939504386e-12
95,4.3924044350341846e-12
96,2.8092324777165443e-12
97,2.3469693847402788e-12
98,1.93404622445915e-12
99,1.5452121157617368e-12
100,1.3440138145032497e-12
